onset_type,onset_time,pitch
no_change,9.341,69
no_change,9.659,50
no_change,9.814,69
no_change,10.055,65
no_change,10.266,62
no_change,10.691,69
no_change,11.027,50
no_change,11.195,70
no_change,11.409,67
no_change,11.659,62
no_change,12.118,70
no_change,12.42,50
no_change,12.568,69
no_change,12.777,65
no_change,13.023,62
no_change,13.443,69
no_change,13.877,74
no_change,14.084,73
no_change,14.325,76
no_change,14.52,74
no_change,14.75,69
no_change,14.959,65
no_change,15.145,55
no_change,15.209,64
no_change,15.409,65
no_change,15.632,67
no_change,15.85,69
no_change,16.07,70
no_change,16.28,67
no_change,16.507,64
no_change,16.98,64
no_change,16.982,62
no_change,16.984,58
no_change,16.991,43
no_change,17.47,64
no_change,17.477,59
no_change,17.48,44
no_change,18.0,64
no_change,18.007,57
no_change,18.014,45
no_change,19.075,57
no_change,19.316,59
no_change,19.534,61
no_change,19.739,62
no_change,19.959,64
no_change,20.141,65
no_change,20.366,67
no_change,20.557,68
no_change,20.745,50
no_change,20.834,69
no_change,21.032,65
no_change,21.295,62
no_change,21.727,69
no_change,22.002,50
no_change,22.202,70
no_change,22.411,67
no_change,22.643,62
no_change,23.091,70
no_change,23.395,50
no_change,23.564,69
no_change,23.764,65
no_change,24.02,62
no_change,24.486,69
no_change,24.918,74
no_change,25.141,73
no_change,25.366,76
no_change,25.566,74
no_change,25.784,69
no_change,25.989,65
no_change,26.134,55
no_change,26.22,64
no_change,26.441,65
no_change,26.655,67
no_change,26.868,69
no_change,27.116,70
no_change,27.336,67
no_change,27.6,45
no_change,28.068,65
no_change,28.07,57
no_change,28.539,57
no_change,28.541,61
no_change,29.027,62
no_change,29.032,50
no_change,29.266,65
no_change,29.484,57
no_change,29.73,62
no_change,30.005,53
no_change,30.245,57
no_change,30.557,50
no_change,32.159,54
no_change,32.359,69
no_change,32.736,60
no_change,33.036,50
no_change,33.268,60
no_change,33.473,62
no_change,33.693,60
no_change,33.925,69
no_change,33.941,54
no_change,34.152,60
no_change,34.391,50
no_change,34.595,60
no_change,34.814,62
no_change,35.011,60
no_change,35.261,70
no_change,35.268,55
no_change,35.491,58
no_change,35.718,50
no_change,35.932,58
no_change,36.145,70
no_change,36.368,58
no_change,36.584,67
no_change,36.593,55
no_change,36.83,58
no_change,37.07,62
no_change,37.273,58
no_change,37.48,63
no_change,37.695,58
no_change,37.875,48
no_change,37.95,64
no_change,38.18,60
