onset_type,onset_time,pitch
no_change,9.368,38
no_change,9.473,45
no_change,9.6,53
no_change,9.78,64
no_change,10.236,62
no_change,10.586,64
no_change,10.9,62
no_change,12.618,57
no_change,13.17,62
no_change,13.725,65
no_change,14.205,43
no_change,14.323,50
no_change,14.439,58
no_change,14.595,65
no_change,16.0,64
no_change,17.732,64
no_change,18.234,65
no_change,18.82,70
no_change,18.823,67
no_change,19.439,50
no_change,19.5,61
no_change,19.568,67
no_change,19.62,70
no_change,20.089,65
no_change,20.093,69
no_change,20.416,67
no_change,20.716,65
no_change,20.718,69
no_change,22.209,70
no_change,22.211,67
no_change,22.684,45
no_change,22.732,61
no_change,22.811,65
no_change,22.864,69
no_change,23.473,67
no_change,23.475,64
no_change,24.145,38
no_change,24.148,64
no_change,25.48,62
no_change,27.339,62
no_change,27.88,70
no_change,28.434,69
no_change,28.998,55
no_change,29.423,70
no_change,29.425,67
no_change,29.811,69
no_change,30.123,67
no_change,31.666,74
no_change,32.305,60
no_change,32.411,64
no_change,32.632,72
no_change,33.477,70
no_change,33.48,67
no_change,34.109,67
no_change,34.111,53
no_change,35.386,65
no_change,35.389,69
no_change,37.082,70
no_change,37.084,67
no_change,37.711,49
no_change,37.714,69
no_change,38.42,64
no_change,38.916,50
no_change,38.918,64
no_change,39.432,62
no_change,39.893,61
no_change,40.448,67
no_change,40.873,40
no_change,41.095,50
no_change,41.145,55
no_change,41.298,60
no_change,41.409,65
no_change,42.459,58
no_change,43.136,64
no_change,43.818,45
no_change,43.875,57
no_change,43.98,62
no_change,44.036,64
no_change,45.405,61
no_change,47.086,45
no_change,47.659,57
no_change,48.191,65
no_change,48.784,55
no_change,49.464,38
no_change,49.58,45
no_change,49.689,53
no_change,49.843,64
no_change,50.289,62
no_change,50.623,64
pitch,50.939,99
no_change,52.568,57
no_change,53.252,62
no_change,53.841,65
no_change,54.561,43
no_change,54.641,50
no_change,54.727,60
no_change,54.823,65
no_change,55.282,58
no_change,55.718,60
no_change,56.102,58
no_change,56.107,64
no_change,57.757,64
no_change,58.266,65
no_change,58.814,70
no_change,58.816,67
no_change,59.409,50
no_change,59.47,61
no_change,59.543,67
no_change,59.6,70
no_change,60.08,65
no_change,60.082,69
no_change,60.452,67
no_change,60.775,65
no_change,60.777,69
no_change,62.568,72
no_change,62.57,69
no_change,63.243,61
no_change,63.307,45
no_change,63.318,67
no_change,63.37,70
no_change,64.03,65
no_change,64.032,69
no_change,64.557,67
no_change,64.561,64
no_change,64.564,38
no_change,65.739,62
no_change,67.602,62
no_change,68.261,50
no_change,68.873,74
no_change,69.434,50
no_change,69.498,64
no_change,69.564,70
no_change,69.611,74
no_change,70.05,69
no_change,70.345,70
no_change,70.627,72
no_change,70.63,69
no_change,72.161,74
no_change,72.164,70
no_change,72.789,50
no_change,72.859,64
no_change,72.982,69
no_change,73.027,72
no_change,73.589,70
no_change,73.591,67
no_change,74.175,38
no_change,74.177,62
no_change,75.434,65
no_change,75.436,69
no_change,77.189,62
no_change,77.727,60
no_change,78.42,74
no_change,79.32,38
no_change,79.332,64
no_change,79.407,70
no_change,79.482,74
no_change,79.966,69
no_change,80.411,70
no_change,80.78,69
no_change,82.414,72
no_change,83.0,64
no_change,83.073,70
no_change,83.18,74
no_change,84.139,52
no_change,84.141,70
no_change,84.143,67
no_change,84.72,45
no_change,84.793,61
no_change,84.893,65
no_change,84.966,69
no_change,86.568,64
no_change,88.555,57
no_change,89.168,55
no_change,89.677,65
no_change,89.689,53
no_change,90.15,52
no_change,90.193,58
no_change,90.293,62
no_change,90.398,69
no_change,90.882,67
no_change,91.245,69
no_change,91.536,67
no_change,93.041,70
no_change,93.043,67
no_change,93.466,45
no_change,93.543,61
no_change,93.632,65
no_change,93.689,69
no_change,94.411,64
no_change,95.166,64
no_change,95.168,41
no_change,95.659,62
no_change,96.018,64
no_change,96.402,62
no_change,96.405,50
no_change,98.225,57
no_change,98.823,50
no_change,98.825,62
no_change,99.375,65
no_change,99.377,48
no_change,99.884,38
no_change,99.975,53
no_change,100.107,38
no_change,100.298,47
no_change,100.525,64
no_change,101.077,65
no_change,101.377,64
no_change,101.38,67
no_change,102.909,48
no_change,103.589,49
no_change,104.28,70
no_change,104.966,65
no_change,104.968,69
no_change,104.97,45
no_change,105.773,61
no_change,106.602,38
no_change,106.759,45
no_change,106.877,55
no_change,107.018,64
no_change,109.139,53
no_change,111.275,38
