onset_type,onset_time,pitch
no_change,3.218,38
no_change,3.259,57
no_change,3.327,62
no_change,3.43,66
no_change,4.086,38
no_change,4.352,67
no_change,4.586,69
no_change,5.05,38
no_change,5.068,61
no_change,5.164,64
no_change,5.241,69
no_change,5.789,38
no_change,6.027,71
no_change,6.277,73
no_change,6.664,38
no_change,6.707,59
no_change,6.782,66
no_change,6.866,74
no_change,7.402,38
no_change,7.611,73
no_change,7.857,71
no_change,8.284,38
no_change,8.307,61
no_change,8.389,64
no_change,8.468,71
no_change,9.032,38
no_change,9.532,69
no_change,10.08,50
no_change,10.148,57
no_change,10.227,62
no_change,10.32,66
no_change,10.859,50
no_change,11.093,67
no_change,11.32,69
no_change,11.811,49
no_change,11.864,57
no_change,11.936,64
no_change,11.995,69
no_change,12.498,49
no_change,12.732,71
no_change,12.959,73
no_change,13.334,47
no_change,13.445,66
no_change,13.448,59
pitch,13.534,77
no_change,14.048,52
no_change,14.28,73
no_change,14.518,62
no_change,14.543,71
no_change,15.023,45
no_change,15.07,62
no_change,15.143,64
no_change,15.225,69
no_change,15.63,61
no_change,16.727,50
no_change,16.795,57
no_change,16.861,61
no_change,16.936,66
no_change,17.455,50
no_change,17.659,67
no_change,17.895,69
no_change,18.398,50
no_change,18.409,43
no_change,18.47,59
no_change,18.586,69
no_change,19.059,43
no_change,19.291,67
no_change,19.509,66
no_change,19.895,45
no_change,19.914,61
no_change,19.92,55
no_change,20.068,64
no_change,20.548,45
no_change,20.777,62
no_change,21.023,64
no_change,21.489,46
no_change,21.495,62
no_change,21.68,66
no_change,22.652,46
no_change,23.164,62
no_change,23.602,47
no_change,23.652,62
no_change,23.759,66
no_change,24.291,47
no_change,24.536,64
no_change,24.784,66
no_change,25.3,40
no_change,25.389,66
no_change,25.391,59
no_change,25.393,69
no_change,25.841,40
no_change,26.095,64
no_change,26.327,66
no_change,26.33,62
no_change,26.923,43
no_change,26.945,64
no_change,27.498,58
no_change,27.818,66
no_change,28.093,55
no_change,28.095,45
no_change,28.098,61
no_change,28.105,64
no_change,28.655,38
no_change,28.7,55
no_change,28.77,57
no_change,28.891,62
no_change,29.423,54
no_change,30.52,38
no_change,30.534,57
no_change,30.645,62
no_change,30.741,66
no_change,31.318,38
no_change,31.561,67
no_change,31.809,69
no_change,32.223,38
no_change,32.241,61
no_change,32.316,64
no_change,32.405,69
no_change,32.959,38
no_change,33.177,71
no_change,33.405,73
no_change,33.773,38
no_change,33.8,59
no_change,33.802,66
no_change,33.97,74
no_change,34.493,38
no_change,34.707,73
no_change,34.932,71
no_change,35.307,38
no_change,35.345,61
no_change,35.382,64
no_change,35.48,71
no_change,36.002,38
no_change,36.534,69
no_change,37.016,50
no_change,37.093,57
no_change,37.155,62
no_change,37.239,66
no_change,37.761,50
no_change,37.989,67
no_change,38.239,69
no_change,38.716,49
no_change,38.743,57
no_change,38.818,64
no_change,38.886,69
no_change,39.42,49
no_change,39.652,71
no_change,39.886,73
no_change,40.232,47
no_change,40.25,59
no_change,40.352,66
no_change,40.425,74
no_change,40.884,52
no_change,41.127,73
no_change,41.341,62
no_change,41.386,71
no_change,41.8,45
no_change,41.843,62
no_change,41.923,64
no_change,42.007,69
no_change,42.432,61
no_change,43.473,50
no_change,43.555,57
no_change,43.616,61
no_change,43.693,66
no_change,44.068,50
no_change,44.416,67
no_change,44.65,69
no_change,45.15,50
no_change,45.175,43
no_change,45.195,59
no_change,45.339,69
no_change,45.8,43
no_change,46.032,67
no_change,46.245,66
no_change,46.65,45
no_change,46.675,61
no_change,46.689,55
no_change,46.836,64
no_change,47.284,45
no_change,47.518,62
no_change,47.784,64
no_change,48.266,46
no_change,48.323,62
no_change,48.473,66
no_change,49.432,46
no_change,49.97,62
no_change,50.45,47
no_change,50.493,62
no_change,50.586,66
no_change,51.157,47
no_change,51.423,64
no_change,51.668,69
no_change,51.67,66
no_change,52.205,40
no_change,52.291,66
no_change,52.295,59
no_change,52.752,40
no_change,53.009,64
no_change,53.255,66
no_change,53.257,62
no_change,53.761,43
no_change,53.814,64
no_change,54.295,58
no_change,54.598,66
no_change,54.864,45
no_change,54.875,61
no_change,54.88,64
no_change,55.389,38
no_change,55.47,55
no_change,55.548,57
no_change,55.659,62
no_change,56.084,54
no_change,57.261,38
no_change,57.282,59
no_change,57.366,66
no_change,57.432,74
no_change,57.957,38
no_change,58.2,73
no_change,58.402,71
no_change,58.945,54
no_change,58.959,38
no_change,58.995,61
no_change,59.159,69
no_change,59.659,38
no_change,59.886,67
no_change,60.111,66
no_change,60.498,59
no_change,60.627,43
no_change,60.664,64
no_change,61.195,43
no_change,61.368,62
no_change,61.668,64
no_change,62.189,57
no_change,62.25,62
no_change,62.295,66
no_change,62.336,45
no_change,62.907,38
no_change,63.325,62
no_change,63.477,38
no_change,64.07,43
no_change,64.157,74
no_change,64.618,43
no_change,64.93,73
no_change,65.18,71
no_change,65.63,42
no_change,65.68,59
no_change,65.811,69
no_change,66.282,42
no_change,66.502,67
no_change,66.752,66
no_change,67.134,43
no_change,67.157,55
no_change,67.248,59
no_change,67.289,64
no_change,67.786,45
no_change,68.005,66
no_change,68.252,64
no_change,68.798,38
no_change,68.927,55
no_change,69.095,62
no_change,69.505,54
no_change,70.605,50
no_change,70.643,57
no_change,70.711,61
no_change,70.784,66
no_change,71.307,50
no_change,71.527,67
no_change,71.768,69
no_change,72.336,43
no_change,72.377,59
no_change,72.502,50
no_change,72.516,69
no_change,72.993,43
no_change,73.23,67
no_change,73.436,66
no_change,73.795,45
no_change,73.82,55
no_change,73.855,61
no_change,73.975,64
no_change,74.434,45
no_change,74.666,62
no_change,74.925,64
no_change,75.261,46
no_change,75.33,62
no_change,75.425,66
no_change,76.377,46
no_change,76.905,62
no_change,77.38,47
no_change,77.43,62
no_change,77.52,66
no_change,78.045,47
no_change,78.309,64
no_change,78.311,67
no_change,78.564,66
no_change,79.055,40
no_change,79.164,66
no_change,79.17,59
no_change,79.575,40
no_change,79.877,67
no_change,79.88,64
no_change,80.109,66
no_change,80.114,62
no_change,80.552,43
no_change,80.698,64
no_change,81.155,58
no_change,81.509,66
no_change,81.78,45
no_change,81.782,61
no_change,82.336,55
no_change,82.498,38
no_change,82.539,57
no_change,82.545,62
no_change,82.961,54
no_change,84.164,38
no_change,84.184,66
no_change,84.268,74
no_change,84.75,38
no_change,85.061,73
no_change,85.298,71
no_change,85.782,38
no_change,85.786,54
no_change,85.868,61
no_change,85.916,69
no_change,86.295,38
no_change,86.595,67
no_change,86.836,66
no_change,87.175,43
no_change,87.22,55
no_change,87.277,59
no_change,87.336,64
no_change,87.723,43
no_change,88.048,62
no_change,88.3,64
no_change,88.83,57
no_change,88.834,62
no_change,88.848,50
no_change,88.866,66
no_change,89.423,38
no_change,89.952,60
no_change,90.039,38
no_change,90.055,62
no_change,90.666,43
no_change,90.739,50
no_change,90.773,59
no_change,90.859,74
no_change,91.598,43
no_change,91.825,73
no_change,92.057,71
no_change,92.514,42
no_change,92.593,59
no_change,92.652,63
no_change,92.745,69
no_change,93.241,42
no_change,93.486,67
no_change,93.809,66
no_change,94.452,43
no_change,94.457,55
no_change,94.507,59
no_change,94.518,64
no_change,95.166,45
no_change,95.452,66
no_change,95.732,45
no_change,96.611,50
no_change,96.659,54
no_change,96.805,62
no_change,98.048,57
no_change,98.657,69
no_change,99.727,66
no_change,99.764,56
no_change,99.766,60
no_change,100.02,55
no_change,100.748,57
no_change,100.78,54
no_change,100.825,50
no_change,100.914,62
no_change,102.286,69
no_change,103.205,81
no_change,105.457,52
no_change,106.23,56
no_change,106.239,61
no_change,106.33,64
no_change,107.586,38
no_change,107.668,45
no_change,107.757,54
no_change,107.905,57
no_change,107.914,62
