onset_type,onset_time,pitch
no_change,2.214,40
no_change,2.275,52
no_change,4.486,64
no_change,5.695,76
late,6.914,40
no_change,8.267,52
no_change,9.33,64
no_change,9.8,76
no_change,11.086,64
no_change,11.089,57
no_change,11.091,61
no_change,13.009,58
no_change,13.016,65
no_change,13.018,62
no_change,13.58,60
no_change,13.582,64
no_change,13.584,67
no_change,14.045,69
no_change,14.048,65
no_change,14.05,62
no_change,14.548,63
no_change,14.595,67
no_change,14.659,70
no_change,14.993,65
no_change,15.03,69
no_change,15.034,62
no_change,15.364,60
no_change,15.38,67
no_change,15.384,64
no_change,15.841,57
no_change,15.848,61
no_change,17.343,58
no_change,17.35,62
no_change,17.864,60
no_change,18.373,65
no_change,18.445,69
no_change,18.516,74
no_change,19.7,72
no_change,19.702,64
no_change,20.295,60
no_change,20.298,69
no_change,20.811,58
no_change,20.814,62
no_change,21.325,64
no_change,22.155,65
no_change,22.575,64
no_change,22.923,62
no_change,23.232,61
no_change,23.509,62
no_change,23.818,64
no_change,24.091,65
no_change,24.384,67
no_change,24.709,69
no_change,25.075,70
no_change,25.55,72
no_change,26.466,43
no_change,26.53,53
no_change,26.609,58
no_change,26.675,62
no_change,27.036,61
no_change,27.33,62
no_change,27.632,65
no_change,27.945,67
no_change,28.202,65
no_change,28.48,45
no_change,28.493,55
no_change,28.502,61
no_change,28.509,64
no_change,28.825,65
no_change,29.136,64
no_change,29.434,62
no_change,29.786,64
no_change,30.261,60
no_change,30.907,43
no_change,30.984,53
no_change,31.034,58
no_change,31.109,62
no_change,31.439,61
no_change,31.734,62
no_change,32.136,69
no_change,33.232,67
no_change,33.741,65
no_change,34.111,45
no_change,34.159,55
no_change,34.214,61
no_change,34.268,64
no_change,34.686,65
no_change,34.995,64
no_change,35.259,62
no_change,35.498,64
no_change,35.757,60
no_change,35.986,58
no_change,36.236,60
no_change,36.457,57
no_change,36.689,55
no_change,36.925,57
no_change,37.17,53
no_change,37.416,52
no_change,37.68,50
no_change,37.973,46
no_change,38.286,45
