onset_type,onset_time,pitch
no_change,10.377,40
no_change,10.991,47
no_change,11.389,54
no_change,11.411,56
no_change,11.843,59
early,11.97,59
no_change,12.282,40
no_change,12.823,49
no_change,13.23,56
no_change,13.232,57
no_change,13.639,64
no_change,14.05,40
no_change,14.057,57
no_change,14.468,47
no_change,14.855,54
no_change,15.25,64
no_change,15.652,40
no_change,16.073,48
no_change,16.475,54
no_change,16.911,52
no_change,17.37,40
no_change,17.443,56
no_change,18.0,47
no_change,18.407,59
no_change,18.411,52
no_change,18.807,64
no_change,19.241,69
no_change,19.243,40
no_change,19.748,68
no_change,19.75,49
no_change,20.134,57
no_change,20.139,66
no_change,20.5,49
no_change,20.502,64
no_change,20.923,40
no_change,21.05,71
no_change,21.491,51
no_change,21.868,59
no_change,21.873,56
no_change,22.25,71
no_change,22.695,40
no_change,23.105,49
no_change,23.505,57
no_change,23.932,49
no_change,23.934,64
no_change,24.443,40
no_change,25.086,47
no_change,25.782,54
no_change,25.784,56
no_change,26.186,59
no_change,26.561,59
no_change,26.566,40
no_change,27.184,49
no_change,27.602,56
no_change,27.607,57
no_change,28.023,64
no_change,28.445,40
no_change,28.57,57
no_change,29.066,47
no_change,29.414,54
no_change,29.425,56
no_change,29.795,64
no_change,30.18,40
no_change,30.616,48
no_change,30.991,54
no_change,31.473,52
no_change,31.952,40
no_change,32.082,56
no_change,32.675,47
no_change,33.111,52
no_change,33.114,59
no_change,33.5,64
no_change,33.97,40
no_change,33.973,69
no_change,34.466,68
no_change,34.468,49
no_change,34.845,57
no_change,34.852,66
no_change,35.214,49
no_change,35.216,64
no_change,35.641,40
no_change,35.734,71
no_change,36.159,51
no_change,36.543,56
no_change,36.798,71
no_change,37.393,40
no_change,37.918,49
no_change,37.93,68
no_change,38.336,57
no_change,38.339,66
no_change,38.764,49
no_change,38.768,64
no_change,39.311,40
no_change,39.33,59
no_change,40.009,47
no_change,40.798,59
no_change,41.348,59
no_change,41.777,57
no_change,41.864,59
no_change,41.92,64
no_change,42.443,64
no_change,42.827,59
no_change,42.841,56
no_change,42.845,68
no_change,43.245,68
no_change,43.673,56
no_change,43.775,57
no_change,43.843,59
no_change,44.402,59
no_change,44.761,64
no_change,45.136,54
no_change,45.557,57
no_change,45.559,52
no_change,46.105,61
no_change,46.486,51
no_change,46.491,59
no_change,46.914,59
no_change,47.348,40
no_change,47.434,49
no_change,47.516,51
no_change,47.623,56
no_change,48.227,56
no_change,48.627,59
no_change,49.011,45
no_change,49.477,44
no_change,49.491,52
no_change,49.545,51
no_change,49.609,59
no_change,49.714,64
no_change,50.161,64
no_change,50.543,68
no_change,50.92,68
no_change,51.341,54
no_change,51.352,71
no_change,51.884,64
no_change,52.248,61
no_change,52.28,71
no_change,52.611,71
no_change,52.614,59
no_change,53.03,47
no_change,53.032,61
no_change,53.034,71
no_change,53.489,71
no_change,53.843,71
no_change,53.845,59
no_change,54.189,71
no_change,54.627,40
no_change,54.668,73
no_change,55.33,71
no_change,55.532,71
no_change,55.752,56
no_change,55.889,52
no_change,55.964,63
no_change,56.105,71
no_change,56.743,40
no_change,56.764,73
no_change,57.109,71
no_change,57.452,56
no_change,57.511,62
no_change,57.636,59
no_change,57.707,76
no_change,58.148,73
no_change,58.536,40
no_change,58.541,64
no_change,59.025,59
no_change,59.173,64
no_change,59.343,59
no_change,59.373,57
no_change,59.377,61
no_change,59.736,56
no_change,59.741,64
no_change,60.127,54
no_change,60.134,66
no_change,60.498,64
no_change,60.891,59
no_change,60.909,71
no_change,61.352,69
no_change,61.882,40
no_change,61.884,59
no_change,62.5,54
no_change,62.507,55
no_change,63.059,55
no_change,63.061,52
no_change,63.448,55
no_change,63.45,50
no_change,63.907,64
no_change,63.914,48
no_change,64.386,64
no_change,64.389,59
no_change,64.784,57
no_change,64.786,67
no_change,65.125,55
no_change,65.127,67
no_change,65.545,54
no_change,65.555,71
no_change,65.909,71
no_change,65.952,64
no_change,66.2,63
no_change,66.334,61
no_change,66.732,69
no_change,67.098,57
no_change,67.123,64
no_change,67.18,68
no_change,67.561,68
no_change,67.936,63
no_change,68.336,66
no_change,68.791,40
no_change,68.886,64
no_change,70.011,59
no_change,70.423,59
no_change,70.845,57
no_change,70.934,59
no_change,70.975,64
no_change,71.368,64
no_change,71.691,68
no_change,71.693,56
no_change,71.695,59
no_change,72.048,68
no_change,72.443,56
no_change,72.55,57
no_change,72.63,59
no_change,73.266,59
no_change,73.616,64
no_change,73.973,54
no_change,74.43,57
no_change,74.432,52
no_change,75.045,61
no_change,75.443,51
no_change,75.914,59
no_change,76.327,40
no_change,76.441,49
no_change,76.53,51
no_change,76.643,56
no_change,77.25,56
no_change,77.639,59
no_change,78.032,59
no_change,78.034,45
no_change,78.468,44
no_change,78.475,51
no_change,78.482,52
no_change,78.559,59
no_change,78.627,64
no_change,79.148,64
no_change,79.516,68
no_change,79.882,68
no_change,80.28,54
no_change,80.286,71
no_change,80.705,64
no_change,81.068,61
no_change,81.075,63
no_change,81.15,71
no_change,81.536,59
no_change,81.6,71
no_change,81.939,47
no_change,81.943,71
no_change,82.427,71
no_change,82.798,59
no_change,83.177,71
no_change,83.593,40
no_change,83.602,73
no_change,84.205,71
no_change,84.705,52
no_change,84.77,63
no_change,84.784,56
no_change,84.845,71
no_change,85.127,71
no_change,85.416,40
no_change,85.418,73
no_change,85.689,71
no_change,85.986,56
no_change,86.08,62
no_change,86.082,59
no_change,86.18,76
no_change,86.634,73
no_change,87.027,64
no_change,87.03,40
no_change,87.548,59
no_change,87.702,64
no_change,87.893,59
no_change,87.93,57
no_change,88.273,56
no_change,88.67,54
no_change,89.066,64
no_change,89.473,59
no_change,89.48,71
no_change,89.92,69
no_change,90.443,43
no_change,90.452,59
no_change,91.111,50
no_change,91.557,52
no_change,91.564,59
no_change,91.989,55
no_change,91.991,50
no_change,92.455,64
no_change,92.459,48
no_change,92.961,64
no_change,92.964,59
no_change,93.38,57
no_change,93.382,67
no_change,93.73,67
no_change,93.732,55
no_change,94.136,54
no_change,94.141,71
no_change,94.57,64
no_change,94.93,69
no_change,94.932,61
no_change,95.318,69
no_change,95.707,47
no_change,95.714,68
no_change,96.2,68
no_change,96.577,57
no_change,96.582,66
no_change,97.041,66
no_change,97.557,40
no_change,97.691,64
no_change,98.466,52
no_change,99.014,57
no_change,99.48,59
no_change,100.02,56
no_change,100.83,64
no_change,101.302,40
no_change,101.714,71
no_change,102.175,45
no_change,102.2,76
no_change,102.984,71
no_change,103.355,61
no_change,103.418,69
no_change,103.5,76
no_change,103.941,76
no_change,104.314,51
no_change,104.32,75
no_change,104.725,68
no_change,105.08,73
no_change,105.084,67
no_change,105.468,73
no_change,105.857,56
no_change,105.859,73
no_change,106.38,63
no_change,106.802,68
no_change,107.143,63
no_change,107.145,71
no_change,107.475,40
no_change,107.555,57
no_change,107.57,62
no_change,107.634,73
no_change,108.055,71
no_change,108.389,57
no_change,108.395,68
no_change,108.761,66
no_change,109.177,45
no_change,109.25,64
no_change,109.816,59
no_change,110.216,57
no_change,110.22,61
no_change,110.575,56
no_change,110.959,54
no_change,110.961,69
no_change,111.311,68
no_change,111.664,59
no_change,111.686,60
no_change,111.689,69
no_change,112.066,69
no_change,112.23,71
no_change,112.502,40
no_change,112.527,69
no_change,113.02,68
no_change,113.375,59
no_change,113.386,56
no_change,113.405,64
no_change,113.832,64
no_change,114.295,56
no_change,114.43,62
no_change,114.432,64
no_change,115.075,64
no_change,115.473,68
no_change,115.827,71
no_change,116.236,45
no_change,116.275,76
no_change,116.757,71
no_change,117.114,69
no_change,117.116,61
no_change,117.495,76
no_change,117.873,51
no_change,117.877,67
no_change,117.882,75
no_change,118.361,75
no_change,118.711,55
no_change,119.109,73
no_change,119.445,56
no_change,119.505,63
no_change,119.566,73
no_change,120.048,71
no_change,120.416,68
no_change,120.755,71
no_change,121.086,40
no_change,121.159,57
no_change,121.164,62
no_change,121.264,73
no_change,121.652,71
no_change,122.023,57
no_change,122.027,62
no_change,122.034,68
no_change,122.405,66
no_change,122.845,46
no_change,122.87,64
no_change,123.532,54
no_change,123.923,56
no_change,123.95,61
no_change,124.334,64
no_change,124.657,47
no_change,124.707,54
no_change,124.768,57
no_change,124.845,69
no_change,125.252,68
no_change,125.702,64
no_change,126.375,61
no_change,126.97,40
no_change,127.159,64
no_change,127.761,47
no_change,128.411,54
no_change,128.416,56
no_change,128.886,59
no_change,129.436,40
no_change,129.439,59
no_change,130.002,49
no_change,130.348,57
no_change,130.35,56
no_change,130.7,64
no_change,131.107,40
no_change,131.114,57
no_change,131.511,47
no_change,131.893,54
no_change,131.907,56
no_change,132.293,64
no_change,132.684,40
no_change,132.686,56
no_change,133.098,48
no_change,133.489,54
no_change,133.923,52
no_change,134.361,40
no_change,134.457,56
no_change,135.032,47
no_change,135.464,59
no_change,135.47,52
no_change,135.83,64
no_change,136.266,40
no_change,136.277,69
no_change,136.818,49
no_change,136.82,68
no_change,137.18,57
