onset_type,onset_time,pitch
no_change,8.495,73
no_change,8.5,45
no_change,9.057,74
no_change,9.059,62
early,9.135,63
no_change,9.336,75
no_change,9.534,64
no_change,10.061,64
no_change,10.189,69
no_change,10.191,57
no_change,10.195,45
no_change,11.148,57
no_change,11.53,73
no_change,11.714,56
no_change,11.875,71
no_change,12.025,54
no_change,12.125,69
no_change,12.25,52
no_change,12.341,68
no_change,12.464,50
no_change,12.561,66
no_change,12.668,49
no_change,12.773,64
no_change,12.93,49
no_change,12.934,64
no_change,13.961,61
no_change,14.345,42
no_change,14.386,54
no_change,14.443,58
no_change,14.507,61
no_change,15.934,62
no_change,16.084,62
no_change,16.086,47
no_change,16.089,54
no_change,16.091,59
no_change,17.632,59
no_change,17.657,40
no_change,17.659,71
no_change,18.13,60
no_change,18.343,61
no_change,18.532,74
no_change,18.539,62
no_change,18.952,74
no_change,19.073,62
no_change,19.236,40
no_change,19.239,56
no_change,19.243,68
no_change,20.052,56
no_change,20.391,71
no_change,20.561,54
no_change,20.705,69
no_change,20.85,52
no_change,20.948,68
no_change,21.059,50
no_change,21.139,66
no_change,21.282,49
no_change,21.327,64
no_change,21.48,47
no_change,21.707,62
no_change,21.73,47
no_change,22.595,59
no_change,23.002,47
no_change,23.03,52
no_change,23.084,40
no_change,23.098,56
no_change,23.155,59
no_change,24.489,61
no_change,24.625,52
no_change,24.63,45
no_change,25.984,45
no_change,26.225,73
no_change,26.427,69
no_change,26.582,73
no_change,26.718,68
no_change,26.848,71
no_change,26.98,66
no_change,27.095,69
no_change,27.209,64
no_change,27.211,45
no_change,27.364,68
no_change,27.475,62
no_change,27.611,66
no_change,27.705,61
no_change,27.816,64
no_change,27.948,49
no_change,28.041,45
no_change,28.18,50
no_change,28.266,47
no_change,28.414,44
no_change,28.448,40
no_change,28.632,74
no_change,28.77,71
no_change,28.875,47
no_change,29.018,44
no_change,29.307,45
no_change,29.714,73
no_change,29.864,69
no_change,29.973,73
no_change,30.086,68
no_change,30.15,71
no_change,30.305,66
no_change,30.432,69
no_change,30.548,64
no_change,30.55,45
no_change,30.748,68
no_change,30.873,62
no_change,30.982,66
no_change,31.08,61
no_change,31.175,64
no_change,31.32,49
no_change,31.409,45
no_change,31.527,50
no_change,31.636,47
no_change,31.764,44
no_change,31.8,40
no_change,31.98,74
no_change,32.105,71
no_change,32.241,47
no_change,32.343,44
no_change,32.668,45
no_change,33.089,69
no_change,33.275,71
no_change,33.384,73
no_change,33.486,74
no_change,33.602,76
no_change,33.709,78
no_change,33.802,80
no_change,33.898,81
no_change,33.9,45
no_change,34.486,57
no_change,34.711,59
no_change,34.845,61
no_change,34.964,62
no_change,35.102,64
no_change,35.22,66
no_change,35.33,68
no_change,35.459,69
no_change,35.464,45
no_change,35.625,68
no_change,35.775,66
no_change,35.877,64
no_change,36.007,42
no_change,36.009,63
no_change,36.143,59
no_change,36.268,61
no_change,36.38,63
no_change,36.55,40
no_change,36.798,64
no_change,36.995,63
no_change,37.134,62
no_change,37.259,61
no_change,37.386,60
no_change,37.495,59
no_change,37.607,57
no_change,37.725,56
no_change,37.845,55
no_change,37.995,54
no_change,38.118,53
no_change,38.236,52
no_change,38.37,51
no_change,38.502,54
no_change,38.659,52
no_change,38.93,40
no_change,40.605,45
no_change,40.793,61
no_change,40.816,73
no_change,41.414,62
no_change,41.627,63
no_change,41.63,75
no_change,41.791,76
no_change,41.802,64
no_change,42.2,76
no_change,42.205,64
no_change,42.209,45
no_change,42.334,57
no_change,42.341,69
no_change,43.241,57
no_change,43.582,73
no_change,43.748,56
no_change,43.891,71
no_change,44.009,54
no_change,44.107,69
no_change,44.223,52
no_change,44.325,68
no_change,44.43,50
no_change,44.518,66
no_change,44.641,49
no_change,44.873,64
no_change,44.886,49
no_change,45.784,61
no_change,46.175,49
no_change,46.2,54
no_change,46.255,42
no_change,46.259,58
no_change,46.318,61
no_change,47.686,62
no_change,47.855,47
no_change,47.857,54
no_change,47.868,59
no_change,49.168,40
no_change,49.184,59
no_change,49.575,72
no_change,49.584,60
no_change,49.775,61
no_change,49.952,74
no_change,49.957,62
no_change,50.291,40
no_change,50.293,62
no_change,50.473,68
no_change,50.477,56
no_change,51.252,56
no_change,51.63,71
no_change,51.795,54
no_change,51.948,69
no_change,52.043,52
no_change,52.168,68
no_change,52.277,50
no_change,52.382,66
no_change,52.489,49
no_change,52.573,64
no_change,52.691,47
no_change,52.775,62
no_change,52.941,47
no_change,53.955,59
no_change,54.327,47
no_change,54.377,52
no_change,54.425,56
no_change,54.427,40
no_change,54.493,59
no_change,56.002,61
no_change,56.193,52
no_change,56.195,45
no_change,57.859,45
no_change,58.105,73
no_change,58.307,69
no_change,58.464,73
no_change,58.591,68
no_change,58.725,71
no_change,58.843,66
no_change,58.957,69
no_change,59.073,64
no_change,59.075,45
no_change,59.202,68
no_change,59.314,62
no_change,59.334,66
no_change,59.532,61
no_change,59.641,64
no_change,59.761,49
no_change,59.852,45
no_change,59.977,50
no_change,60.098,47
no_change,60.207,44
no_change,60.243,40
no_change,60.423,74
no_change,60.53,71
no_change,60.68,47
no_change,60.811,44
no_change,61.066,45
no_change,61.425,73
no_change,61.627,69
no_change,61.77,73
no_change,61.911,68
no_change,62.039,71
no_change,62.177,66
no_change,62.289,69
no_change,62.395,45
no_change,62.541,68
no_change,62.657,62
no_change,62.768,66
no_change,62.864,61
no_change,62.973,64
no_change,63.091,49
no_change,63.168,45
no_change,63.3,50
no_change,63.414,47
no_change,63.514,44
no_change,63.589,40
no_change,63.727,74
no_change,63.852,71
no_change,63.991,47
no_change,64.091,44
no_change,64.386,45
no_change,64.784,69
no_change,64.97,71
no_change,65.077,73
no_change,65.2,74
no_change,65.325,76
no_change,65.407,78
no_change,65.527,80
no_change,65.607,81
no_change,65.611,45
no_change,66.275,57
no_change,66.498,59
no_change,66.645,61
no_change,66.78,62
no_change,66.898,64
no_change,67.007,66
no_change,67.123,68
no_change,67.248,69
no_change,67.255,45
no_change,67.37,68
no_change,67.498,66
no_change,67.614,64
no_change,67.73,42
no_change,67.886,59
no_change,67.993,61
no_change,68.132,63
no_change,68.307,40
no_change,68.586,64
no_change,68.798,63
no_change,68.943,62
no_change,69.068,61
no_change,69.173,60
no_change,69.293,59
no_change,69.416,57
no_change,69.53,56
no_change,69.661,55
no_change,69.78,54
no_change,69.902,53
no_change,70.016,52
no_change,70.136,51
no_change,70.25,54
no_change,70.364,52
no_change,70.568,40
no_change,72.616,71
no_change,72.62,40
no_change,72.968,74
no_change,73.109,69
no_change,73.227,73
no_change,73.339,68
no_change,73.455,71
no_change,73.58,69
no_change,73.7,73
no_change,73.807,40
no_change,73.811,68
no_change,73.941,71
no_change,74.057,66
no_change,74.184,69
no_change,74.305,64
no_change,74.4,68
no_change,74.516,66
no_change,74.625,69
no_change,74.723,40
no_change,74.725,64
no_change,74.852,68
no_change,74.98,62
no_change,75.098,66
no_change,75.211,61
no_change,75.318,64
no_change,75.434,59
no_change,75.545,62
no_change,75.702,45
no_change,75.991,69
no_change,76.209,68
no_change,76.373,67
no_change,76.493,66
no_change,76.627,65
no_change,76.752,64
no_change,76.882,63
no_change,77.0,62
no_change,77.105,61
no_change,77.225,60
no_change,77.343,59
no_change,77.461,58
no_change,77.57,57
no_change,77.695,56
no_change,77.8,59
no_change,77.9,57
no_change,78.148,52
no_change,78.252,54
no_change,78.368,52
no_change,78.473,50
no_change,78.566,49
no_change,78.664,47
no_change,78.795,45
no_change,79.064,71
no_change,79.066,40
no_change,79.357,74
no_change,79.473,69
no_change,79.591,73
no_change,79.7,68
no_change,79.814,71
no_change,79.93,69
no_change,80.039,73
no_change,80.148,40
no_change,80.298,71
no_change,80.414,66
no_change,80.532,69
no_change,80.632,64
no_change,80.743,68
no_change,80.889,66
no_change,80.952,69
no_change,81.08,40
no_change,81.202,68
no_change,81.32,62
no_change,81.441,66
no_change,81.564,61
no_change,81.668,64
no_change,81.768,59
no_change,81.875,62
no_change,82.034,45
no_change,82.316,69
no_change,82.532,68
no_change,82.675,67
no_change,82.795,66
no_change,82.934,65
no_change,83.075,64
no_change,83.198,63
no_change,83.298,62
no_change,83.416,61
no_change,83.534,60
no_change,83.668,59
no_change,83.777,58
no_change,83.891,57
no_change,84.018,56
no_change,84.12,59
no_change,84.239,57
no_change,84.5,52
no_change,84.62,54
no_change,84.725,52
no_change,84.857,50
no_change,84.948,49
no_change,85.061,47
no_change,85.152,45
no_change,85.275,42
no_change,85.666,66
no_change,85.811,68
no_change,85.905,70
no_change,86.009,71
no_change,86.143,73
no_change,86.241,75
no_change,86.366,77
no_change,86.445,78
no_change,87.205,42
no_change,87.323,44
no_change,87.466,46
no_change,87.57,47
no_change,87.643,49
no_change,87.784,51
no_change,88.005,47
no_change,88.543,71
no_change,88.67,69
no_change,88.766,68
no_change,88.884,71
no_change,88.975,69
no_change,89.111,66
no_change,89.239,40
no_change,89.489,64
no_change,89.657,66
no_change,89.748,68
no_change,89.88,69
no_change,89.984,71
no_change,90.091,73
no_change,90.198,75
no_change,90.298,76
no_change,90.784,40
no_change,90.882,42
no_change,91.002,44
no_change,91.141,45
no_change,91.245,47
no_change,91.298,49
no_change,91.455,45
no_change,91.673,69
no_change,91.805,68
no_change,91.923,71
no_change,92.027,69
no_change,92.13,68
no_change,92.243,69
no_change,92.416,50
no_change,92.689,66
no_change,92.864,68
no_change,92.977,69
no_change,93.095,71
no_change,93.214,73
no_change,93.311,76
no_change,93.416,74
no_change,93.568,45
no_change,93.682,64
no_change,93.789,66
no_change,93.914,68
no_change,94.027,69
no_change,94.136,71
no_change,94.243,74
no_change,94.33,73
no_change,94.461,40
no_change,94.591,63
no_change,94.698,64
no_change,94.816,66
no_change,94.939,68
no_change,95.091,69
no_change,95.311,73
no_change,95.689,71
no_change,95.984,45
no_change,96.298,69
