onset_type,onset_time,pitch
no_change,2.677,47
no_change,2.82,54
no_change,3.248,59
no_change,3.648,61
no_change,4.107,59
early,5.619,47
no_change,9.284,54
no_change,9.727,59
no_change,10.2,61
no_change,10.482,59
no_change,10.864,64
no_change,11.245,62
no_change,11.625,61
no_change,12.007,54
no_change,15.275,47
no_change,15.766,54
no_change,15.936,59
no_change,16.109,61
no_change,16.25,59
no_change,16.409,64
no_change,16.548,62
no_change,16.684,61
no_change,16.866,54
no_change,17.502,69
no_change,18.064,64
no_change,20.427,64
no_change,20.625,66
no_change,20.777,64
no_change,20.995,62
no_change,21.289,50
no_change,21.78,43
no_change,24.491,40
no_change,24.559,50
no_change,24.67,55
no_change,24.768,47
no_change,25.348,59
no_change,26.095,42
no_change,26.155,52
no_change,26.232,57
no_change,26.298,61
no_change,27.366,64
no_change,29.225,47
no_change,29.548,54
no_change,29.761,59
no_change,30.143,61
no_change,30.536,59
no_change,34.323,47
no_change,34.507,54
no_change,34.659,59
no_change,34.827,61
no_change,34.968,59
no_change,35.13,64
no_change,35.282,62
no_change,35.452,61
no_change,35.886,54
no_change,39.291,47
no_change,39.739,54
no_change,39.911,59
no_change,40.066,61
no_change,40.211,59
no_change,40.327,64
no_change,40.461,62
no_change,40.584,61
no_change,40.714,54
no_change,40.889,69
no_change,41.634,64
no_change,42.909,64
no_change,43.13,66
no_change,43.2,64
no_change,43.35,62
no_change,43.661,50
no_change,44.193,43
no_change,46.498,40
no_change,46.566,50
no_change,46.623,55
no_change,46.677,47
no_change,47.811,62
no_change,48.652,45
no_change,48.655,55
no_change,49.614,69
no_change,50.807,59
no_change,51.266,74
no_change,51.268,69
no_change,51.525,85
no_change,51.659,78
no_change,54.577,59
no_change,55.336,69
no_change,55.873,85
no_change,55.898,78
no_change,55.9,74
no_change,61.145,47
no_change,61.241,57
no_change,61.314,62
no_change,61.386,66
no_change,62.955,64
no_change,63.177,62
no_change,63.407,54
no_change,63.62,61
no_change,64.093,64
no_change,64.386,59
no_change,64.716,62
no_change,65.234,47
no_change,65.32,54
no_change,65.391,55
no_change,65.464,61
no_change,65.561,62
no_change,65.664,61
no_change,67.434,64
no_change,67.532,52
no_change,67.764,50
no_change,68.098,42
no_change,68.159,49
no_change,68.218,55
no_change,68.841,52
no_change,69.17,47
no_change,69.57,62
no_change,69.88,40
no_change,70.166,67
no_change,70.736,59
no_change,71.348,45
no_change,71.657,47
no_change,71.93,50
no_change,71.932,69
no_change,72.4,55
no_change,72.489,59
no_change,72.52,67
no_change,73.03,55
no_change,73.334,52
no_change,73.336,55
no_change,73.339,59
no_change,73.832,69
no_change,74.759,50
no_change,74.855,54
no_change,74.948,58
no_change,75.0,61
no_change,76.611,47
no_change,76.691,50
no_change,76.795,57
no_change,77.068,59
no_change,77.275,66
no_change,77.493,62
no_change,77.832,61
no_change,77.834,56
no_change,78.609,47
no_change,79.423,56
no_change,79.475,42
no_change,79.48,59
no_change,80.102,40
no_change,80.105,61
no_change,80.58,55
no_change,80.618,52
no_change,80.625,62
no_change,81.041,64
no_change,81.359,50
no_change,81.361,59
no_change,81.677,49
no_change,82.002,47
no_change,82.082,55
no_change,82.125,59
no_change,82.173,64
no_change,82.443,74
no_change,82.65,67
no_change,82.848,73
no_change,83.084,66
no_change,83.37,71
no_change,84.225,52
no_change,84.275,55
