onset_type,onset_time,pitch
no_change,1.089,59
no_change,2.177,64
no_change,3.441,67
no_change,3.459,67
late,4.905,42
no_change,4.955,52
no_change,4.977,58
no_change,4.995,61
no_change,5.002,66
no_change,5.434,49
no_change,5.509,66
no_change,5.514,58
no_change,5.684,47
no_change,5.843,59
no_change,6.005,63
no_change,6.164,67
no_change,6.339,40
no_change,6.341,55
no_change,6.343,59
no_change,6.87,64
no_change,6.873,55
no_change,7.041,43
no_change,7.211,52
no_change,7.361,55
no_change,7.509,60
no_change,7.716,42
no_change,7.718,51
no_change,7.72,59
no_change,8.241,57
no_change,8.243,51
no_change,8.407,42
no_change,8.57,45
no_change,8.727,51
no_change,8.905,55
no_change,9.057,54
no_change,9.059,40
no_change,9.591,52
no_change,9.593,55
no_change,9.764,40
no_change,9.905,59
no_change,10.061,64
no_change,10.209,67
no_change,10.416,42
no_change,10.423,49
no_change,10.427,52
no_change,10.441,58
no_change,10.443,61
no_change,10.932,66
no_change,10.936,61
no_change,10.939,58
no_change,11.111,47
no_change,11.28,59
no_change,11.434,63
no_change,11.58,67
no_change,11.759,66
no_change,11.761,62
no_change,11.764,40
no_change,12.266,64
no_change,12.268,56
no_change,12.439,47
no_change,12.602,59
no_change,12.748,64
no_change,12.891,62
no_change,13.05,62
no_change,13.052,52
no_change,13.055,45
no_change,13.057,55
no_change,13.582,52
no_change,13.584,55
no_change,13.759,45
no_change,13.914,61
no_change,14.068,64
no_change,14.209,67
no_change,14.375,66
no_change,14.382,61
no_change,14.384,55
no_change,14.386,45
no_change,14.884,55
no_change,14.886,61
no_change,15.041,45
no_change,15.2,64
no_change,15.343,67
no_change,15.602,71
no_change,15.73,71
no_change,15.732,66
no_change,15.734,60
no_change,15.736,50
no_change,15.893,66
no_change,15.9,69
no_change,15.902,60
no_change,16.243,66
no_change,16.245,60
no_change,16.43,60
no_change,16.432,50
no_change,16.809,74
no_change,17.802,71
no_change,18.13,69
no_change,18.136,43
no_change,18.609,62
no_change,18.611,67
no_change,18.614,59
no_change,18.786,43
no_change,18.936,51
no_change,19.093,50
no_change,19.25,49
no_change,19.432,48
no_change,19.445,69
no_change,19.605,58
no_change,19.607,67
no_change,19.939,58
no_change,19.941,64
no_change,20.093,48
no_change,20.095,58
no_change,20.5,72
no_change,21.275,69
no_change,21.534,67
no_change,21.541,57
no_change,21.543,41
no_change,22.011,65
no_change,22.016,57
