onset_type,onset_time,pitch
no_change,1.195,47
no_change,2.177,62
no_change,2.18,54
no_change,2.823,45
late,3.432,42
no_change,4.12,55
no_change,4.232,61
no_change,5.073,40
no_change,5.259,52
no_change,5.686,47
no_change,6.452,54
no_change,6.995,45
no_change,7.564,49
no_change,8.395,55
no_change,9.032,47
no_change,9.534,50
no_change,10.073,58
no_change,10.514,49
no_change,11.0,55
no_change,11.393,58
no_change,11.518,61
no_change,11.602,66
no_change,12.225,54
no_change,12.957,61
no_change,13.459,62
no_change,13.53,66
no_change,13.63,71
no_change,14.016,59
no_change,14.743,54
no_change,15.341,64
no_change,15.423,67
no_change,15.541,73
no_change,16.764,52
no_change,17.575,48
no_change,18.148,59
no_change,18.173,55
no_change,18.707,49
no_change,19.243,46
no_change,19.995,60
no_change,19.998,52
no_change,20.811,42
no_change,20.911,52
no_change,21.08,55
no_change,21.27,61
no_change,22.775,47
no_change,23.582,54
no_change,24.395,78
no_change,25.152,47
no_change,25.843,54
no_change,26.952,76
no_change,28.366,45
no_change,29.114,54
no_change,29.298,62
no_change,29.75,64
no_change,30.241,45
no_change,30.352,66
no_change,31.011,54
no_change,31.755,56
no_change,32.389,47
no_change,33.009,54
no_change,33.493,64
no_change,33.911,45
no_change,34.027,61
no_change,34.668,54
no_change,35.452,56
no_change,36.061,47
no_change,36.761,62
no_change,36.764,54
no_change,37.264,64
no_change,37.657,45
no_change,37.72,54
no_change,37.809,61
no_change,37.905,66
no_change,38.655,69
no_change,39.232,68
no_change,39.566,50
no_change,39.689,59
no_change,39.736,66
no_change,40.37,68
no_change,40.823,66
no_change,41.311,64
no_change,41.314,59
no_change,41.318,49
no_change,41.855,66
no_change,42.286,64
no_change,42.293,43
no_change,42.693,42
no_change,42.834,62
no_change,43.395,52
no_change,44.268,58
no_change,45.475,47
no_change,46.195,54
no_change,46.33,62
no_change,46.755,64
no_change,47.195,45
no_change,47.245,66
no_change,47.839,54
no_change,48.484,56
no_change,48.97,47
no_change,49.57,62
no_change,49.575,54
no_change,50.05,64
no_change,50.477,61
no_change,50.48,45
no_change,51.041,54
no_change,51.632,56
no_change,52.18,47
no_change,52.495,57
no_change,52.841,62
no_change,52.845,54
no_change,53.295,64
no_change,53.677,45
no_change,53.745,54
no_change,53.823,61
no_change,53.895,66
no_change,54.525,69
no_change,54.934,71
no_change,55.409,53
no_change,55.534,73
no_change,56.125,59
no_change,56.657,59
no_change,57.214,73
no_change,57.223,52
no_change,57.934,58
no_change,58.82,58
no_change,59.007,61
no_change,60.402,47
no_change,60.473,62
no_change,60.564,66
no_change,60.668,74
no_change,61.268,73
no_change,61.72,71
no_change,62.111,45
no_change,62.182,54
no_change,62.252,61
no_change,62.332,69
no_change,63.023,67
no_change,63.48,66
no_change,63.939,43
no_change,64.02,50
no_change,64.082,57
no_change,64.159,59
no_change,64.634,55
no_change,65.102,54
no_change,65.598,59
no_change,65.6,43
no_change,66.195,50
no_change,66.63,52
no_change,66.995,42
no_change,67.07,55
no_change,67.145,58
no_change,67.209,61
no_change,67.791,54
no_change,68.277,52
no_change,68.961,54
no_change,68.966,47
no_change,68.968,62
no_change,69.845,66
no_change,70.33,66
no_change,70.791,55
no_change,70.905,71
no_change,71.555,61
no_change,71.957,67
no_change,72.343,54
no_change,72.445,69
no_change,73.193,61
no_change,73.62,59
no_change,74.005,52
no_change,74.177,67
no_change,74.62,59
no_change,74.991,58
no_change,75.514,61
no_change,75.516,50
no_change,76.2,59
no_change,76.643,61
no_change,76.955,49
no_change,77.041,59
no_change,77.182,64
no_change,77.909,55
no_change,78.336,54
no_change,78.807,47
no_change,79.32,54
no_change,79.736,55
no_change,80.225,61
no_change,80.227,44
no_change,80.793,59
no_change,81.25,52
no_change,81.257,43
no_change,81.63,42
no_change,81.777,59
no_change,81.782,50
no_change,83.336,66
no_change,84.814,59
no_change,86.205,47
no_change,86.3,62
no_change,86.398,66
no_change,86.514,74
no_change,87.164,73
no_change,87.555,71
no_change,87.898,45
no_change,87.975,54
no_change,88.048,61
no_change,88.141,69
no_change,88.755,67
no_change,89.159,66
no_change,89.486,43
no_change,89.58,50
no_change,89.648,57
no_change,89.732,59
no_change,90.17,55
no_change,90.566,54
no_change,91.077,43
no_change,91.614,50
no_change,92.066,52
no_change,92.402,42
no_change,92.482,55
no_change,92.584,58
no_change,92.705,61
no_change,93.15,54
no_change,93.702,52
no_change,94.368,47
no_change,95.318,66
no_change,95.761,66
no_change,96.17,55
no_change,96.314,71
no_change,96.87,69
no_change,96.873,61
no_change,97.241,67
no_change,97.543,54
no_change,97.716,69
no_change,98.432,61
no_change,98.882,59
no_change,99.416,52
no_change,99.889,59
no_change,100.284,58
no_change,100.732,50
no_change,100.736,61
no_change,100.739,66
no_change,101.33,59
no_change,101.9,61
no_change,102.227,49
no_change,102.323,59
no_change,102.464,64
no_change,103.116,55
no_change,103.541,54
no_change,104.025,47
no_change,104.555,54
no_change,104.959,55
no_change,105.5,44
no_change,105.502,61
no_change,106.18,59
no_change,106.814,59
no_change,106.816,52
no_change,106.818,43
no_change,107.334,42
no_change,107.45,50
no_change,107.652,59
no_change,108.418,66
no_change,109.593,59
no_change,110.614,78
no_change,111.18,71
no_change,113.216,47
no_change,113.791,54
no_change,114.139,62
no_change,114.38,54
no_change,114.593,64
no_change,114.786,54
no_change,115.02,45
no_change,115.152,66
no_change,115.557,54
no_change,115.825,61
no_change,116.239,57
no_change,116.545,56
no_change,116.791,54
no_change,117.177,47
no_change,117.493,54
no_change,117.786,62
no_change,118.0,54
no_change,118.22,64
no_change,118.427,54
no_change,118.645,45
no_change,118.791,61
no_change,119.075,54
no_change,119.423,66
no_change,119.425,61
no_change,119.775,57
no_change,120.018,56
no_change,120.266,54
no_change,120.584,47
no_change,120.98,54
no_change,121.236,62
no_change,121.464,54
no_change,121.698,64
no_change,121.884,54
no_change,122.107,45
no_change,122.17,66
no_change,122.452,54
no_change,122.73,61
no_change,123.014,59
no_change,123.227,62
no_change,123.23,68
no_change,123.427,61
no_change,123.589,50
no_change,123.673,66
no_change,123.675,59
no_change,123.87,62
no_change,124.075,68
no_change,124.077,61
no_change,124.273,59
no_change,124.457,66
no_change,124.466,57
no_change,124.668,56
no_change,124.877,64
no_change,124.884,49
no_change,125.132,59
no_change,125.348,66
no_change,125.35,58
no_change,125.527,59
no_change,125.748,54
no_change,125.764,64
no_change,125.768,43
no_change,125.989,52
no_change,126.202,42
no_change,126.264,52
no_change,126.336,55
no_change,126.395,62
no_change,126.58,58
no_change,126.768,55
no_change,126.775,61
no_change,127.043,54
no_change,127.252,58
no_change,127.407,64
no_change,127.595,62
no_change,127.816,47
no_change,128.132,54
no_change,128.37,62
no_change,128.564,54
no_change,128.739,64
no_change,128.893,54
no_change,129.1,45
no_change,129.255,66
no_change,129.545,54
no_change,129.768,61
no_change,130.061,57
no_change,130.275,56
no_change,130.486,54
no_change,130.784,47
no_change,131.057,54
no_change,131.282,62
no_change,131.457,54
no_change,131.645,64
no_change,131.809,54
no_change,132.002,45
no_change,132.082,61
no_change,132.275,54
no_change,132.545,61
no_change,132.718,69
no_change,133.02,68
no_change,133.193,66
no_change,133.345,64
no_change,133.584,47
no_change,133.843,54
no_change,134.059,62
no_change,134.259,54
no_change,134.441,64
no_change,134.591,54
no_change,134.802,45
no_change,134.809,66
no_change,135.034,54
no_change,135.216,69
no_change,135.22,61
no_change,135.418,66
no_change,135.641,68
no_change,135.843,66
no_change,136.052,65
no_change,136.055,73
no_change,136.259,62
no_change,136.534,59
no_change,136.834,66
no_change,137.066,65
no_change,137.502,59
no_change,137.986,55
no_change,137.989,52
no_change,138.261,42
no_change,139.007,42
no_change,139.111,55
no_change,139.5,52
no_change,139.634,42
no_change,140.159,42
no_change,141.105,47
no_change,141.257,74
no_change,141.741,66
no_change,141.984,64
no_change,142.225,66
no_change,142.441,62
no_change,142.589,66
no_change,142.839,45
no_change,142.936,69
no_change,143.15,54
no_change,143.357,67
no_change,143.359,60
no_change,143.561,62
no_change,143.836,64
no_change,144.239,59
no_change,144.725,43
no_change,144.798,50
no_change,144.875,57
no_change,144.943,59
no_change,145.616,42
no_change,145.618,55
no_change,145.62,52
no_change,147.386,70
no_change,147.639,66
no_change,147.768,64
no_change,147.927,62
no_change,148.102,71
no_change,148.227,70
no_change,148.327,64
no_change,148.439,62
no_change,148.561,70
no_change,148.689,66
no_change,148.809,64
no_change,148.914,62
no_change,149.057,64
no_change,149.2,61
no_change,149.302,59
no_change,149.386,58
no_change,149.509,67
no_change,149.616,64
no_change,149.734,59
no_change,149.805,58
no_change,150.0,64
no_change,150.18,61
no_change,150.314,59
no_change,150.416,58
no_change,150.573,67
no_change,150.673,66
no_change,150.777,64
no_change,150.875,62
no_change,150.984,61
no_change,151.095,59
no_change,151.193,58
no_change,151.282,59
no_change,151.409,61
no_change,151.5,62
no_change,151.618,64
no_change,151.727,66
no_change,151.827,67
no_change,151.982,69
no_change,152.107,70
no_change,152.218,71
no_change,152.375,73
no_change,152.514,71
no_change,152.584,66
no_change,152.709,62
no_change,152.82,66
no_change,152.934,71
no_change,153.011,73
no_change,153.173,74
no_change,153.359,76
no_change,153.489,73
no_change,153.6,70
no_change,153.709,67
no_change,153.827,66
no_change,153.984,70
no_change,154.111,64
no_change,154.195,70
no_change,154.293,64
no_change,154.42,70
no_change,154.516,64
no_change,154.614,70
no_change,154.734,61
no_change,154.875,67
no_change,154.975,64
no_change,155.077,67
no_change,155.186,59
no_change,155.311,67
no_change,155.411,64
no_change,155.507,67
no_change,155.632,58
no_change,155.764,67
no_change,155.866,64
no_change,155.973,67
no_change,156.1,55
no_change,156.255,59
no_change,156.375,64
no_change,156.495,59
no_change,156.625,54
no_change,156.75,55
no_change,156.861,59
no_change,156.984,55
no_change,157.1,53
no_change,157.28,55
no_change,157.423,59
no_change,157.566,61
no_change,157.782,42
no_change,157.891,62
no_change,158.23,52
no_change,158.464,55
no_change,158.627,61
no_change,158.773,64
no_change,158.916,62
no_change,159.036,61
no_change,159.164,59
no_change,159.323,58
no_change,159.325,52
no_change,159.702,50
no_change,159.955,50
no_change,160.207,49
no_change,160.448,47
no_change,160.893,62
no_change,161.048,54
no_change,161.218,64
no_change,161.625,62
no_change,161.677,66
no_change,162.805,55
no_change,163.123,61
no_change,163.307,64
no_change,163.53,61
no_change,163.709,67
no_change,163.866,61
no_change,164.15,54
no_change,164.159,73
no_change,164.161,69
no_change,164.441,61
no_change,164.677,71
no_change,164.948,61
no_change,165.264,69
no_change,165.695,61
no_change,166.227,40
no_change,166.443,78
no_change,166.639,55
no_change,167.07,76
no_change,167.134,59
no_change,167.673,74
no_change,167.95,73
no_change,168.348,70
no_change,168.584,50
no_change,168.684,73
no_change,169.05,59
no_change,169.368,71
no_change,169.6,61
no_change,169.936,59
no_change,170.325,73
no_change,170.691,49
no_change,170.83,71
no_change,171.491,55
no_change,171.755,76
no_change,172.016,66
no_change,172.33,73
no_change,172.332,64
no_change,172.877,55
no_change,173.15,47
no_change,173.268,66
no_change,173.595,54
no_change,174.018,74
no_change,174.339,64
no_change,174.6,62
no_change,174.986,54
no_change,175.6,61
no_change,175.602,44
no_change,176.239,59
no_change,177.08,59
no_change,177.084,43
no_change,178.127,42
no_change,178.132,50
no_change,179.086,78
no_change,181.509,43
no_change,182.859,79
no_change,185.945,42
no_change,186.12,50
no_change,186.216,59
no_change,187.641,83
