onset_type,onset_time,pitch
no_change,1.873,50
no_change,2.107,57
no_change,2.109,66
no_change,2.332,45
early,2.499,61
no_change,2.58,71
no_change,2.582,67
no_change,2.805,50
no_change,3.03,57
no_change,3.284,45
no_change,3.525,61
no_change,3.527,67
no_change,3.786,50
no_change,3.993,57
no_change,3.995,66
no_change,4.259,45
no_change,4.468,61
no_change,4.47,71
no_change,4.473,67
no_change,4.72,50
no_change,4.952,57
no_change,4.955,66
no_change,5.232,45
no_change,5.47,61
no_change,5.473,67
no_change,6.234,69
no_change,6.236,54
no_change,6.464,57
no_change,6.477,67
no_change,6.707,52
no_change,6.92,57
no_change,6.925,67
no_change,7.17,50
no_change,7.177,69
no_change,7.377,66
no_change,7.623,71
no_change,7.627,49
no_change,7.85,64
no_change,8.114,47
no_change,8.125,74
no_change,8.35,62
no_change,8.586,40
no_change,8.589,76
no_change,8.805,68
no_change,8.807,62
no_change,9.057,45
no_change,9.293,64
no_change,9.523,57
no_change,9.525,73
no_change,9.78,64
no_change,10.045,54
no_change,10.268,57
no_change,10.52,52
no_change,10.73,57
no_change,10.743,67
no_change,10.989,50
no_change,11.202,66
no_change,11.434,49
no_change,11.648,73
no_change,11.65,64
no_change,11.909,47
no_change,12.136,66
no_change,12.139,62
no_change,12.384,71
no_change,12.389,52
no_change,12.611,62
no_change,12.614,68
no_change,12.864,69
no_change,12.866,61
no_change,12.868,45
no_change,13.08,49
no_change,13.323,52
no_change,13.55,57
no_change,13.809,60
no_change,14.034,66
no_change,14.289,59
no_change,14.291,69
no_change,14.505,67
no_change,14.507,62
no_change,14.739,58
no_change,14.955,62
no_change,14.957,67
no_change,15.189,58
no_change,15.214,66
no_change,15.448,64
no_change,15.45,62
no_change,15.718,55
no_change,15.723,62
no_change,15.948,40
no_change,16.207,42
no_change,16.209,64
no_change,16.211,57
no_change,16.441,43
no_change,16.677,44
no_change,16.682,62
no_change,16.684,66
no_change,16.909,45
no_change,17.159,62
no_change,17.166,46
no_change,17.391,47
no_change,17.618,48
no_change,17.845,62
no_change,18.08,47
no_change,18.082,69
no_change,18.3,62
no_change,18.311,67
no_change,18.559,66
no_change,18.561,46
no_change,18.741,55
no_change,18.768,67
no_change,18.998,66
no_change,19.002,45
no_change,19.227,54
no_change,19.239,64
no_change,19.241,57
no_change,19.557,62
no_change,19.564,44
no_change,19.757,59
no_change,19.759,52
no_change,19.989,64
no_change,19.993,43
no_change,20.195,57
no_change,20.23,61
no_change,20.457,62
no_change,20.464,42
no_change,20.707,50
no_change,20.939,54
no_change,21.177,57
no_change,21.443,59
no_change,21.448,74
no_change,21.689,67
no_change,21.691,73
no_change,21.932,58
no_change,21.939,74
no_change,22.161,62
no_change,22.177,66
no_change,22.409,59
no_change,22.416,74
no_change,22.648,73
no_change,22.65,67
no_change,22.898,58
no_change,22.9,74
no_change,23.114,62
no_change,23.12,73
no_change,23.123,66
no_change,23.366,59
no_change,23.582,67
no_change,23.827,71
no_change,23.83,55
no_change,24.061,62
no_change,24.302,62
no_change,24.305,54
no_change,24.55,50
no_change,24.768,57
no_change,25.0,58
no_change,25.273,74
no_change,25.275,67
no_change,25.277,59
no_change,25.518,73
no_change,25.736,74
no_change,25.909,71
no_change,26.011,55
no_change,26.245,69
no_change,26.25,60
no_change,26.252,51
no_change,26.475,71
no_change,26.709,69
no_change,26.714,52
no_change,26.948,67
no_change,27.182,56
no_change,27.184,47
no_change,27.186,62
no_change,27.645,64
no_change,27.652,49
no_change,27.661,57
no_change,28.095,54
no_change,28.109,62
no_change,28.111,50
no_change,28.359,57
no_change,28.632,54
no_change,28.914,52
no_change,29.066,47
no_change,29.307,54
no_change,29.534,64
no_change,29.55,64
no_change,29.768,66
no_change,29.98,69
no_change,29.984,45
no_change,30.209,64
no_change,30.211,61
no_change,30.466,55
no_change,30.473,69
no_change,30.686,61
no_change,30.932,54
no_change,31.159,62
no_change,31.4,73
no_change,31.409,53
no_change,31.609,74
no_change,31.616,62
no_change,31.85,52
no_change,31.855,69
no_change,32.095,61
no_change,32.323,45
no_change,32.543,57
no_change,32.816,47
no_change,32.82,66
no_change,32.891,62
no_change,33.02,50
no_change,33.261,51
no_change,33.266,73
no_change,33.27,66
no_change,33.486,71
no_change,33.489,52
no_change,33.755,64
no_change,33.757,49
no_change,33.82,55
no_change,33.998,45
no_change,34.22,50
no_change,34.223,60
no_change,34.45,54
no_change,34.698,55
no_change,34.705,63
no_change,34.78,59
no_change,35.155,45
no_change,35.161,52
no_change,35.168,61
no_change,35.173,64
no_change,35.175,69
no_change,35.65,50
no_change,35.652,69
no_change,35.725,78
no_change,35.777,50
no_change,36.957,50
no_change,37.184,66
no_change,37.186,57
no_change,37.441,45
no_change,37.648,61
no_change,37.65,67
no_change,37.927,50
no_change,38.132,57
no_change,38.134,71
no_change,38.393,45
no_change,38.62,61
no_change,38.623,67
no_change,38.852,50
no_change,39.086,57
no_change,39.089,66
no_change,39.37,45
no_change,39.582,61
no_change,39.584,67
no_change,39.82,50
no_change,40.061,57
no_change,40.345,45
no_change,40.607,61
no_change,40.609,71
no_change,40.611,67
no_change,41.114,54
no_change,41.116,69
no_change,41.32,57
no_change,41.325,67
no_change,41.573,52
no_change,41.575,66
no_change,41.791,57
no_change,41.793,67
no_change,42.034,50
no_change,42.248,66
no_change,42.491,49
no_change,42.498,71
no_change,42.7,64
no_change,42.964,47
no_change,43.125,66
no_change,43.175,62
no_change,43.427,40
no_change,43.432,76
no_change,43.652,62
no_change,43.655,68
no_change,43.905,45
no_change,44.13,64
no_change,44.132,68
no_change,44.352,57
no_change,44.357,73
no_change,44.605,67
no_change,44.607,64
no_change,44.875,54
no_change,44.877,69
no_change,45.093,57
no_change,45.098,67
no_change,45.327,52
no_change,45.539,57
no_change,45.541,67
no_change,45.784,50
no_change,45.786,69
no_change,46.011,66
no_change,46.216,49
no_change,46.22,71
no_change,46.445,73
no_change,46.448,64
no_change,46.705,47
no_change,46.707,74
no_change,46.936,62
no_change,47.184,71
no_change,47.186,52
no_change,47.402,62
no_change,47.405,68
no_change,47.65,69
no_change,47.655,61
no_change,47.657,45
no_change,47.925,49
no_change,48.159,52
no_change,48.366,57
no_change,48.627,60
no_change,48.855,66
no_change,48.857,71
no_change,49.1,59
no_change,49.102,69
no_change,49.327,62
no_change,49.33,67
no_change,49.566,66
no_change,49.568,58
no_change,49.791,62
no_change,50.014,58
no_change,50.027,66
no_change,50.273,64
no_change,50.28,62
no_change,50.536,55
no_change,50.889,40
no_change,51.164,42
no_change,51.168,64
no_change,51.17,57
no_change,51.407,43
no_change,51.645,44
no_change,51.655,66
no_change,51.657,62
no_change,51.882,45
no_change,52.114,46
no_change,52.116,62
no_change,52.361,47
no_change,52.573,48
no_change,52.575,69
no_change,52.811,66
no_change,52.814,62
no_change,53.048,47
no_change,53.05,69
no_change,53.273,67
no_change,53.275,62
no_change,53.532,66
no_change,53.545,46
no_change,53.755,67
no_change,53.761,55
no_change,53.986,66
no_change,53.989,45
no_change,54.189,54
no_change,54.2,57
no_change,54.484,44
no_change,54.486,62
no_change,54.714,52
no_change,54.939,43
no_change,55.173,57
no_change,55.414,62
no_change,55.416,42
no_change,55.645,50
no_change,55.868,54
no_change,56.089,57
no_change,56.33,59
no_change,56.334,74
no_change,56.57,67
no_change,56.798,58
no_change,56.805,74
no_change,57.018,62
no_change,57.025,73
no_change,57.027,66
no_change,57.268,74
no_change,57.273,59
no_change,57.5,67
no_change,57.732,58
no_change,57.734,74
no_change,57.941,62
no_change,57.955,66
no_change,58.205,59
no_change,58.207,74
no_change,58.441,67
no_change,58.686,55
no_change,58.691,71
no_change,58.918,62
no_change,59.157,62
no_change,59.159,54
no_change,59.398,50
no_change,59.639,57
no_change,59.848,58
no_change,60.125,59
no_change,60.364,73
no_change,60.589,74
no_change,60.83,55
no_change,60.832,71
no_change,61.091,51
no_change,61.093,60
no_change,61.314,71
no_change,61.559,52
no_change,61.561,61
no_change,61.793,67
no_change,62.064,47
no_change,62.066,56
no_change,62.068,66
no_change,62.07,62
no_change,62.509,55
no_change,62.511,49
no_change,62.952,54
no_change,62.973,50
no_change,63.225,57
no_change,63.468,54
no_change,63.791,52
no_change,63.945,62
no_change,63.95,47
no_change,64.173,54
no_change,64.177,59
no_change,64.398,64
no_change,64.434,64
no_change,64.65,66
no_change,64.873,45
no_change,65.102,64
no_change,65.105,61
no_change,65.352,69
no_change,65.355,55
no_change,65.575,61
no_change,65.814,71
no_change,65.827,54
no_change,66.05,69
no_change,66.055,62
no_change,66.289,73
no_change,66.295,53
no_change,66.514,74
no_change,66.527,62
no_change,66.786,69
no_change,66.791,52
no_change,67.009,61
no_change,67.011,67
no_change,67.241,45
no_change,67.489,57
no_change,67.752,74
no_change,67.755,47
no_change,67.97,50
no_change,68.211,51
no_change,68.214,66
no_change,68.441,52
no_change,68.714,64
no_change,68.718,49
no_change,68.78,55
no_change,68.955,45
no_change,69.184,69
no_change,69.186,50
no_change,69.189,60
no_change,69.414,69
no_change,69.418,54
no_change,69.661,55
no_change,69.664,63
no_change,69.666,59
no_change,70.127,55
no_change,70.141,45
no_change,70.143,61
no_change,70.145,69
no_change,70.148,64
no_change,70.618,50
no_change,70.623,54
no_change,70.625,57
no_change,70.627,62
no_change,70.63,66
