onset_type,onset_time,pitch
no_change,10.043,45
no_change,10.407,60
no_change,10.561,61
no_change,10.676,64
no_change,10.73,64
no_change,10.732,61
no_change,11.514,40
no_change,12.207,45
no_change,12.575,60
no_change,12.723,61
no_change,12.898,69
no_change,12.9,61
no_change,13.682,40
no_change,14.368,74
no_change,14.37,45
no_change,14.373,66
no_change,14.736,63
no_change,14.739,72
no_change,14.875,73
no_change,14.877,64
no_change,15.095,64
no_change,15.77,40
no_change,15.87,68
no_change,15.945,76
no_change,16.645,66
no_change,16.65,74
no_change,16.891,45
no_change,16.893,64
no_change,16.895,73
no_change,17.691,49
no_change,18.373,52
no_change,19.061,40
no_change,19.066,64
no_change,19.07,73
no_change,19.432,61
no_change,19.436,70
no_change,19.584,71
no_change,19.586,62
no_change,19.798,62
no_change,19.802,56
no_change,20.63,59
no_change,21.205,64
no_change,21.209,73
no_change,21.418,62
no_change,21.42,71
no_change,21.484,40
no_change,22.202,44
no_change,22.934,47
no_change,23.643,45
no_change,23.645,71
no_change,23.648,62
no_change,24.018,60
no_change,24.125,61
no_change,24.13,69
no_change,24.375,61
no_change,25.164,51
no_change,25.166,60
no_change,25.168,68
no_change,25.77,66
no_change,25.941,52
no_change,25.943,61
no_change,26.698,40
no_change,26.709,62
no_change,27.652,44
no_change,28.586,62
no_change,28.589,66
no_change,28.591,45
no_change,28.964,63
no_change,28.966,60
no_change,29.111,64
no_change,29.116,61
no_change,29.298,64
no_change,29.3,61
no_change,30.07,40
no_change,30.761,45
no_change,31.127,60
no_change,31.284,61
no_change,31.466,69
no_change,31.468,61
no_change,32.336,40
no_change,33.02,45
no_change,33.023,66
no_change,33.386,63
no_change,33.391,72
no_change,33.545,64
no_change,33.77,73
no_change,33.773,64
no_change,34.716,56
no_change,34.723,68
no_change,35.348,75
no_change,35.35,60
no_change,35.561,61
no_change,35.564,64
no_change,36.345,62
no_change,37.218,58
no_change,38.064,59
no_change,38.066,73
no_change,38.42,61
no_change,38.425,70
no_change,38.561,71
no_change,38.566,62
no_change,38.761,62
no_change,38.766,71
no_change,39.661,74
no_change,39.666,54
no_change,40.252,45
no_change,40.277,64
no_change,40.473,47
no_change,40.475,62
no_change,41.286,49
no_change,42.027,50
no_change,42.752,62
no_change,42.82,45
no_change,43.145,68
no_change,43.148,60
no_change,43.307,69
no_change,43.311,61
no_change,43.507,69
no_change,43.55,61
no_change,44.398,40
no_change,44.532,64
no_change,44.57,64
no_change,44.639,73
no_change,45.668,62
no_change,45.67,71
no_change,45.959,69
no_change,45.961,61
no_change,45.964,45
no_change,48.832,42
no_change,48.848,49
no_change,48.907,57
no_change,48.934,62
no_change,49.473,61
no_change,49.586,66
no_change,50.268,42
no_change,50.27,57
no_change,50.273,49
no_change,50.845,44
no_change,50.88,49
no_change,50.934,59
no_change,50.964,66
no_change,51.432,65
no_change,51.568,68
no_change,52.286,44
no_change,52.289,59
no_change,52.291,49
no_change,52.852,45
no_change,52.907,54
no_change,52.943,61
no_change,52.98,68
no_change,53.445,66
no_change,53.605,69
no_change,53.695,73
no_change,54.325,73
no_change,54.805,54
no_change,54.877,57
no_change,54.927,66
no_change,55.002,73
no_change,55.668,57
no_change,56.495,61
no_change,57.32,47
no_change,57.405,54
no_change,57.468,62
no_change,57.577,76
no_change,58.307,74
no_change,58.607,73
no_change,58.889,71
no_change,59.141,69
no_change,59.391,66
no_change,59.605,64
no_change,59.607,54
no_change,59.852,62
no_change,60.073,61
no_change,60.332,59
no_change,60.591,57
no_change,60.905,59
no_change,61.316,45
no_change,61.386,54
no_change,61.43,61
no_change,61.993,66
no_change,62.114,61
no_change,62.75,62
no_change,63.509,59
no_change,63.514,49
no_change,64.03,42
no_change,64.189,41
no_change,65.102,44
no_change,66.282,42
no_change,66.323,49
no_change,66.377,57
no_change,66.416,62
no_change,66.916,61
no_change,67.034,66
no_change,67.711,42
no_change,67.716,49
no_change,67.718,57
no_change,68.268,44
no_change,68.336,49
no_change,68.382,59
no_change,68.436,66
no_change,68.905,65
no_change,69.036,68
no_change,69.736,44
no_change,69.745,49
no_change,70.32,45
no_change,70.348,54
no_change,70.395,61
no_change,70.434,68
no_change,70.932,66
no_change,71.073,69
no_change,71.189,73
no_change,71.764,73
no_change,72.402,73
no_change,73.114,45
no_change,74.064,46
no_change,74.07,64
no_change,75.164,47
no_change,75.289,54
no_change,75.336,62
no_change,75.439,76
no_change,76.139,74
no_change,76.295,73
no_change,76.605,71
no_change,76.85,69
no_change,77.107,66
no_change,77.35,53
no_change,77.352,64
no_change,77.595,62
no_change,77.825,61
no_change,78.073,59
no_change,78.35,57
no_change,78.659,59
no_change,78.952,52
no_change,78.955,61
no_change,79.42,54
no_change,79.714,52
no_change,79.939,54
no_change,80.168,57
no_change,80.336,59
no_change,80.55,61
no_change,80.736,64
no_change,80.911,66
no_change,81.082,69
no_change,81.277,71
no_change,81.484,73
no_change,81.736,76
no_change,81.998,73
no_change,82.275,68
no_change,82.364,71
no_change,83.18,40
no_change,83.186,62
no_change,83.189,71
no_change,84.134,45
no_change,84.232,61
no_change,84.345,69
no_change,86.918,45
no_change,86.92,62
no_change,87.293,63
no_change,87.298,60
no_change,87.414,64
no_change,87.416,61
no_change,87.618,61
no_change,88.339,40
no_change,89.036,45
no_change,89.4,60
no_change,89.534,61
no_change,89.727,61
no_change,90.498,40
no_change,91.175,45
no_change,91.539,63
no_change,91.541,72
no_change,91.702,73
no_change,91.705,64
no_change,91.886,64
no_change,91.889,73
no_change,92.689,40
no_change,92.695,76
no_change,92.698,68
no_change,93.314,74
no_change,93.316,66
no_change,93.525,45
no_change,93.53,64
no_change,94.28,49
no_change,95.061,52
no_change,95.78,40
no_change,95.791,64
no_change,95.795,73
no_change,96.157,61
no_change,96.159,70
no_change,96.314,62
no_change,96.523,71
no_change,96.525,56
no_change,97.389,59
no_change,97.391,66
no_change,97.393,74
no_change,97.998,64
no_change,98.2,62
no_change,98.205,71
no_change,98.25,40
no_change,98.97,44
no_change,99.73,47
no_change,100.484,45
no_change,100.848,60
no_change,101.005,61
no_change,101.2,61
no_change,101.998,51
no_change,102.0,60
no_change,102.002,68
no_change,102.593,66
no_change,102.766,52
no_change,102.768,64
no_change,102.773,61
no_change,103.511,40
no_change,103.516,64
no_change,103.52,62
no_change,104.491,44
no_change,105.377,62
no_change,105.382,45
no_change,105.75,63
no_change,105.752,60
no_change,105.884,64
no_change,105.886,61
no_change,106.109,64
no_change,106.111,61
no_change,106.866,40
no_change,107.586,45
no_change,107.591,62
no_change,107.959,60
no_change,108.093,69
no_change,108.098,61
no_change,108.291,61
no_change,108.293,69
no_change,109.102,40
no_change,109.827,74
no_change,109.83,45
no_change,109.832,66
no_change,110.205,63
no_change,110.343,64
no_change,110.57,64
no_change,110.573,73
no_change,111.455,56
no_change,111.461,76
no_change,111.464,68
no_change,112.048,60
no_change,112.05,66
no_change,112.268,61
no_change,112.273,64
no_change,113.091,62
no_change,114.005,58
no_change,114.884,59
no_change,114.886,73
no_change,115.25,61
no_change,115.252,70
no_change,115.407,62
no_change,115.616,62
