onset_type,onset_time,pitch
no_change,0.55,64
no_change,0.755,60
no_change,0.964,57
no_change,1.159,65
no_change,1.37,60
early,1.422,57
no_change,1.784,64
no_change,1.959,57
no_change,2.2,64
no_change,2.407,60
no_change,2.611,57
no_change,2.823,65
no_change,3.032,60
no_change,3.195,57
no_change,3.448,64
no_change,3.618,57
no_change,3.85,64
no_change,4.052,59
no_change,4.248,56
no_change,4.448,65
no_change,4.634,59
no_change,4.857,56
no_change,5.036,64
no_change,5.248,59
no_change,5.457,64
no_change,5.659,59
no_change,5.866,56
no_change,6.066,65
no_change,6.286,59
no_change,6.475,56
no_change,6.677,64
no_change,6.88,59
no_change,7.064,64
no_change,7.266,58
no_change,7.461,55
no_change,7.659,65
no_change,7.873,58
no_change,8.066,55
no_change,8.259,64
no_change,8.473,58
no_change,8.668,64
no_change,8.868,58
no_change,9.07,55
no_change,9.295,65
no_change,9.502,58
no_change,9.684,55
no_change,9.902,64
no_change,10.105,58
no_change,10.314,62
no_change,10.525,57
no_change,10.716,54
no_change,10.925,64
no_change,11.134,57
no_change,11.334,54
no_change,11.548,62
no_change,11.745,57
no_change,11.945,62
no_change,12.157,57
no_change,12.352,54
no_change,12.555,64
no_change,12.766,57
no_change,12.968,54
no_change,13.193,62
no_change,13.377,57
no_change,13.605,45
no_change,13.607,62
no_change,13.802,57
no_change,14.027,53
no_change,14.211,64
no_change,14.43,57
no_change,14.627,53
no_change,14.845,62
no_change,15.025,57
no_change,15.234,41
no_change,15.459,57
no_change,15.652,50
no_change,15.87,64
no_change,16.093,57
no_change,16.284,50
no_change,16.486,62
no_change,16.677,57
no_change,16.907,40
no_change,16.916,60
no_change,17.15,55
no_change,17.314,52
no_change,17.552,62
no_change,17.745,55
no_change,17.948,52
no_change,18.164,60
no_change,18.345,55
no_change,18.564,60
no_change,18.568,40
no_change,18.782,55
no_change,18.995,52
no_change,19.211,67
no_change,19.416,65
no_change,19.6,64
no_change,19.814,62
no_change,20.018,60
no_change,20.207,59
no_change,20.439,54
no_change,20.627,51
no_change,20.839,60
no_change,21.041,54
no_change,21.232,51
no_change,21.452,59
no_change,21.657,54
no_change,21.843,59
no_change,22.066,54
no_change,22.255,51
no_change,22.473,60
no_change,22.661,54
no_change,22.873,51
no_change,23.082,59
no_change,23.277,54
no_change,23.493,40
no_change,23.5,64
no_change,23.723,59
no_change,23.948,56
no_change,24.136,65
no_change,24.323,59
no_change,24.545,56
no_change,24.741,64
no_change,24.95,59
no_change,25.143,62
no_change,25.341,59
no_change,25.564,56
no_change,25.77,60
no_change,25.959,56
no_change,26.164,52
no_change,26.368,59
no_change,26.57,52
no_change,26.791,45
no_change,27.027,64
no_change,27.225,64
no_change,27.436,64
no_change,27.443,53
no_change,27.67,64
no_change,27.875,64
no_change,28.077,64
no_change,28.084,52
no_change,28.277,64
no_change,28.484,64
no_change,28.493,45
no_change,28.741,59
no_change,28.961,56
no_change,29.164,64
no_change,29.168,53
no_change,29.405,64
no_change,29.816,52
no_change,30.245,45
no_change,30.248,58
no_change,30.252,55
no_change,30.489,64
no_change,30.682,64
no_change,30.905,64
no_change,30.909,53
no_change,31.132,64
no_change,31.318,64
no_change,31.525,52
no_change,31.53,64
no_change,31.745,64
no_change,31.961,64
no_change,31.968,45
