mutation_category,mutation_name,total_onsets_ref,total_onsets_live,correct_matches,late_matches,early_matches,missing_onsets,extra_onsets,correct_notes,tempo_reference_bpm,tempo_live_bpm,tempo_difference_bpm
tempo,faster_tempo,222,217,92,68,57,5,0,54,120.00,125.00,5.00
tempo,a_lot_faster_tempo,227,228,101,64,62,0,1,56,120.00,156.00,36.00
tempo,slower_tempo,225,223,97,62,64,2,0,60,120.00,89.00,31.00
tempo,a_lot_slower_tempo,232,223,87,72,64,9,0,55,120.00,156.00,36.00
progressive_tempo,accelerando,262,213,54,104,55,49,0,32,120.00,125.00,5.00
progressive_tempo,ritardando,223,272,40,67,116,0,49,31,120.00,78.00,42.00
progressive_tempo,tempo_fluctuation,309,355,61,123,125,0,46,39,120.00,104.00,16.00
duration,note_held_too_long,218,216,127,41,48,2,0,82,120.00,110.00,10.00
duration,note_cut_too_soon,222,220,127,44,49,2,0,83,120.00,110.00,10.00
note,note_missing,218,215,132,40,43,3,0,91,120.00,110.00,10.00
note,note_not_expected,218,217,127,40,50,1,0,83,120.00,110.00,10.00
articulation,articulated_legato,218,215,164,25,26,3,0,127,120.00,110.00,10.00
articulation,articulated_staccato,219,218,133,45,40,1,0,80,120.00,110.00,10.00
articulation,articulated_accentuated,218,216,127,41,48,2,0,83,120.00,110.00,10.00
