mutation_category,mutation_name,total_onsets_ref,total_onsets_live,correct_matches,late_matches,early_matches,missing_onsets,extra_onsets,correct_notes,tempo_reference_bpm,tempo_live_bpm,tempo_difference_bpm
tempo,faster_tempo,888,897,747,69,72,0,9,209,120.00,104.00,16.00
tempo,a_lot_faster_tempo,914,926,727,86,101,0,12,197,120.00,125.00,5.00
tempo,slower_tempo,885,884,788,54,42,1,0,366,120.00,134.00,14.00
tempo,a_lot_slower_tempo,907,898,723,96,79,9,0,181,120.00,85.00,35.00
progressive_tempo,accelerando,1000,861,547,197,117,139,0,139,120.00,125.00,5.00
progressive_tempo,ritardando,865,1062,466,119,280,0,197,112,120.00,117.00,3.00
progressive_tempo,tempo_fluctuation,970,1167,435,145,390,0,197,137,120.00,188.00,68.00
duration,note_held_too_long,862,863,806,24,32,0,1,536,120.00,170.00,50.00
duration,note_cut_too_soon,862,863,806,24,32,0,1,536,120.00,170.00,50.00
note,note_missing,862,863,806,24,32,0,1,536,120.00,170.00,50.00
note,note_not_expected,862,864,802,28,32,0,2,505,120.00,170.00,50.00
articulation,articulated_legato,862,863,805,25,32,0,1,531,120.00,170.00,50.00
articulation,articulated_staccato,906,904,812,32,60,2,0,403,120.00,170.00,50.00
articulation,articulated_accentuated,862,863,806,24,32,0,1,536,120.00,170.00,50.00
