mutation_category,mutation_name,total_onsets_ref,total_onsets_live,correct_matches,late_matches,early_matches,missing_onsets,extra_onsets,correct_notes,tempo_reference_bpm,tempo_live_bpm,tempo_difference_bpm
tempo,faster_tempo,602,603,498,50,54,0,1,289,120.00,117.00,3.00
tempo,a_lot_faster_tempo,643,636,426,104,106,7,0,160,120.00,144.00,24.00
tempo,slower_tempo,589,591,498,40,51,0,2,226,120.00,156.00,36.00
tempo,a_lot_slower_tempo,609,606,490,67,49,3,0,191,120.00,99.00,21.00
progressive_tempo,accelerando,687,579,346,169,64,108,0,84,120.00,104.00,16.00
progressive_tempo,ritardando,586,718,305,63,218,0,132,86,120.00,125.00,5.00
progressive_tempo,tempo_fluctuation,725,873,333,140,252,0,148,80,120.00,208.00,88.00
duration,note_held_too_long,579,580,570,1,8,0,1,492,120.00,188.00,68.00
duration,note_cut_too_soon,580,581,569,1,10,0,1,492,120.00,188.00,68.00
note,note_missing,579,579,513,45,21,0,0,334,120.00,188.00,68.00
note,note_not_expected,579,580,570,1,8,0,1,493,120.00,188.00,68.00
articulation,articulated_legato,579,580,570,1,8,0,1,494,120.00,188.00,68.00
articulation,articulated_staccato,645,637,404,124,109,8,0,96,120.00,188.00,68.00
articulation,articulated_accentuated,579,580,570,1,8,0,1,493,120.00,188.00,68.00
