mutation_category,mutation_name,total_onsets_ref,total_onsets_live,correct_matches,late_matches,early_matches,missing_onsets,extra_onsets,correct_notes,tempo_reference_bpm,tempo_live_bpm,tempo_difference_bpm
tempo,faster_tempo,877,886,784,38,55,0,9,182,120.00,144.00,24.00
tempo,a_lot_faster_tempo,928,927,781,83,63,1,0,304,120.00,117.00,3.00
tempo,slower_tempo,883,891,775,50,58,0,8,281,120.00,188.00,68.00
tempo,a_lot_slower_tempo,896,897,785,63,48,0,1,250,120.00,117.00,3.00
progressive_tempo,accelerando,1006,858,630,189,39,148,0,86,120.00,134.00,14.00
progressive_tempo,ritardando,876,1075,591,50,235,0,199,78,120.00,156.00,36.00
progressive_tempo,tempo_fluctuation,1018,1395,603,88,327,0,377,95,120.00,134.00,14.00
duration,note_held_too_long,851,851,821,15,15,0,0,512,120.00,117.00,3.00
duration,note_cut_too_soon,851,851,821,15,15,0,0,512,120.00,117.00,3.00
note,note_missing,851,851,821,15,15,0,0,512,120.00,117.00,3.00
note,note_not_expected,851,851,821,15,15,0,0,509,120.00,117.00,3.00
articulation,articulated_legato,851,851,830,11,10,0,0,577,120.00,117.00,3.00
articulation,articulated_staccato,905,905,798,53,54,0,0,328,120.00,117.00,3.00
articulation,articulated_accentuated,851,851,821,15,15,0,0,512,120.00,117.00,3.00
