mutation_category,mutation_name,total_onsets_ref,total_onsets_live,correct_matches,late_matches,early_matches,missing_onsets,extra_onsets,correct_notes,tempo_reference_bpm,tempo_live_bpm,tempo_difference_bpm
tempo,faster_tempo,622,624,339,137,146,0,2,146,120.00,144.00,24.00
tempo,a_lot_faster_tempo,651,650,452,114,84,1,0,285,120.00,117.00,3.00
tempo,slower_tempo,620,623,278,174,168,0,3,99,120.00,125.00,5.00
tempo,a_lot_slower_tempo,628,628,461,87,80,0,0,260,120.00,156.00,36.00
progressive_tempo,accelerando,706,599,246,225,128,107,0,72,120.00,144.00,24.00
progressive_tempo,ritardando,602,746,259,93,250,0,144,55,120.00,117.00,3.00
progressive_tempo,tempo_fluctuation,774,840,249,223,302,0,66,76,120.00,134.00,14.00
duration,note_held_too_long,589,590,469,56,64,0,1,310,120.00,125.00,5.00
duration,note_cut_too_soon,589,590,469,56,64,0,1,311,120.00,125.00,5.00
note,note_missing,589,590,470,55,64,0,1,311,120.00,125.00,5.00
note,note_not_expected,589,591,467,58,64,0,2,310,120.00,125.00,5.00
articulation,articulated_legato,590,590,546,21,23,0,0,436,120.00,125.00,5.00
articulation,articulated_staccato,621,624,326,142,153,0,3,142,120.00,117.00,3.00
articulation,articulated_accentuated,589,590,469,56,64,0,1,311,120.00,125.00,5.00
