onset_type,onset_time,pitch
no_change,0.961,45
no_change,1.186,60
no_change,1.189,59
no_change,1.191,64
no_change,1.423,59
articulation,1.7,60
no_change,1.709,57
no_change,1.711,59
no_change,1.952,59
no_change,2.184,60
no_change,2.227,55
no_change,2.23,59
no_change,2.47,59
no_change,2.711,59
no_change,2.714,64
no_change,2.977,59
no_change,2.98,64
no_change,2.982,57
no_change,2.984,52
no_change,3.234,50
no_change,3.47,55
no_change,3.477,48
no_change,3.727,57
no_change,3.73,52
no_change,3.732,59
no_change,4.016,41
no_change,4.259,50
no_change,4.507,48
no_change,4.766,52
no_change,4.768,64
no_change,5.025,50
no_change,5.259,52
no_change,5.286,64
no_change,5.289,57
no_change,5.516,40
no_change,5.793,50
no_change,6.055,48
no_change,6.298,59
no_change,6.3,52
no_change,6.559,50
no_change,6.789,64
no_change,6.791,52
no_change,7.089,45
no_change,7.348,64
no_change,7.35,59
no_change,7.352,60
no_change,7.595,59
no_change,7.852,60
no_change,7.864,57
no_change,8.102,59
no_change,8.359,60
no_change,8.386,67
no_change,8.389,55
no_change,8.391,59
no_change,8.643,59
no_change,8.88,60
no_change,8.907,59
no_change,9.184,64
no_change,9.186,59
no_change,9.189,57
no_change,9.193,52
no_change,9.43,50
no_change,9.666,55
no_change,9.67,48
no_change,9.925,57
no_change,9.927,52
no_change,10.22,41
no_change,10.468,50
no_change,10.72,48
no_change,10.973,52
no_change,10.975,59
no_change,10.977,57
no_change,11.241,50
no_change,11.482,52
no_change,11.495,57
no_change,11.498,64
no_change,11.752,40
no_change,12.034,50
no_change,12.286,48
no_change,12.577,52
no_change,12.582,57
no_change,12.916,50
no_change,13.3,52
no_change,13.302,64
no_change,13.307,59
no_change,13.309,57
no_change,13.868,45
no_change,14.407,64
no_change,14.634,59
no_change,14.636,69
no_change,14.898,72
no_change,15.13,55
no_change,15.155,59
no_change,15.157,76
no_change,15.4,71
no_change,15.677,45
no_change,15.902,67
no_change,16.134,60
no_change,16.161,67
no_change,16.166,55
no_change,16.168,59
no_change,16.45,69
no_change,16.745,57
no_change,16.748,59
no_change,16.75,52
no_change,17.134,67
no_change,17.548,38
no_change,17.78,57
no_change,17.816,59
no_change,18.055,40
no_change,18.307,41
no_change,18.568,59
no_change,18.57,57
no_change,18.827,43
no_change,19.068,55
no_change,19.311,45
no_change,19.591,48
no_change,19.825,50
no_change,20.109,64
no_change,20.111,60
no_change,20.368,45
no_change,20.698,38
no_change,21.03,65
no_change,21.38,62
no_change,21.382,64
no_change,21.386,69
no_change,21.641,72
no_change,21.907,60
no_change,22.018,77
no_change,22.02,65
no_change,22.066,69
no_change,22.568,74
no_change,23.059,43
no_change,23.305,71
no_change,23.557,55
no_change,23.58,65
no_change,23.582,71
no_change,23.841,67
no_change,24.111,53
no_change,24.114,59
no_change,24.118,57
no_change,24.386,67
no_change,24.625,45
no_change,24.843,57
no_change,24.877,59
no_change,25.109,47
no_change,25.366,48
no_change,25.593,60
no_change,25.618,59
no_change,25.864,50
no_change,26.12,52
no_change,26.37,55
no_change,26.625,57
no_change,26.889,59
no_change,27.182,62
no_change,27.564,64
no_change,27.984,45
no_change,28.48,64
no_change,28.723,59
no_change,28.725,62
no_change,28.995,72
no_change,29.236,60
no_change,29.259,55
no_change,29.314,59
no_change,29.364,76
no_change,29.63,71
no_change,29.895,45
no_change,30.118,67
no_change,30.361,60
no_change,30.386,67
no_change,30.389,55
no_change,30.391,59
no_change,30.661,69
no_change,30.932,57
no_change,30.934,52
no_change,30.936,64
no_change,31.225,67
no_change,31.652,41
no_change,31.914,60
no_change,31.916,56
no_change,32.13,40
no_change,32.405,41
no_change,32.65,60
no_change,32.655,56
no_change,32.889,43
no_change,33.114,56
no_change,33.141,60
