mutation_category,mutation_name,total_onsets_ref,total_onsets_live,correct_matches,late_matches,early_matches,missing_onsets,extra_onsets,correct_notes,tempo_reference_bpm,tempo_live_bpm,tempo_difference_bpm
tempo,faster_tempo,595,591,341,141,109,4,0,165,120.00,117.00,3.00
tempo,a_lot_faster_tempo,604,602,303,167,132,2,0,166,120.00,144.00,24.00
tempo,slower_tempo,595,592,432,89,71,3,0,242,120.00,156.00,36.00
tempo,a_lot_slower_tempo,606,606,360,120,126,0,0,185,120.00,99.00,21.00
progressive_tempo,accelerando,703,586,179,257,150,117,0,84,120.00,110.00,10.00
progressive_tempo,ritardando,598,744,208,112,278,0,146,59,120.00,134.00,14.00
progressive_tempo,tempo_fluctuation,876,1397,336,190,350,0,521,94,120.00,104.00,16.00
duration,note_held_too_long,587,585,473,60,52,2,0,379,120.00,94.00,26.00
duration,note_cut_too_soon,587,585,473,60,52,2,0,378,120.00,94.00,26.00
note,note_missing,587,585,473,60,52,2,0,378,120.00,94.00,26.00
note,note_not_expected,587,586,421,80,85,1,0,308,120.00,94.00,26.00
articulation,articulated_legato,589,585,474,60,51,4,0,377,120.00,94.00,26.00
articulation,articulated_staccato,604,605,359,106,139,0,1,170,120.00,94.00,26.00
articulation,articulated_accentuated,587,585,473,60,52,2,0,379,120.00,94.00,26.00
