mutation_category,mutation_name,total_onsets_ref,total_onsets_live,correct_matches,late_matches,early_matches,missing_onsets,extra_onsets,correct_notes,tempo_reference_bpm,tempo_live_bpm,tempo_difference_bpm
tempo,faster_tempo,981,987,882,39,60,0,6,246,120.00,125.00,5.00
tempo,a_lot_faster_tempo,1025,1036,869,69,87,0,11,220,120.00,125.00,5.00
tempo,slower_tempo,999,991,884,62,45,8,0,219,120.00,170.00,50.00
tempo,a_lot_slower_tempo,1013,993,872,74,47,20,0,194,120.00,104.00,16.00
progressive_tempo,accelerando,1087,952,765,138,49,135,0,131,120.00,134.00,14.00
progressive_tempo,ritardando,968,1125,761,36,171,0,157,154,120.00,125.00,5.00
progressive_tempo,tempo_fluctuation,1052,1126,737,94,221,0,74,176,120.00,117.00,3.00
duration,note_held_too_long,959,959,959,0,0,0,0,880,120.00,104.00,16.00
duration,note_cut_too_soon,959,959,959,0,0,0,0,879,120.00,104.00,16.00
note,note_missing,959,958,945,10,3,1,0,745,120.00,104.00,16.00
note,note_not_expected,959,959,959,0,0,0,0,877,120.00,104.00,16.00
articulation,articulated_legato,962,959,892,36,31,3,0,395,120.00,104.00,16.00
articulation,articulated_staccato,1038,1033,906,71,56,5,0,297,120.00,104.00,16.00
articulation,articulated_accentuated,959,959,959,0,0,0,0,880,120.00,104.00,16.00
