onset_type,onset_time,pitch
no_change,3.591,62
no_change,3.791,69
no_change,4.057,74
no_change,4.968,72
no_change,5.323,70
no_change,5.568,69
no_change,5.795,70
no_change,5.991,69
no_change,6.182,67
no_change,6.368,65
no_change,6.557,67
no_change,6.773,65
no_change,6.98,64
no_change,7.207,62
no_change,7.505,45
no_change,7.668,61
no_change,8.068,52
no_change,8.35,57
no_change,8.573,59
no_change,8.807,61
no_change,9.025,62
no_change,9.341,64
no_change,9.673,55
no_change,10.014,53
no_change,10.339,52
no_change,10.341,61
no_change,10.575,62
no_change,10.577,53
no_change,10.775,64
no_change,10.777,52
no_change,11.0,65
no_change,11.009,50
no_change,11.264,48
no_change,11.475,50
no_change,11.477,57
no_change,11.716,48
no_change,11.948,47
no_change,11.95,62
no_change,12.182,45
no_change,12.539,44
no_change,12.745,64
no_change,13.195,59
no_change,13.493,42
no_change,13.734,44
no_change,13.943,45
no_change,14.223,47
no_change,14.543,56
no_change,14.809,48
no_change,14.814,57
no_change,15.036,50
no_change,15.277,52
no_change,15.28,60
no_change,15.514,59
no_change,15.748,53
no_change,15.977,52
no_change,16.189,62
no_change,16.191,53
no_change,16.459,55
no_change,16.741,57
no_change,17.007,55
no_change,17.302,54
no_change,17.677,57
no_change,17.957,62
no_change,17.959,52
no_change,18.202,60
no_change,18.418,54
no_change,18.659,57
no_change,19.055,55
no_change,19.057,58
no_change,19.427,62
no_change,19.725,43
no_change,19.93,69
no_change,20.15,67
no_change,20.155,46
no_change,20.38,65
no_change,20.652,48
no_change,20.864,64
no_change,21.207,55
no_change,21.507,60
no_change,21.782,58
no_change,21.995,64
no_change,21.998,57
no_change,22.259,55
no_change,22.555,57
no_change,22.557,65
no_change,22.836,64
no_change,23.086,58
no_change,23.091,64
no_change,23.133,85
no_change,23.291,65
no_change,23.543,62
no_change,23.548,56
no_change,23.8,64
no_change,24.125,57
no_change,24.498,69
no_change,24.78,52
no_change,25.032,69
no_change,25.257,50
no_change,25.48,67
no_change,25.777,49
no_change,25.782,64
no_change,26.118,70
no_change,26.343,69
no_change,26.448,50
no_change,26.691,52
no_change,26.693,67
no_change,26.916,65
no_change,26.918,53
no_change,27.148,64
no_change,27.152,55
no_change,27.514,57
no_change,27.516,62
no_change,27.816,58
no_change,28.057,57
no_change,28.286,55
no_change,28.295,64
no_change,28.748,57
no_change,28.752,61
no_change,29.561,62
no_change,29.984,50
no_change,30.309,62
no_change,30.789,69
no_change,31.245,74
no_change,31.573,52
no_change,31.839,53
no_change,32.08,55
no_change,32.477,57
