mutation_category,mutation_name,total_onsets_ref,total_onsets_live,correct_matches,late_matches,early_matches,missing_onsets,extra_onsets,correct_notes,tempo_reference_bpm,tempo_live_bpm,tempo_difference_bpm
tempo,faster_tempo,333,332,321,8,3,1,0,225,120.00,134.00,14.00
tempo,a_lot_faster_tempo,355,354,292,41,21,1,0,158,120.00,117.00,3.00
tempo,slower_tempo,338,338,330,4,4,0,0,245,120.00,188.00,68.00
tempo,a_lot_slower_tempo,346,338,264,42,32,8,0,59,120.00,110.00,10.00
progressive_tempo,accelerando,388,330,226,79,25,58,0,34,120.00,144.00,24.00
progressive_tempo,ritardando,332,406,212,20,100,0,74,35,120.00,134.00,14.00
progressive_tempo,tempo_fluctuation,363,520,159,36,168,0,157,40,120.00,117.00,3.00
duration,note_held_too_long,331,330,321,8,1,1,0,254,120.00,125.00,5.00
duration,note_cut_too_soon,332,331,319,9,3,1,0,254,120.00,125.00,5.00
note,note_missing,331,330,321,8,1,1,0,252,120.00,125.00,5.00
note,note_not_expected,331,330,321,8,1,1,0,254,120.00,125.00,5.00
articulation,articulated_legato,331,328,291,18,19,3,0,138,120.00,125.00,5.00
articulation,articulated_staccato,337,336,324,6,6,1,0,143,120.00,125.00,5.00
articulation,articulated_accentuated,331,330,321,8,1,1,0,254,120.00,125.00,5.00
