mutation_category,mutation_name,total_onsets_ref,total_onsets_live,correct_matches,late_matches,early_matches,missing_onsets,extra_onsets,correct_notes,tempo_reference_bpm,tempo_live_bpm,tempo_difference_bpm
tempo,faster_tempo,554,553,435,66,52,1,0,241,120.00,208.00,88.00
tempo,a_lot_faster_tempo,581,585,284,142,155,0,4,139,120.00,134.00,14.00
tempo,slower_tempo,547,550,350,92,105,0,3,164,120.00,144.00,24.00
tempo,a_lot_slower_tempo,555,557,386,86,83,0,2,175,120.00,89.00,31.00
progressive_tempo,accelerando,622,531,246,174,111,91,0,57,120.00,117.00,3.00
progressive_tempo,ritardando,543,664,235,87,221,0,121,62,120.00,104.00,16.00
progressive_tempo,tempo_fluctuation,763,809,325,215,223,0,46,60,120.00,170.00,50.00
duration,note_held_too_long,514,511,303,104,104,3,0,114,120.00,170.00,50.00
duration,note_cut_too_soon,518,515,301,107,107,3,0,108,120.00,170.00,50.00
note,note_missing,514,510,315,99,96,4,0,116,120.00,170.00,50.00
note,note_not_expected,514,511,305,103,103,3,0,114,120.00,170.00,50.00
articulation,articulated_legato,514,511,303,104,104,3,0,114,120.00,170.00,50.00
articulation,articulated_staccato,608,607,291,159,157,1,0,94,120.00,170.00,50.00
articulation,articulated_accentuated,514,511,303,104,104,3,0,114,120.00,170.00,50.00
