onset_type,onset_time,pitch
no_change,0.65,47
no_change,0.659,62
no_change,0.873,50
no_change,1.225,50
no_change,1.241,55
no_change,1.443,43
no_change,1.648,62
no_change,1.923,71
no_change,2.03,71
no_change,2.232,69
no_change,2.234,45
no_change,2.436,61
no_change,2.45,67
no_change,2.873,67
no_change,2.875,61
no_change,3.077,45
no_change,3.298,61
no_change,3.639,61
no_change,3.645,67
no_change,3.868,45
no_change,4.025,60
no_change,4.059,60
no_change,4.359,66
no_change,4.507,60
no_change,4.757,76
no_change,4.795,76
no_change,5.145,76
no_change,5.361,55
no_change,5.55,74
no_change,5.743,71
no_change,5.923,67
no_change,6.102,64
no_change,6.291,62
no_change,6.484,59
no_change,6.675,55
no_change,6.893,47
no_change,6.895,62
no_change,7.093,55
no_change,7.095,50
no_change,7.5,55
no_change,7.502,50
no_change,7.702,43
no_change,7.891,62
no_change,8.184,71
no_change,8.302,71
no_change,8.495,69
no_change,8.502,45
no_change,8.723,66
no_change,8.727,62
no_change,9.109,66
no_change,9.111,62
no_change,9.316,45
no_change,9.498,59
no_change,9.5,69
no_change,9.705,78
no_change,9.875,69
no_change,9.884,59
no_change,10.095,68
no_change,10.098,62
no_change,10.1,59
no_change,10.323,78
no_change,10.673,78
no_change,10.675,59
no_change,10.677,62
no_change,10.891,59
no_change,11.1,76
no_change,11.47,60
no_change,11.475,59
no_change,11.482,76
no_change,11.88,50
no_change,12.073,66
no_change,12.243,69
no_change,12.455,50
no_change,12.461,74
no_change,12.839,66
no_change,13.27,47
no_change,13.277,62
no_change,13.484,50
no_change,13.491,55
no_change,13.87,55
no_change,13.875,50
no_change,14.064,43
no_change,14.266,62
no_change,14.618,71
no_change,14.657,71
no_change,14.855,45
no_change,14.859,69
no_change,15.066,61
no_change,15.482,61
no_change,15.67,45
no_change,15.877,61
no_change,16.234,61
no_change,16.257,67
no_change,16.468,45
no_change,16.47,60
no_change,16.655,66
no_change,16.657,60
no_change,17.005,60
no_change,17.007,66
no_change,17.236,76
no_change,17.425,76
no_change,17.789,74
no_change,18.043,55
no_change,18.161,71
no_change,18.361,68
no_change,18.545,64
no_change,18.741,62
no_change,18.918,59
no_change,19.12,56
no_change,19.307,52
no_change,19.507,49
no_change,19.666,52
no_change,19.868,55
no_change,20.039,58
no_change,20.243,61
no_change,20.42,64
no_change,20.6,67
no_change,20.795,66
no_change,21.005,64
no_change,21.195,62
no_change,21.37,59
no_change,21.577,55
no_change,21.748,52
no_change,21.941,51
no_change,22.148,59
no_change,22.15,55
no_change,22.336,50
no_change,22.548,49
no_change,22.718,52
no_change,22.939,59
no_change,22.943,55
no_change,23.12,49
no_change,23.339,48
no_change,23.518,54
no_change,23.707,59
no_change,23.718,57
no_change,23.909,48
no_change,24.136,55
no_change,24.17,43
no_change,24.418,47
no_change,24.916,55
no_change,24.991,59
no_change,25.011,67
no_change,25.077,50
no_change,25.948,55
no_change,26.1,59
no_change,26.107,59
no_change,26.391,59
no_change,26.607,64
no_change,26.789,59
no_change,26.995,57
no_change,27.177,57
no_change,27.384,66
no_change,27.389,60
no_change,27.564,57
no_change,27.777,55
no_change,27.975,55
no_change,28.17,59
no_change,28.359,55
no_change,28.564,53
no_change,28.739,53
no_change,28.961,57
no_change,29.136,53
no_change,29.336,52
no_change,29.532,52
no_change,29.739,57
no_change,29.914,52
no_change,30.125,50
no_change,30.298,50
no_change,30.505,56
no_change,30.68,50
no_change,30.893,48
no_change,31.068,51
no_change,31.27,52
no_change,31.464,57
no_change,31.67,64
no_change,31.859,60
no_change,32.034,57
no_change,32.227,52
no_change,32.432,52
no_change,32.589,57
no_change,32.593,57
no_change,32.732,57
no_change,32.957,64
no_change,32.961,60
no_change,33.134,57
no_change,33.32,56
no_change,33.52,56
no_change,33.709,62
no_change,33.723,64
no_change,33.923,56
no_change,34.111,57
no_change,34.305,57
no_change,34.48,64
no_change,34.482,60
