onset_type,onset_time,pitch
no_change,1.823,60
no_change,2.0,63
no_change,2.193,64
no_change,2.318,66
no_change,2.484,67
articulation,2.655,69
no_change,2.818,72
no_change,2.959,71
no_change,3.084,69
no_change,3.248,67
no_change,3.377,69
no_change,3.48,67
no_change,3.625,66
no_change,3.764,64
no_change,3.932,66
no_change,4.039,64
no_change,4.182,62
no_change,4.314,60
no_change,4.52,47
no_change,4.87,51
no_change,5.05,59
no_change,5.225,57
no_change,5.227,66
no_change,5.602,59
no_change,5.605,66
no_change,6.032,48
no_change,6.314,55
no_change,6.37,59
no_change,6.423,64
no_change,6.807,66
no_change,6.982,62
no_change,7.107,64
no_change,7.259,60
no_change,7.425,62
no_change,7.639,47
no_change,8.011,51
no_change,8.016,66
no_change,8.186,59
no_change,8.377,66
no_change,8.38,57
no_change,8.761,59
no_change,9.152,45
no_change,9.155,55
no_change,9.157,60
no_change,9.652,64
no_change,9.855,66
no_change,9.995,62
no_change,10.155,64
no_change,10.309,60
no_change,10.543,47
no_change,10.88,51
no_change,10.889,66
no_change,11.089,59
no_change,11.291,57
no_change,11.293,66
no_change,11.752,59
no_change,12.723,52
no_change,13.15,59
no_change,13.152,64
no_change,13.155,55
no_change,13.343,54
no_change,13.557,55
no_change,13.675,57
no_change,13.882,55
no_change,14.066,52
no_change,14.264,50
no_change,14.589,54
no_change,14.591,59
no_change,14.784,52
no_change,14.98,54
no_change,15.116,55
no_change,15.316,54
no_change,15.489,50
no_change,15.736,48
no_change,16.057,52
no_change,16.061,58
no_change,16.064,64
no_change,16.277,50
no_change,16.48,52
no_change,16.655,54
no_change,16.839,52
no_change,17.05,48
no_change,17.295,47
no_change,17.648,51
no_change,17.664,66
no_change,17.845,59
no_change,18.041,57
no_change,18.434,59
no_change,18.98,40
no_change,18.984,56
no_change,18.989,59
no_change,18.991,65
no_change,19.582,64
no_change,19.784,63
no_change,19.925,64
no_change,20.116,62
no_change,20.277,60
no_change,20.523,45
no_change,20.836,57
no_change,20.839,52
no_change,21.032,47
no_change,21.255,48
no_change,21.632,57
no_change,21.634,52
no_change,22.027,47
no_change,22.466,51
no_change,22.716,48
no_change,22.905,47
no_change,23.057,45
no_change,23.243,43
no_change,23.416,41
no_change,23.593,40
no_change,23.964,55
no_change,24.12,52
no_change,24.336,47
no_change,24.348,55
no_change,24.773,43
no_change,24.784,55
no_change,25.284,40
no_change,25.286,52
no_change,25.289,55
no_change,25.291,59
no_change,25.932,64
no_change,26.682,66
no_change,27.091,67
no_change,27.443,45
no_change,27.536,69
no_change,27.864,60
no_change,27.866,71
no_change,27.952,69
no_change,28.148,67
no_change,28.311,66
no_change,28.445,55
no_change,28.6,57
no_change,28.773,60
no_change,28.959,64
no_change,29.316,66
no_change,29.48,67
no_change,29.648,69
no_change,29.855,72
no_change,30.02,71
no_change,30.198,67
no_change,30.445,45
no_change,30.455,69
no_change,30.78,71
no_change,30.809,64
no_change,30.811,60
no_change,30.911,69
no_change,31.08,67
no_change,31.243,66
no_change,31.407,55
no_change,31.525,57
no_change,31.72,60
no_change,31.916,64
no_change,32.277,66
no_change,32.416,67
no_change,32.609,69
no_change,32.807,72
no_change,32.966,71
no_change,33.114,69
no_change,33.318,40
no_change,33.745,67
no_change,33.748,64
no_change,34.141,67
no_change,34.507,64
no_change,34.855,57
no_change,34.857,45
no_change,35.266,66
no_change,35.552,48
no_change,35.625,52
no_change,35.652,58
no_change,35.702,64
no_change,36.218,66
no_change,36.695,40
no_change,36.75,59
no_change,37.232,55
no_change,37.38,52
no_change,37.536,47
no_change,37.55,55
no_change,37.925,55
no_change,37.927,59
no_change,38.327,40
no_change,38.716,54
no_change,38.725,62
no_change,38.891,57
