mutation_category,mutation_name,total_onsets_ref,total_onsets_live,correct_matches,late_matches,early_matches,missing_onsets,extra_onsets,correct_notes,tempo_reference_bpm,tempo_live_bpm,tempo_difference_bpm
tempo,faster_tempo,448,454,325,58,65,0,6,118,120.00,99.00,21.00
tempo,a_lot_faster_tempo,454,456,392,31,31,0,2,186,120.00,125.00,5.00
tempo,slower_tempo,459,467,308,72,79,0,8,75,120.00,125.00,5.00
tempo,a_lot_slower_tempo,454,456,356,41,57,0,2,126,120.00,156.00,36.00
progressive_tempo,accelerando,518,439,258,121,60,79,0,56,120.00,125.00,5.00
progressive_tempo,ritardando,446,550,248,46,152,0,104,57,120.00,110.00,10.00
progressive_tempo,tempo_fluctuation,522,540,266,125,131,0,18,58,120.00,144.00,24.00
duration,note_held_too_long,440,438,349,50,39,2,0,202,120.00,156.00,36.00
duration,note_cut_too_soon,440,438,349,50,39,2,0,202,120.00,156.00,36.00
note,note_missing,440,438,349,50,39,2,0,202,120.00,156.00,36.00
note,note_not_expected,440,438,349,50,39,2,0,202,120.00,156.00,36.00
articulation,articulated_legato,440,438,349,50,39,2,0,201,120.00,156.00,36.00
articulation,articulated_staccato,462,461,397,33,31,1,0,184,120.00,156.00,36.00
articulation,articulated_accentuated,440,438,349,50,39,2,0,202,120.00,156.00,36.00
