onset_type,onset_time,pitch
no_change,0.975,40
no_change,1.595,52
no_change,1.598,56
no_change,1.977,47
no_change,2.261,59
no_change,2.264,56
no_change,2.552,56
no_change,2.809,59
no_change,2.811,64
no_change,3.086,52
no_change,3.364,56
no_change,3.652,47
no_change,3.911,52
no_change,3.914,56
no_change,4.205,44
no_change,4.482,52
no_change,4.78,49
no_change,5.05,59
no_change,5.055,52
no_change,5.339,47
no_change,5.607,59
no_change,5.609,56
no_change,5.611,52
no_change,5.886,47
no_change,6.15,51
no_change,6.425,42
no_change,6.668,57
no_change,6.673,51
no_change,7.009,51
no_change,7.255,59
no_change,7.261,54
no_change,7.541,49
no_change,7.793,59
no_change,7.798,52
no_change,7.8,57
no_change,8.077,47
no_change,8.341,57
no_change,8.343,51
no_change,8.593,45
no_change,8.866,51
no_change,9.141,44
no_change,9.407,52
no_change,9.7,42
no_change,10.03,51
no_change,10.032,59
no_change,10.352,40
no_change,10.72,59
no_change,10.723,52
no_change,10.725,56
no_change,11.045,47
no_change,11.33,59
no_change,11.332,52
no_change,11.614,56
no_change,11.861,64
no_change,11.884,59
no_change,12.13,52
no_change,12.395,56
no_change,12.661,47
no_change,12.925,52
no_change,12.927,56
no_change,12.93,59
no_change,13.198,44
no_change,13.448,56
no_change,13.452,59
no_change,13.457,52
no_change,13.741,49
no_change,14.011,56
no_change,14.014,52
no_change,14.289,47
no_change,14.552,52
no_change,14.825,47
no_change,15.073,59
no_change,15.075,57
no_change,15.077,51
no_change,15.35,42
no_change,15.582,59
no_change,15.586,57
no_change,15.591,51
no_change,15.918,51
no_change,16.168,54
no_change,16.18,57
no_change,16.182,59
no_change,16.464,49
no_change,16.7,59
no_change,16.709,52
no_change,16.984,47
no_change,17.252,59
no_change,17.255,51
no_change,17.539,45
no_change,17.782,51
no_change,18.064,44
no_change,18.327,52
no_change,18.62,42
no_change,18.905,57
no_change,18.907,51
no_change,19.248,40
no_change,19.584,52
no_change,19.586,56
no_change,19.87,47
no_change,20.123,59
no_change,20.125,56
no_change,20.127,52
no_change,20.423,56
no_change,20.648,59
no_change,20.65,64
no_change,20.92,54
no_change,21.173,66
no_change,21.177,59
no_change,21.457,53
no_change,21.705,61
no_change,21.739,68
no_change,21.741,59
no_change,22.03,59
no_change,22.298,65
no_change,22.302,62
no_change,22.568,57
no_change,22.823,66
no_change,22.827,61
no_change,23.093,49
no_change,23.175,56
no_change,23.443,59
no_change,23.468,68
no_change,23.791,42
no_change,23.877,54
no_change,24.152,57
no_change,24.191,69
no_change,24.193,61
no_change,24.457,49
no_change,24.698,69
no_change,24.702,61
no_change,24.705,57
no_change,24.957,57
no_change,25.207,66
no_change,25.211,61
no_change,25.475,56
no_change,25.723,64
no_change,25.725,61
no_change,25.998,55
no_change,26.223,64
no_change,26.245,61
no_change,26.534,61
no_change,26.805,67
no_change,26.807,64
no_change,27.077,59
no_change,27.309,64
no_change,27.334,68
no_change,27.611,58
no_change,27.614,51
no_change,27.925,67
no_change,27.927,70
no_change,27.932,61
no_change,28.309,56
no_change,28.316,44
no_change,28.584,59
no_change,28.627,63
no_change,28.63,71
no_change,28.882,51
no_change,29.107,59
no_change,29.13,63
no_change,29.375,59
no_change,29.652,63
no_change,29.655,70
no_change,29.918,59
no_change,30.186,63
no_change,30.189,68
no_change,30.541,59
no_change,30.802,64
no_change,31.043,58
no_change,31.284,67
no_change,31.286,64
no_change,31.541,56
no_change,31.775,68
no_change,31.777,64
no_change,32.068,55
no_change,32.316,61
no_change,32.43,70
no_change,32.502,64
no_change,32.72,56
no_change,32.739,44
no_change,33.05,59
no_change,33.057,71
no_change,33.059,63
no_change,33.334,51
no_change,33.58,59
no_change,33.598,63
no_change,33.602,71
no_change,33.85,59
no_change,34.084,63
no_change,34.091,70
no_change,34.375,59
no_change,34.616,63
no_change,34.618,68
no_change,34.891,59
no_change,35.15,64
no_change,35.43,58
no_change,35.695,64
no_change,35.991,56
no_change,36.305,64
no_change,36.307,68
no_change,36.625,55
no_change,37.059,64
no_change,37.061,61
no_change,37.064,70
no_change,37.511,56
no_change,37.532,44
no_change,37.9,59
no_change,37.925,63
no_change,38.261,51
no_change,38.516,59
no_change,38.52,63
no_change,38.527,71
no_change,38.823,59
no_change,39.084,68
no_change,39.086,65
no_change,39.348,57
no_change,39.595,49
no_change,39.598,56
no_change,39.602,68
no_change,39.941,54
no_change,40.191,57
no_change,40.198,61
no_change,40.5,49
no_change,40.743,57
no_change,40.764,61
no_change,40.766,69
no_change,41.045,57
no_change,41.309,66
no_change,41.314,63
no_change,41.58,56
no_change,41.857,47
no_change,41.873,54
no_change,41.88,63
no_change,41.882,66
no_change,42.389,40
no_change,42.443,68
no_change,42.823,59
no_change,42.827,56
no_change,43.12,47
no_change,43.136,64
no_change,43.418,56
no_change,43.43,59
no_change,43.843,56
no_change,43.923,71
no_change,44.443,59
no_change,44.448,64
no_change,44.748,71
no_change,44.768,52
no_change,45.191,59
no_change,45.43,71
no_change,45.45,47
no_change,45.72,64
no_change,46.148,44
no_change,46.161,71
no_change,46.514,64
no_change,46.516,59
no_change,46.752,49
no_change,46.773,69
no_change,47.055,64
no_change,47.057,61
no_change,47.32,47
no_change,47.336,68
no_change,47.577,59
no_change,47.605,64
no_change,47.909,47
no_change,47.927,68
no_change,48.214,57
no_change,48.216,63
no_change,48.47,42
no_change,48.773,57
no_change,48.775,63
no_change,49.032,51
no_change,49.155,59
no_change,49.393,54
no_change,49.47,57
no_change,49.689,59
no_change,49.725,49
no_change,49.977,57
no_change,49.98,52
no_change,50.25,59
no_change,50.264,47
no_change,50.8,51
no_change,50.805,57
no_change,51.143,45
no_change,51.145,59
no_change,51.355,51
no_change,51.72,44
no_change,51.732,52
no_change,51.739,61
no_change,52.093,63
no_change,52.339,57
no_change,52.505,42
no_change,52.584,66
no_change,52.957,40
no_change,52.961,68
no_change,53.293,56
no_change,53.559,47
no_change,53.566,64
no_change,53.861,56
no_change,53.866,59
no_change,54.35,56
no_change,54.418,71
no_change,54.832,59
no_change,55.043,64
no_change,55.277,71
no_change,55.32,52
no_change,55.584,68
no_change,55.591,59
no_change,55.832,71
no_change,55.864,47
no_change,56.145,64
no_change,56.468,56
no_change,56.509,73
no_change,56.941,64
no_change,57.202,61
no_change,57.475,64
no_change,57.477,69
no_change,57.752,59
no_change,58.02,64
no_change,58.398,47
no_change,58.464,68
no_change,58.839,57
no_change,59.114,42
no_change,59.384,57
no_change,59.386,63
no_change,59.693,51
no_change,59.761,59
no_change,60.064,54
no_change,60.136,57
no_change,60.38,59
no_change,60.414,49
no_change,60.643,52
no_change,60.893,59
no_change,60.911,47
no_change,61.161,51
no_change,61.423,45
no_change,61.425,59
no_change,61.682,51
no_change,61.964,52
no_change,61.966,44
no_change,62.252,63
no_change,62.52,42
no_change,62.523,57
no_change,62.525,64
no_change,62.784,66
no_change,63.095,40
no_change,63.1,68
no_change,63.418,56
no_change,63.711,47
no_change,63.734,64
no_change,64.077,56
no_change,64.509,56
no_change,64.561,71
no_change,64.834,59
no_change,64.984,64
no_change,65.168,71
no_change,65.248,54
no_change,65.441,59
no_change,65.743,71
no_change,65.77,53
no_change,66.034,59
no_change,66.036,62
no_change,66.298,75
no_change,66.314,59
no_change,66.664,65
no_change,66.902,57
no_change,66.907,73
no_change,67.175,66
no_change,67.432,49
no_change,67.436,71
no_change,67.684,61
no_change,67.7,65
no_change,67.98,54
no_change,68.241,66
no_change,68.243,61
no_change,68.511,66
no_change,68.516,49
no_change,68.791,61
no_change,68.793,57
no_change,69.173,57
no_change,69.443,73
no_change,69.689,66
no_change,69.791,61
no_change,69.984,73
no_change,70.07,56
no_change,70.314,61
no_change,70.318,65
no_change,70.566,73
no_change,70.589,55
no_change,70.827,64
no_change,70.843,70
no_change,70.845,61
no_change,71.089,61
no_change,71.155,76
no_change,71.452,67
no_change,71.7,59
no_change,71.707,75
no_change,71.955,68
no_change,72.243,51
no_change,72.25,73
no_change,72.52,63
no_change,72.548,67
no_change,72.836,56
no_change,72.866,71
no_change,73.23,68
no_change,73.234,63
no_change,73.543,51
no_change,73.555,75
no_change,73.984,68
no_change,73.989,63
no_change,74.309,56
no_change,74.352,73
no_change,74.695,71
no_change,74.7,63
no_change,75.002,59
no_change,75.005,70
no_change,75.282,63
no_change,75.573,59
no_change,75.807,63
no_change,76.111,67
no_change,76.114,58
no_change,76.345,64
no_change,76.655,56
no_change,76.661,70
no_change,76.907,61
no_change,76.918,64
no_change,77.184,63
no_change,77.189,55
no_change,77.45,61
no_change,77.718,56
no_change,78.07,59
no_change,78.432,59
no_change,78.434,76
no_change,78.741,68
no_change,79.025,56
no_change,79.041,73
no_change,79.389,71
no_change,79.391,63
no_change,79.689,59
no_change,79.691,70
no_change,79.948,63
no_change,80.234,68
no_change,80.236,59
no_change,80.495,64
no_change,80.748,67
no_change,80.755,58
no_change,80.998,64
no_change,81.348,56
no_change,81.35,70
no_change,81.698,64
no_change,81.711,61
no_change,81.97,55
no_change,82.195,61
no_change,82.468,63
no_change,82.47,56
no_change,82.743,59
no_change,83.036,51
no_change,83.066,71
no_change,83.348,63
no_change,83.602,59
no_change,83.645,49
no_change,83.939,65
no_change,84.211,47
no_change,84.241,66
no_change,84.525,59
no_change,84.527,68
no_change,85.036,42
no_change,85.377,57
no_change,85.67,49
no_change,85.695,69
no_change,85.945,57
no_change,85.975,61
no_change,86.243,47
no_change,86.545,63
no_change,86.818,64
no_change,87.068,63
no_change,87.07,47
no_change,87.075,66
no_change,87.423,40
no_change,87.436,68
no_change,87.743,56
no_change,87.78,59
no_change,88.116,53
no_change,88.118,71
no_change,88.441,62
no_change,88.493,59
no_change,88.766,54
no_change,88.82,69
no_change,89.227,61
no_change,89.259,57
no_change,89.65,68
no_change,89.659,56
no_change,89.95,57
no_change,90.282,47
no_change,90.33,64
no_change,90.684,59
no_change,90.734,56
no_change,91.043,56
no_change,91.045,63
no_change,91.277,52
no_change,91.323,64
no_change,91.605,51
no_change,91.607,66
no_change,91.873,59
no_change,91.905,57
no_change,92.207,47
no_change,92.218,67
no_change,92.507,57
no_change,92.509,59
no_change,92.784,40
no_change,92.789,68
no_change,93.116,56
no_change,93.152,59
no_change,93.475,53
no_change,93.495,71
no_change,93.975,62
no_change,94.055,59
no_change,94.43,54
no_change,94.795,71
no_change,94.825,61
no_change,94.907,69
no_change,95.139,68
no_change,95.141,45
no_change,95.57,57
no_change,96.075,47
