onset_type,onset_time,pitch
no_change,3.586,64
no_change,6.277,45
no_change,6.443,64
no_change,6.67,61
no_change,6.823,57
articulation,6.98,52
no_change,7.086,57
no_change,7.216,61
no_change,7.345,64
no_change,7.448,61
no_change,7.57,57
no_change,7.682,66
no_change,7.811,60
no_change,7.911,57
no_change,8.091,45
no_change,8.139,64
no_change,8.252,61
no_change,8.361,57
no_change,8.468,52
no_change,8.58,57
no_change,8.73,61
no_change,8.823,64
no_change,8.925,61
no_change,9.045,57
no_change,9.189,66
no_change,9.286,60
no_change,9.393,57
no_change,9.511,45
no_change,9.582,64
no_change,9.711,61
no_change,9.816,57
no_change,9.93,52
no_change,10.048,57
no_change,10.164,61
no_change,10.28,64
no_change,10.402,61
no_change,10.495,57
no_change,10.63,69
no_change,10.734,61
no_change,10.843,57
no_change,11.027,45
no_change,11.064,73
no_change,11.22,64
no_change,11.314,57
no_change,11.441,71
no_change,11.541,62
no_change,11.668,57
no_change,11.791,69
no_change,11.886,61
no_change,11.991,57
no_change,12.116,68
no_change,12.23,64
no_change,12.33,57
no_change,12.409,66
no_change,12.543,50
no_change,12.709,62
no_change,12.805,57
no_change,12.939,54
no_change,13.034,57
no_change,13.173,62
no_change,13.273,66
no_change,13.368,62
no_change,13.527,57
no_change,13.641,65
no_change,13.741,62
no_change,13.861,57
no_change,14.027,50
no_change,14.036,66
no_change,14.173,62
no_change,14.277,57
no_change,14.398,54
no_change,14.507,57
no_change,14.627,62
no_change,14.732,66
no_change,14.836,62
no_change,14.98,57
no_change,15.102,65
no_change,15.195,62
no_change,15.316,57
no_change,15.473,50
no_change,15.48,66
no_change,15.623,62
no_change,15.732,57
no_change,15.859,54
no_change,15.964,57
no_change,16.061,62
no_change,16.18,66
no_change,16.293,62
no_change,16.423,57
no_change,16.534,68
no_change,16.632,64
no_change,16.736,57
no_change,16.884,71
no_change,16.993,68
no_change,17.107,57
no_change,17.257,69
no_change,17.366,66
no_change,17.461,57
no_change,17.63,68
no_change,17.718,64
no_change,17.832,57
no_change,17.977,66
no_change,18.045,62
no_change,18.148,57
no_change,18.336,44
no_change,18.355,64
no_change,18.516,62
no_change,18.634,52
no_change,18.734,40
no_change,18.859,52
no_change,18.964,62
no_change,19.086,64
no_change,19.23,62
no_change,19.345,64
no_change,19.461,71
no_change,19.539,62
no_change,19.595,64
no_change,19.841,69
no_change,19.861,45
no_change,19.934,61
no_change,20.07,57
no_change,20.207,52
no_change,20.327,57
no_change,20.452,61
no_change,20.575,68
no_change,20.707,64
no_change,20.798,57
no_change,20.936,66
no_change,21.052,62
no_change,21.141,57
no_change,21.314,44
no_change,21.325,64
no_change,21.47,62
no_change,21.573,52
no_change,21.698,40
no_change,21.823,52
no_change,21.918,62
no_change,22.025,64
no_change,22.17,62
no_change,22.286,64
no_change,22.425,71
no_change,22.491,62
no_change,22.539,64
no_change,22.836,45
no_change,22.905,69
no_change,23.102,61
no_change,23.2,57
no_change,23.336,52
no_change,23.441,57
no_change,23.566,61
no_change,23.711,64
no_change,23.805,61
no_change,23.918,57
no_change,24.043,66
no_change,24.161,61
no_change,24.257,57
no_change,24.448,44
no_change,24.491,68
no_change,24.659,63
no_change,24.757,60
no_change,24.886,56
no_change,25.002,60
no_change,25.114,63
no_change,25.22,68
no_change,25.33,63
no_change,25.455,60
no_change,25.582,69
no_change,25.698,63
no_change,25.766,60
no_change,25.934,40
no_change,26.032,69
no_change,26.232,68
no_change,26.373,61
no_change,26.489,52
no_change,26.598,61
no_change,26.682,68
no_change,26.839,42
no_change,26.848,68
no_change,26.98,66
no_change,27.066,61
no_change,27.182,57
no_change,27.3,61
no_change,27.386,66
no_change,27.534,66
no_change,27.541,44
no_change,27.693,64
no_change,27.827,61
no_change,27.943,56
no_change,28.055,61
no_change,28.166,64
no_change,28.27,44
no_change,28.273,64
no_change,28.4,63
no_change,28.52,60
no_change,28.652,56
no_change,28.725,54
no_change,28.891,51
no_change,29.091,49
no_change,29.243,50
no_change,29.343,51
