mutation_category,mutation_name,total_onsets_ref,total_onsets_live,correct_matches,late_matches,early_matches,missing_onsets,extra_onsets,correct_notes,tempo_reference_bpm,tempo_live_bpm,tempo_difference_bpm
tempo,faster_tempo,608,615,340,131,137,0,7,118,120.00,188.00,68.00
tempo,a_lot_faster_tempo,621,625,335,131,155,0,4,125,120.00,134.00,14.00
tempo,slower_tempo,603,600,441,87,72,3,0,260,120.00,134.00,14.00
tempo,a_lot_slower_tempo,614,597,327,149,121,17,0,74,120.00,89.00,31.00
progressive_tempo,accelerando,686,574,250,211,113,112,0,74,120.00,170.00,50.00
progressive_tempo,ritardando,597,731,235,102,260,0,134,78,120.00,110.00,10.00
progressive_tempo,tempo_fluctuation,710,845,221,164,325,0,135,74,120.00,170.00,50.00
duration,note_held_too_long,580,582,513,25,42,0,2,396,120.00,170.00,50.00
duration,note_cut_too_soon,581,583,512,25,44,0,2,396,120.00,170.00,50.00
note,note_missing,580,582,513,25,42,0,2,397,120.00,170.00,50.00
note,note_not_expected,581,584,416,70,95,0,3,209,120.00,170.00,50.00
articulation,articulated_legato,580,582,513,25,42,0,2,397,120.00,170.00,50.00
articulation,articulated_staccato,634,627,337,151,139,7,0,66,120.00,170.00,50.00
articulation,articulated_accentuated,580,582,513,25,42,0,2,397,120.00,170.00,50.00
