mutation_category,mutation_name,total_onsets_ref,total_onsets_live,correct_matches,late_matches,early_matches,missing_onsets,extra_onsets,correct_notes,tempo_reference_bpm,tempo_live_bpm,tempo_difference_bpm
tempo,faster_tempo,273,276,199,33,41,0,3,81,120.00,170.00,50.00
tempo,a_lot_faster_tempo,280,288,169,49,62,0,8,63,120.00,110.00,10.00
tempo,slower_tempo,274,271,179,54,38,3,0,65,120.00,117.00,3.00
tempo,a_lot_slower_tempo,282,273,143,76,54,9,0,50,120.00,75.00,45.00
progressive_tempo,accelerando,309,267,120,93,54,42,0,39,120.00,170.00,50.00
progressive_tempo,ritardando,270,323,132,38,100,0,53,35,120.00,99.00,21.00
progressive_tempo,tempo_fluctuation,312,534,69,33,210,0,222,42,120.00,156.00,36.00
duration,note_held_too_long,268,268,268,0,0,0,0,241,120.00,144.00,24.00
duration,note_cut_too_soon,269,269,268,0,1,0,0,240,120.00,144.00,24.00
note,note_missing,268,268,268,0,0,0,0,242,120.00,144.00,24.00
note,note_not_expected,269,270,221,20,28,0,1,105,120.00,144.00,24.00
articulation,articulated_legato,268,267,230,22,15,1,0,128,120.00,144.00,24.00
articulation,articulated_staccato,270,270,266,2,2,0,0,128,120.00,144.00,24.00
articulation,articulated_accentuated,268,268,268,0,0,0,0,241,120.00,144.00,24.00
