mutation_category,mutation_name,total_onsets_ref,total_onsets_live,correct_matches,late_matches,early_matches,missing_onsets,extra_onsets,correct_notes,tempo_reference_bpm,tempo_live_bpm,tempo_difference_bpm
tempo,faster_tempo,547,547,540,4,3,0,0,321,120.00,125.00,5.00
tempo,a_lot_faster_tempo,582,581,530,39,12,1,0,212,120.00,117.00,3.00
tempo,slower_tempo,550,550,534,8,8,0,0,339,120.00,125.00,5.00
tempo,a_lot_slower_tempo,543,542,494,24,24,1,0,220,120.00,156.00,36.00
progressive_tempo,accelerando,628,537,400,113,24,91,0,67,120.00,125.00,5.00
progressive_tempo,ritardando,545,664,367,24,154,0,119,71,120.00,89.00,31.00
progressive_tempo,tempo_fluctuation,621,744,424,52,145,0,123,70,120.00,170.00,50.00
duration,note_held_too_long,538,538,538,0,0,0,0,461,120.00,156.00,36.00
duration,note_cut_too_soon,538,538,538,0,0,0,0,460,120.00,156.00,36.00
note,note_missing,539,538,499,20,19,1,0,216,120.00,156.00,36.00
note,note_not_expected,538,538,538,0,0,0,0,461,120.00,156.00,36.00
articulation,articulated_legato,538,538,538,0,0,0,0,463,120.00,156.00,36.00
articulation,articulated_staccato,543,543,535,5,3,0,0,420,120.00,156.00,36.00
articulation,articulated_accentuated,538,538,538,0,0,0,0,461,120.00,156.00,36.00
