onset_type,onset_time,pitch
no_change,1.214,45
no_change,1.559,64
no_change,1.57,61
no_change,1.577,57
late,1.725,52
no_change,1.911,61
no_change,2.159,57
no_change,2.266,52
no_change,2.616,45
no_change,2.939,58
no_change,3.1,53
no_change,3.291,58
no_change,3.295,64
no_change,3.643,40
no_change,4.023,45
no_change,4.341,64
no_change,4.343,57
no_change,4.498,52
no_change,4.684,57
no_change,4.686,64
no_change,5.055,52
no_change,5.409,45
no_change,5.73,64
no_change,5.75,58
no_change,5.911,53
no_change,6.093,64
no_change,6.098,58
no_change,6.457,40
no_change,6.78,61
no_change,6.782,45
no_change,6.941,64
no_change,7.12,64
no_change,7.291,65
no_change,7.455,64
no_change,7.459,40
no_change,7.784,62
no_change,8.093,45
no_change,8.095,61
no_change,8.27,62
no_change,8.432,64
no_change,8.748,40
no_change,9.084,61
no_change,9.434,46
no_change,9.752,62
no_change,9.891,62
no_change,10.066,40
no_change,10.091,60
no_change,10.409,58
no_change,10.714,56
no_change,10.73,45
no_change,11.075,64
no_change,11.089,57
no_change,11.091,57
no_change,11.095,61
no_change,11.425,40
no_change,11.766,64
no_change,11.77,57
no_change,12.107,45
no_change,12.243,64
no_change,12.448,64
no_change,12.607,65
no_change,12.761,64
no_change,12.766,40
no_change,13.114,62
no_change,13.423,45
no_change,13.425,61
no_change,13.598,62
no_change,13.745,64
no_change,14.068,40
no_change,14.402,64
no_change,14.782,69
no_change,14.786,45
no_change,15.098,67
no_change,15.25,64
no_change,15.434,69
no_change,15.436,49
no_change,15.741,67
no_change,15.886,64
no_change,16.075,65
no_change,16.08,50
no_change,16.234,64
no_change,16.391,62
no_change,16.73,45
no_change,17.039,57
no_change,17.041,65
no_change,17.425,67
no_change,17.427,48
no_change,17.741,64
no_change,17.884,67
no_change,18.068,65
no_change,18.073,46
no_change,18.38,64
no_change,18.523,62
no_change,18.709,45
no_change,18.711,61
no_change,18.889,58
no_change,19.052,57
no_change,19.366,40
no_change,19.693,57
no_change,19.695,64
no_change,19.698,60
no_change,20.05,50
no_change,20.361,62
no_change,20.364,65
no_change,20.548,52
no_change,20.705,53
no_change,20.993,65
no_change,20.998,62
no_change,21.193,50
no_change,21.357,52
no_change,21.661,64
no_change,21.666,60
no_change,21.848,53
no_change,22.025,48
no_change,22.03,55
no_change,22.343,60
no_change,22.348,64
no_change,22.648,46
no_change,22.741,50
no_change,23.043,62
no_change,23.048,58
no_change,23.22,50
no_change,23.407,48
no_change,23.686,62
no_change,23.691,58
no_change,23.9,46
no_change,24.061,45
no_change,24.384,57
no_change,24.393,61
no_change,24.743,40
no_change,25.068,57
no_change,25.416,53
no_change,25.741,65
no_change,25.743,62
no_change,25.88,55
no_change,26.084,57
no_change,26.366,62
no_change,26.368,65
no_change,26.577,53
no_change,26.736,52
no_change,27.052,64
no_change,27.057,60
no_change,27.236,53
no_change,27.418,55
no_change,27.695,64
no_change,27.698,60
no_change,27.891,52
no_change,28.048,50
no_change,28.37,62
no_change,28.373,58
no_change,28.55,50
no_change,28.709,48
no_change,29.023,62
no_change,29.025,58
no_change,29.223,46
no_change,29.391,45
no_change,29.691,57
no_change,29.693,61
no_change,29.791,62
no_change,29.861,61
no_change,30.048,45
no_change,30.305,57
no_change,30.307,61
no_change,30.393,62
no_change,30.514,61
no_change,30.698,45
no_change,30.966,58
no_change,30.968,62
no_change,30.973,64
no_change,31.016,64
no_change,31.189,62
no_change,31.375,45
no_change,31.607,64
no_change,31.609,62
no_change,31.611,58
no_change,31.711,64
no_change,31.795,62
no_change,32.016,45
no_change,32.243,57
no_change,32.245,61
no_change,32.341,62
no_change,32.441,61
no_change,32.643,45
no_change,32.889,57
no_change,32.898,61
no_change,33.002,62
no_change,33.123,61
no_change,33.318,45
no_change,33.561,58
no_change,33.723,64
no_change,33.789,62
no_change,33.989,45
no_change,34.2,58
no_change,34.202,64
no_change,34.264,64
no_change,34.42,62
no_change,34.675,45
no_change,34.998,57
no_change,35.357,61
no_change,35.359,40
no_change,35.689,64
no_change,36.066,69
no_change,36.073,45
no_change,36.391,67
no_change,36.534,69
no_change,36.732,70
no_change,36.736,55
no_change,37.048,62
no_change,37.061,70
no_change,37.423,55
no_change,37.734,69
no_change,37.736,65
no_change,38.08,64
no_change,38.084,67
no_change,38.086,40
no_change,38.416,65
no_change,38.42,62
no_change,38.757,64
no_change,38.764,61
no_change,38.766,45
no_change,39.03,65
no_change,39.064,64
no_change,39.216,62
no_change,39.391,40
no_change,39.752,61
no_change,39.755,57
no_change,40.209,45
no_change,40.457,57
no_change,40.795,40
no_change,40.798,61
no_change,41.118,64
no_change,41.47,62
