onset_type,onset_time,pitch
no_change,0.107,59
no_change,0.568,58
no_change,0.83,59
no_change,1.089,60
late,1.325,59
no_change,1.68,66
no_change,2.166,60
no_change,2.645,57
no_change,2.646,45
no_change,3.052,47
no_change,3.3,54
no_change,3.545,59
no_change,3.786,58
no_change,4.002,59
no_change,4.25,60
no_change,4.493,59
no_change,4.65,40
no_change,4.848,67
no_change,5.434,55
no_change,5.436,59
no_change,6.175,42
no_change,6.4,43
no_change,6.664,59
no_change,6.875,64
no_change,7.136,55
no_change,7.352,60
no_change,7.568,59
no_change,7.782,42
no_change,7.925,60
no_change,8.452,57
no_change,8.898,52
no_change,9.225,47
no_change,9.384,59
no_change,9.832,51
no_change,10.066,57
no_change,10.286,42
no_change,10.736,40
no_change,11.002,55
no_change,11.239,59
no_change,11.466,51
no_change,11.695,52
no_change,11.92,55
no_change,12.152,59
no_change,12.384,60
no_change,12.591,59
no_change,12.823,58
no_change,13.055,59
no_change,13.282,64
no_change,13.502,45
no_change,13.639,66
no_change,14.125,60
no_change,14.58,57
no_change,14.977,47
no_change,15.214,59
no_change,15.461,58
no_change,15.693,59
no_change,15.955,60
no_change,16.159,59
no_change,16.589,71
no_change,16.711,40
no_change,17.148,62
no_change,17.705,56
no_change,18.2,45
no_change,18.373,55
no_change,18.448,60
no_change,18.509,64
no_change,18.743,66
no_change,18.957,64
no_change,19.159,63
no_change,19.368,64
no_change,19.664,59
no_change,19.67,47
no_change,20.202,52
no_change,20.677,43
no_change,21.018,42
no_change,21.266,58
no_change,21.805,52
no_change,22.273,48
no_change,22.786,47
no_change,22.8,57
no_change,23.495,51
no_change,24.264,59
no_change,26.093,59
no_change,26.357,58
no_change,26.573,59
no_change,26.782,60
no_change,27.0,59
no_change,27.234,45
no_change,27.318,66
no_change,27.805,60
no_change,28.259,57
no_change,28.67,47
no_change,28.866,54
no_change,29.111,59
no_change,29.327,58
no_change,29.577,59
no_change,29.832,60
no_change,30.08,59
no_change,30.291,40
no_change,30.405,67
no_change,30.973,55
no_change,31.689,42
no_change,31.909,43
no_change,32.166,59
no_change,32.391,64
no_change,32.589,55
no_change,32.823,60
no_change,33.032,59
no_change,33.216,42
no_change,33.377,60
no_change,33.843,57
no_change,34.314,52
no_change,34.602,47
no_change,34.77,59
no_change,35.227,51
no_change,35.48,57
no_change,35.7,42
no_change,36.145,40
no_change,36.439,55
no_change,36.682,59
no_change,36.891,51
no_change,37.109,52
no_change,37.352,55
no_change,37.577,59
no_change,37.789,60
no_change,38.023,59
no_change,38.257,58
no_change,38.468,59
no_change,38.677,64
no_change,38.916,45
no_change,39.034,66
no_change,39.561,60
no_change,40.039,57
no_change,40.47,47
no_change,40.677,59
no_change,40.936,58
no_change,41.191,59
no_change,41.445,60
no_change,41.695,59
no_change,42.152,71
no_change,42.382,40
no_change,42.784,56
no_change,42.814,62
no_change,43.08,64
no_change,43.434,56
no_change,43.441,62
no_change,44.114,45
no_change,44.318,60
no_change,44.568,64
no_change,44.573,71
no_change,44.793,69
no_change,45.034,64
no_change,45.28,60
no_change,45.5,47
no_change,45.655,67
no_change,46.091,55
no_change,46.311,59
no_change,46.577,58
no_change,46.793,59
no_change,47.209,60
no_change,47.398,47
no_change,47.405,47
no_change,47.825,57
no_change,48.08,66
no_change,48.423,57
no_change,48.43,59
no_change,48.991,40
no_change,49.061,55
no_change,49.161,59
no_change,49.234,64
no_change,49.707,46
no_change,49.973,47
no_change,50.243,48
no_change,50.802,47
no_change,51.539,40
no_change,51.961,64
no_change,51.966,55
no_change,53.898,40
no_change,54.195,71
no_change,54.436,68
no_change,54.691,64
no_change,54.934,62
no_change,55.27,59
no_change,55.511,45
no_change,55.677,60
no_change,56.175,52
no_change,56.591,55
no_change,56.639,60
no_change,56.78,64
no_change,57.627,50
no_change,57.914,69
no_change,58.136,66
no_change,58.334,62
no_change,58.555,60
no_change,58.782,57
no_change,59.007,59
no_change,59.016,43
no_change,59.636,50
no_change,60.159,54
no_change,60.232,59
no_change,60.384,62
no_change,61.186,40
no_change,61.532,67
no_change,61.77,64
no_change,62.018,59
no_change,62.286,55
no_change,62.523,54
no_change,62.8,45
no_change,63.043,52
no_change,63.57,55
no_change,64.005,52
