onset_type,onset_time,pitch
no_change,3.011,45
no_change,3.014,54
no_change,3.57,62
no_change,3.957,54
late,3.959,59
no_change,4.507,62
no_change,4.545,45
no_change,4.607,54
no_change,4.661,57
no_change,4.959,62
no_change,5.216,45
no_change,5.284,54
no_change,5.314,59
no_change,5.645,62
no_change,5.989,45
no_change,6.091,55
no_change,6.589,61
no_change,6.923,55
no_change,7.239,61
no_change,7.53,45
no_change,7.532,58
no_change,7.9,61
no_change,8.191,45
no_change,8.27,55
no_change,8.366,60
no_change,8.575,61
no_change,8.773,45
no_change,8.775,55
no_change,8.777,58
no_change,8.991,61
no_change,9.277,45
no_change,9.736,62
no_change,10.093,54
no_change,10.095,59
no_change,10.386,62
no_change,10.67,45
no_change,10.677,54
no_change,10.982,62
no_change,11.332,45
no_change,11.336,59
no_change,11.673,62
no_change,11.984,45
no_change,12.093,55
no_change,12.598,61
no_change,12.98,55
no_change,13.311,61
no_change,13.616,45
no_change,13.618,55
no_change,13.948,61
no_change,14.209,45
no_change,14.282,55
no_change,14.366,60
no_change,14.557,61
no_change,14.755,45
no_change,14.932,61
no_change,15.164,45
no_change,15.284,54
no_change,15.855,62
no_change,16.343,57
no_change,16.711,59
no_change,17.123,61
no_change,17.42,62
no_change,17.634,64
no_change,17.845,66
no_change,18.061,67
no_change,18.282,68
no_change,18.607,69
no_change,18.975,42
no_change,19.125,69
no_change,19.339,49
no_change,19.37,52
no_change,19.405,57
no_change,19.443,61
no_change,19.757,69
no_change,19.975,68
no_change,20.23,67
no_change,20.459,48
no_change,20.67,57
no_change,20.705,63
no_change,20.78,66
no_change,20.998,64
no_change,21.211,47
no_change,21.473,54
no_change,21.518,57
no_change,21.586,63
no_change,21.911,40
no_change,22.066,66
no_change,22.541,55
no_change,22.923,59
no_change,23.23,66
no_change,23.461,64
no_change,23.534,66
no_change,23.65,64
no_change,23.941,63
no_change,24.248,64
no_change,24.466,66
no_change,24.682,67
no_change,24.88,69
no_change,25.08,71
no_change,25.459,74
no_change,25.741,40
no_change,25.957,52
no_change,26.173,59
no_change,26.368,62
no_change,26.557,67
no_change,26.864,74
no_change,27.207,73
no_change,27.355,72
no_change,27.52,71
no_change,27.889,67
no_change,28.105,66
no_change,28.491,46
no_change,28.607,66
no_change,29.007,55
no_change,29.33,61
no_change,29.655,66
no_change,29.873,64
no_change,30.175,66
no_change,30.53,45
no_change,30.809,55
no_change,31.148,61
no_change,31.47,66
no_change,32.032,69
no_change,33.734,54
no_change,33.736,45
no_change,34.266,62
no_change,34.798,54
no_change,34.845,59
no_change,35.205,62
no_change,35.461,45
no_change,35.509,54
no_change,35.584,57
no_change,35.857,62
no_change,36.148,45
no_change,36.15,59
no_change,36.432,62
no_change,36.725,45
no_change,36.836,55
no_change,37.295,61
no_change,37.65,55
no_change,37.918,61
no_change,38.214,45
no_change,38.218,55
no_change,38.566,61
no_change,38.832,45
no_change,38.936,55
no_change,39.032,60
no_change,39.23,61
no_change,39.409,45
no_change,39.593,61
no_change,39.839,45
no_change,39.841,54
no_change,40.318,62
no_change,40.698,54
no_change,40.986,62
no_change,41.286,45
no_change,41.289,57
no_change,41.58,62
no_change,41.909,45
no_change,41.914,54
no_change,41.916,59
no_change,42.214,62
no_change,42.534,45
no_change,42.695,55
no_change,43.17,61
no_change,43.545,55
no_change,43.55,60
no_change,43.832,61
no_change,44.107,58
no_change,44.111,45
no_change,44.114,55
no_change,44.407,61
no_change,44.695,45
no_change,44.748,55
no_change,44.905,60
no_change,45.207,61
no_change,45.455,45
no_change,45.468,58
no_change,45.47,55
no_change,45.684,61
no_change,45.9,45
no_change,46.059,54
no_change,46.484,62
no_change,46.814,54
no_change,46.816,59
no_change,47.109,62
no_change,47.475,45
