onset_type,onset_time,pitch
no_change,2.211,76
no_change,2.395,74
no_change,2.786,72
no_change,2.966,71
late,3.352,69
no_change,3.976,68
no_change,4.098,55
no_change,4.107,71
no_change,4.457,54
no_change,4.461,72
no_change,4.836,53
no_change,4.839,74
no_change,5.189,52
no_change,5.191,76
no_change,6.648,40
no_change,6.743,64
no_change,6.807,68
no_change,6.905,76
no_change,8.757,64
no_change,8.934,63
no_change,9.107,64
no_change,9.261,45
no_change,9.411,64
no_change,9.732,60
no_change,9.88,48
no_change,10.036,64
no_change,10.186,63
no_change,10.35,64
no_change,10.509,40
no_change,10.514,65
no_change,10.684,64
no_change,10.991,64
no_change,10.993,62
no_change,11.148,47
no_change,11.316,64
no_change,11.48,63
no_change,11.648,64
no_change,11.809,40
no_change,11.811,59
no_change,11.814,56
no_change,11.816,65
no_change,11.995,64
no_change,12.161,74
no_change,12.323,71
no_change,12.484,40
no_change,12.673,64
no_change,12.814,62
no_change,12.966,61
no_change,13.123,60
no_change,13.125,45
no_change,13.323,52
no_change,13.33,57
no_change,13.584,52
no_change,13.586,57
no_change,13.773,48
no_change,13.948,69
no_change,14.114,68
no_change,14.261,67
no_change,14.43,50
no_change,14.441,65
no_change,14.598,69
no_change,14.864,65
no_change,14.884,74
no_change,15.009,69
no_change,15.182,72
no_change,15.341,69
no_change,15.47,65
no_change,15.648,40
no_change,15.659,64
no_change,15.834,69
no_change,16.084,64
no_change,16.107,72
no_change,16.236,69
no_change,16.409,72
no_change,16.577,71
no_change,16.734,70
no_change,16.9,71
no_change,17.02,47
no_change,17.193,54
no_change,17.348,59
no_change,17.495,63
no_change,17.664,66
no_change,17.836,71
no_change,17.989,69
no_change,18.111,64
no_change,18.15,40
no_change,18.155,68
no_change,18.318,76
no_change,18.609,76
no_change,18.611,64
no_change,18.614,68
no_change,18.795,40
no_change,18.952,52
no_change,19.089,51
no_change,19.248,52
no_change,19.414,45
no_change,19.564,52
no_change,19.841,57
no_change,19.868,60
no_change,19.989,48
no_change,20.173,52
no_change,20.311,51
no_change,20.473,52
no_change,20.627,53
