onset_type,onset_time,pitch
no_change,5.468,66
no_change,5.714,59
no_change,5.823,47
no_change,5.914,62
no_change,6.127,66
early,6.185,71
no_change,6.525,40
no_change,6.555,67
no_change,6.734,64
no_change,6.952,61
no_change,7.125,64
no_change,7.318,42
no_change,7.33,58
no_change,7.53,67
no_change,7.734,66
no_change,7.92,64
no_change,8.109,47
no_change,8.132,62
no_change,8.323,59
no_change,8.523,54
no_change,8.714,57
no_change,8.914,40
no_change,8.939,55
no_change,9.114,66
no_change,9.318,64
no_change,9.516,62
no_change,9.695,45
no_change,9.705,61
no_change,9.9,64
no_change,10.102,67
no_change,10.309,59
no_change,10.548,58
no_change,10.705,61
no_change,10.905,54
no_change,11.125,52
no_change,11.336,50
no_change,11.532,59
no_change,11.739,49
no_change,11.945,61
no_change,12.148,62
no_change,12.352,54
no_change,12.539,47
no_change,12.759,49
no_change,12.955,50
no_change,13.155,52
no_change,13.334,54
no_change,13.532,55
no_change,13.748,42
no_change,13.75,57
no_change,13.948,50
no_change,14.136,54
no_change,14.352,57
no_change,14.573,62
no_change,14.766,64
no_change,14.977,66
no_change,15.17,57
no_change,15.373,43
no_change,15.375,59
no_change,15.609,55
no_change,15.809,59
no_change,16.039,62
no_change,16.243,67
no_change,16.461,59
no_change,16.655,55
no_change,16.839,52
no_change,17.039,45
no_change,17.064,49
no_change,17.248,52
no_change,17.455,57
no_change,17.643,67
no_change,17.845,66
no_change,18.05,50
no_change,18.252,55
no_change,18.443,64
no_change,18.655,61
no_change,18.661,45
no_change,18.877,57
no_change,19.08,61
no_change,19.284,64
no_change,19.491,69
no_change,19.689,60
no_change,19.889,57
no_change,20.105,54
no_change,20.289,47
no_change,20.293,51
no_change,20.541,54
no_change,20.732,59
no_change,20.918,66
no_change,21.114,69
no_change,21.305,72
no_change,21.507,71
no_change,21.698,69
no_change,21.884,40
no_change,21.909,67
no_change,22.105,71
no_change,22.332,67
no_change,22.527,64
no_change,22.73,59
no_change,22.911,62
no_change,23.118,61
no_change,23.316,59
no_change,23.491,42
no_change,23.516,58
no_change,23.709,67
no_change,23.902,66
no_change,24.127,52
no_change,24.309,47
no_change,24.341,50
no_change,24.545,54
no_change,24.736,59
no_change,24.927,62
no_change,25.107,40
no_change,25.127,56
no_change,25.316,66
no_change,25.523,64
no_change,25.732,50
no_change,25.955,49
no_change,26.161,52
no_change,26.361,55
no_change,26.55,47
no_change,26.752,46
no_change,26.95,54
no_change,27.168,61
no_change,27.373,64
no_change,27.605,62
no_change,27.807,54
no_change,28.025,47
no_change,28.209,62
no_change,28.42,42
no_change,28.423,61
no_change,28.648,66
no_change,28.857,61
no_change,29.039,58
no_change,29.261,54
no_change,29.461,58
no_change,29.677,61
no_change,29.882,52
no_change,30.093,50
no_change,30.284,66
no_change,30.516,62
no_change,30.727,59
no_change,30.9,52
no_change,30.918,56
no_change,31.136,59
no_change,31.343,64
no_change,31.525,49
no_change,31.548,58
no_change,31.732,47
no_change,31.752,59
no_change,31.98,64
no_change,32.182,66
no_change,32.38,61
no_change,32.591,62
no_change,32.805,59
no_change,33.025,68
no_change,33.245,59
no_change,33.434,53
no_change,33.666,61
no_change,33.87,71
no_change,34.064,68
no_change,34.268,69
no_change,34.473,61
no_change,34.718,54
no_change,34.88,69
no_change,35.091,49
no_change,35.093,68
no_change,35.302,61
no_change,35.532,65
no_change,35.695,68
no_change,35.909,54
no_change,35.92,73
no_change,36.155,64
no_change,36.368,58
no_change,36.559,64
no_change,36.773,47
no_change,37.016,54
no_change,37.218,64
no_change,37.402,61
no_change,37.63,62
no_change,37.85,66
no_change,38.057,71
no_change,38.261,73
no_change,38.459,47
no_change,38.477,74
no_change,38.689,65
no_change,38.923,56
no_change,39.089,65
no_change,39.316,49
no_change,39.536,74
no_change,39.714,64
no_change,39.93,73
no_change,40.164,71
no_change,40.166,54
no_change,40.377,69
no_change,40.605,68
no_change,40.784,66
no_change,40.984,49
no_change,41.186,66
no_change,41.389,68
no_change,41.586,65
no_change,41.793,66
no_change,41.795,42
no_change,42.0,61
no_change,42.236,58
no_change,42.443,64
no_change,42.652,47
no_change,42.668,62
no_change,42.85,53
no_change,43.07,56
no_change,43.268,59
no_change,43.495,58
no_change,43.505,42
no_change,43.748,54
no_change,43.986,58
no_change,44.234,61
no_change,44.523,66
no_change,45.686,66
no_change,45.998,47
no_change,46.009,59
no_change,46.241,62
no_change,46.484,66
no_change,46.682,71
no_change,46.882,40
no_change,46.914,67
no_change,47.107,64
no_change,47.348,61
no_change,47.514,64
no_change,47.716,42
no_change,47.736,58
no_change,47.932,67
no_change,48.148,66
no_change,48.339,64
no_change,48.52,47
no_change,48.55,62
no_change,48.745,59
no_change,48.95,54
no_change,49.139,57
no_change,49.336,40
no_change,49.352,55
no_change,49.55,66
no_change,49.761,64
no_change,49.97,62
no_change,50.143,45
no_change,50.173,61
no_change,50.364,64
no_change,50.559,67
no_change,50.761,59
no_change,50.966,58
no_change,51.134,61
no_change,51.345,54
no_change,51.559,52
no_change,51.77,50
no_change,51.973,59
no_change,52.193,49
no_change,52.398,61
no_change,52.589,62
no_change,52.784,54
no_change,52.995,47
no_change,53.198,49
no_change,53.405,50
no_change,53.609,52
no_change,53.805,54
no_change,54.007,55
no_change,54.22,42
no_change,54.405,50
no_change,54.607,54
no_change,54.825,57
no_change,55.034,62
no_change,55.232,64
no_change,55.441,66
no_change,55.636,57
no_change,55.839,43
no_change,55.843,59
no_change,56.068,55
no_change,56.27,59
no_change,56.47,62
no_change,56.7,67
no_change,56.92,59
no_change,57.116,55
no_change,57.295,52
no_change,57.502,45
no_change,57.536,49
no_change,57.711,52
no_change,57.93,57
no_change,58.118,67
no_change,58.32,66
no_change,58.527,50
no_change,58.73,55
no_change,58.911,64
no_change,59.139,61
no_change,59.143,45
no_change,59.35,57
no_change,59.555,61
no_change,59.77,64
no_change,59.97,69
no_change,60.168,60
no_change,60.366,57
no_change,60.591,54
no_change,60.77,51
no_change,60.775,47
no_change,61.018,54
no_change,61.211,59
no_change,61.398,66
no_change,61.609,69
no_change,61.805,72
no_change,62.011,71
no_change,62.191,69
no_change,62.391,40
no_change,62.416,67
no_change,62.625,71
no_change,62.825,67
no_change,63.011,64
no_change,63.216,59
no_change,63.418,62
no_change,63.616,61
no_change,63.793,59
no_change,63.975,42
no_change,63.989,58
no_change,64.189,67
no_change,64.395,66
no_change,64.602,52
no_change,64.766,47
no_change,64.773,50
no_change,64.989,54
no_change,65.186,59
no_change,65.386,62
no_change,65.559,40
no_change,65.58,56
no_change,65.775,66
no_change,65.975,64
no_change,66.193,50
no_change,66.393,49
no_change,66.589,52
no_change,66.789,55
no_change,66.982,47
no_change,67.186,46
no_change,67.423,54
no_change,67.623,61
no_change,67.802,64
no_change,68.007,62
no_change,68.209,54
no_change,68.409,47
no_change,68.595,62
no_change,68.811,42
no_change,68.814,61
no_change,69.036,66
no_change,69.25,61
no_change,69.436,58
no_change,69.641,54
no_change,69.861,58
no_change,70.07,61
no_change,70.275,52
no_change,70.489,50
no_change,70.67,66
no_change,70.895,62
no_change,71.08,59
no_change,71.286,52
no_change,71.302,56
no_change,71.505,59
no_change,71.718,64
no_change,71.909,49
no_change,71.911,58
no_change,72.116,47
no_change,72.13,59
no_change,72.325,64
no_change,72.552,66
no_change,72.75,61
no_change,72.95,62
no_change,73.173,59
no_change,73.382,68
no_change,73.602,59
no_change,73.784,53
no_change,74.032,61
no_change,74.234,71
no_change,74.43,68
no_change,74.639,69
no_change,74.843,61
no_change,75.073,54
no_change,75.234,69
no_change,75.452,68
no_change,75.455,49
no_change,75.682,61
no_change,75.877,65
no_change,76.075,68
no_change,76.275,54
no_change,76.293,73
no_change,76.518,64
no_change,76.723,58
no_change,76.927,64
no_change,77.141,47
no_change,77.345,54
no_change,77.566,64
no_change,77.757,61
no_change,77.973,62
no_change,78.191,66
no_change,78.402,71
no_change,78.6,73
no_change,78.793,47
no_change,78.809,74
no_change,79.03,65
no_change,79.25,56
no_change,79.423,65
no_change,79.661,49
no_change,79.893,74
no_change,80.066,64
no_change,80.282,73
no_change,80.52,71
no_change,80.525,54
no_change,80.734,69
no_change,80.952,68
no_change,81.134,66
no_change,81.339,49
no_change,81.539,66
no_change,81.741,68
no_change,81.941,65
no_change,82.15,66
no_change,82.152,42
no_change,82.352,61
no_change,82.586,58
no_change,82.791,64
no_change,83.0,47
no_change,83.018,62
no_change,83.2,53
no_change,83.425,56
no_change,83.62,59
no_change,83.845,58
no_change,83.85,42
no_change,84.093,54
no_change,84.336,58
no_change,84.582,61
no_change,84.875,66
no_change,85.993,61
no_change,86.009,61
no_change,86.209,58
no_change,86.264,42
no_change,86.452,67
no_change,86.648,64
no_change,86.88,61
no_change,87.109,58
no_change,87.291,54
no_change,87.486,61
no_change,87.698,52
no_change,87.92,50
no_change,88.13,54
no_change,88.325,59
no_change,88.505,50
no_change,88.723,49
no_change,88.92,47
no_change,89.127,46
no_change,89.341,52
no_change,89.557,50
no_change,89.748,47
no_change,89.975,50
no_change,90.15,54
no_change,90.38,59
no_change,90.57,55
no_change,90.768,54
no_change,90.973,52
no_change,91.182,47
no_change,91.198,51
no_change,91.432,54
no_change,91.605,57
no_change,91.823,60
no_change,92.027,59
no_change,92.243,57
no_change,92.459,66
no_change,92.655,57
no_change,92.848,40
no_change,92.868,55
no_change,93.091,59
no_change,93.302,64
no_change,93.495,67
no_change,93.686,47
no_change,93.7,66
no_change,93.92,69
no_change,94.15,63
no_change,94.341,64
no_change,94.516,43
no_change,94.564,59
no_change,94.764,64
no_change,94.936,45
no_change,94.973,63
no_change,95.152,66
no_change,95.357,47
no_change,95.391,71
no_change,95.598,66
no_change,95.784,63
no_change,95.991,57
no_change,96.211,40
no_change,96.239,56
no_change,96.441,59
no_change,96.657,64
no_change,96.87,68
no_change,97.086,71
no_change,97.275,74
no_change,97.48,72
no_change,97.666,71
no_change,97.864,45
no_change,97.93,72
no_change,98.141,69
no_change,98.332,64
no_change,98.539,60
no_change,98.752,57
no_change,98.936,67
no_change,99.157,66
no_change,99.341,64
no_change,99.58,47
no_change,99.584,63
