onset_type,onset_time,pitch
no_change,7.38,66
no_change,7.898,69
no_change,7.952,69
no_change,7.955,50
no_change,8.243,66
early,8.319,62
no_change,8.516,69
no_change,8.523,45
no_change,8.802,62
no_change,9.082,69
no_change,9.084,52
no_change,9.357,61
no_change,9.359,67
no_change,9.655,69
no_change,9.789,71
no_change,9.916,73
no_change,10.057,74
no_change,10.189,73
no_change,10.191,45
no_change,10.311,76
no_change,10.48,71
no_change,10.589,74
no_change,10.743,69
no_change,10.855,73
no_change,11.011,67
no_change,11.275,71
no_change,11.291,38
no_change,11.295,71
no_change,11.573,66
no_change,11.861,66
no_change,11.864,62
no_change,12.5,66
no_change,12.505,69
no_change,12.509,50
no_change,12.711,66
no_change,12.716,62
no_change,13.018,51
no_change,13.02,69
no_change,13.293,66
no_change,13.295,60
no_change,13.573,52
no_change,13.575,69
no_change,13.848,64
no_change,13.852,61
no_change,14.159,61
no_change,14.27,64
no_change,14.345,69
no_change,14.423,73
no_change,14.705,76
no_change,14.711,78
no_change,14.945,64
no_change,15.227,40
no_change,15.239,66
no_change,15.518,52
no_change,15.52,62
no_change,15.823,69
no_change,15.825,45
no_change,16.384,57
no_change,16.914,66
no_change,16.989,69
no_change,17.03,50
no_change,17.277,62
no_change,17.55,69
no_change,17.555,45
no_change,17.827,62
no_change,18.1,52
no_change,18.384,61
no_change,18.668,69
no_change,18.798,71
no_change,18.939,73
no_change,19.066,74
no_change,19.195,73
no_change,19.2,45
no_change,19.336,76
no_change,19.473,71
no_change,19.586,74
no_change,19.739,69
no_change,19.845,73
no_change,20.005,67
no_change,20.243,71
no_change,20.261,38
no_change,20.536,66
no_change,20.82,62
no_change,20.823,69
no_change,21.232,66
no_change,21.345,50
no_change,21.477,69
no_change,21.68,66
no_change,21.682,62
no_change,21.966,51
no_change,21.973,69
no_change,22.25,66
no_change,22.252,60
no_change,22.523,52
no_change,22.527,69
no_change,22.8,64
no_change,22.802,61
no_change,23.127,61
no_change,23.211,64
no_change,23.295,69
no_change,23.373,73
no_change,23.525,78
no_change,23.657,76
no_change,23.914,64
no_change,24.189,40
no_change,24.205,66
no_change,24.457,52
no_change,24.459,59
no_change,24.461,62
no_change,24.766,57
no_change,24.768,61
no_change,24.873,45
no_change,25.375,56
no_change,25.38,44
no_change,25.441,57
no_change,25.448,45
no_change,25.984,57
no_change,25.993,45
no_change,26.2,59
no_change,26.336,61
no_change,26.477,62
no_change,26.573,45
no_change,26.591,64
no_change,26.73,66
no_change,26.861,67
no_change,26.977,69
no_change,27.095,71
no_change,27.1,38
no_change,27.38,69
no_change,27.382,62
no_change,27.668,62
no_change,27.67,69
no_change,27.95,71
no_change,28.043,74
no_change,28.257,52
no_change,28.52,67
no_change,28.539,64
no_change,28.802,67
no_change,28.805,64
no_change,29.07,73
no_change,29.17,76
no_change,29.407,76
no_change,29.409,54
no_change,29.709,74
no_change,29.843,59
no_change,29.993,66
no_change,30.041,74
no_change,30.045,66
no_change,30.168,59
no_change,30.72,73
no_change,30.723,55
no_change,30.87,71
no_change,30.982,70
no_change,31.098,71
no_change,31.261,55
no_change,31.266,76
no_change,31.37,74
no_change,31.482,73
no_change,31.627,71
no_change,31.8,66
no_change,31.891,45
no_change,31.943,71
no_change,32.186,66
no_change,32.189,62
no_change,32.489,66
no_change,32.491,62
no_change,32.83,78
no_change,32.973,74
no_change,33.109,69
no_change,33.111,45
no_change,33.245,74
no_change,33.382,66
no_change,33.502,69
no_change,33.62,57
no_change,33.918,67
no_change,33.92,76
no_change,34.232,38
no_change,34.234,54
no_change,34.823,74
no_change,34.825,66
no_change,34.827,50
no_change,35.389,57
no_change,35.395,45
no_change,35.634,59
no_change,35.764,61
no_change,35.905,62
no_change,36.036,64
no_change,36.043,45
no_change,36.177,66
no_change,36.3,67
no_change,36.411,69
no_change,36.545,38
no_change,36.82,62
no_change,36.823,69
no_change,37.093,62
no_change,37.098,69
no_change,37.355,71
no_change,37.473,74
no_change,37.723,52
no_change,37.725,74
no_change,37.989,67
no_change,37.991,64
no_change,38.264,64
no_change,38.505,73
no_change,38.595,76
no_change,38.873,76
no_change,38.875,54
no_change,39.173,74
no_change,39.291,59
no_change,39.441,66
no_change,39.495,74
no_change,39.5,66
no_change,39.611,59
no_change,40.13,55
no_change,40.134,59
no_change,40.136,73
no_change,40.286,71
no_change,40.414,70
no_change,40.527,71
no_change,40.648,76
no_change,40.65,55
no_change,40.75,74
no_change,40.866,73
no_change,40.934,71
no_change,41.145,66
no_change,41.286,45
no_change,41.293,71
no_change,41.561,66
no_change,41.564,62
no_change,41.839,66
no_change,41.841,62
no_change,42.125,78
no_change,42.259,74
no_change,42.398,69
no_change,42.4,45
no_change,42.543,74
no_change,42.689,66
no_change,42.793,69
no_change,42.939,57
no_change,43.218,67
no_change,43.22,76
no_change,43.514,38
no_change,43.518,62
no_change,44.223,66
no_change,44.225,50
no_change,45.025,43
no_change,45.505,55
no_change,45.511,59
no_change,45.83,50
no_change,45.839,38
no_change,46.155,62
no_change,46.157,59
no_change,46.418,45
no_change,46.425,54
no_change,46.739,62
no_change,46.741,60
no_change,47.057,60
no_change,47.059,62
no_change,47.289,55
no_change,47.411,57
no_change,47.53,59
no_change,47.639,38
no_change,48.007,62
no_change,48.282,50
no_change,48.58,62
