onset_type,onset_time,pitch
no_change,3.12,41
no_change,3.234,60
no_change,3.395,65
no_change,3.398,69
late,3.536,60
no_change,3.89,45
no_change,3.991,48
no_change,3.993,65
no_change,4.3,50
no_change,4.645,52
no_change,4.961,53
no_change,5.091,57
no_change,5.236,60
no_change,5.393,57
no_change,5.532,51
no_change,5.861,58
no_change,5.864,50
no_change,6.184,48
no_change,6.495,65
no_change,6.498,57
no_change,6.807,46
no_change,6.941,58
no_change,7.077,65
no_change,7.082,62
no_change,7.236,58
no_change,7.382,45
no_change,7.677,41
no_change,7.691,58
no_change,8.011,48
no_change,8.332,58
no_change,8.334,64
no_change,8.632,41
no_change,8.775,58
no_change,8.914,64
no_change,9.07,58
no_change,9.236,48
no_change,9.511,57
no_change,9.686,65
no_change,10.032,50
no_change,10.548,48
no_change,10.909,41
no_change,11.061,60
no_change,11.207,65
no_change,11.209,69
no_change,11.359,60
no_change,11.507,45
no_change,11.809,48
no_change,11.811,65
no_change,11.814,69
no_change,12.134,50
no_change,12.445,52
no_change,12.789,53
no_change,12.916,57
no_change,13.075,65
no_change,13.077,60
no_change,13.214,57
no_change,13.38,51
no_change,13.709,58
no_change,13.711,50
no_change,13.714,62
no_change,14.023,48
no_change,14.341,57
no_change,14.343,65
no_change,14.345,63
no_change,14.684,46
no_change,14.807,58
no_change,14.959,65
no_change,14.961,62
no_change,15.116,58
no_change,15.257,45
no_change,15.58,43
no_change,15.582,65
no_change,15.891,48
no_change,16.207,58
no_change,16.209,67
no_change,16.211,64
no_change,16.523,41
no_change,16.7,58
no_change,16.923,64
no_change,16.925,67
no_change,17.189,58
no_change,17.486,48
no_change,18.109,65
no_change,18.111,57
no_change,20.307,53
no_change,20.884,55
no_change,21.42,57
no_change,21.423,60
no_change,21.814,62
no_change,22.148,61
no_change,22.15,64
no_change,22.52,62
no_change,22.523,65
no_change,23.145,77
no_change,23.148,58
no_change,24.33,57
no_change,26.189,76
no_change,26.768,48
no_change,26.825,65
no_change,27.295,76
no_change,27.755,72
no_change,28.125,71
no_change,28.166,72
no_change,28.257,71
no_change,28.62,55
no_change,29.089,69
no_change,29.091,57
no_change,29.7,43
no_change,29.702,50
no_change,30.914,60
no_change,30.916,64
no_change,30.918,48
no_change,32.434,50
