mutation_category,mutation_name,total_onsets_ref,total_onsets_live,correct_matches,late_matches,early_matches,missing_onsets,extra_onsets,correct_notes,tempo_reference_bpm,tempo_live_bpm,tempo_difference_bpm
pitch,pitch_shift,388,390,281,37,70,0,2,160,120.00,85.00,35.00
tempo,faster_tempo,387,395,177,99,111,0,8,88,120.00,104.00,16.00
tempo,a_lot_faster_tempo,404,413,164,113,127,0,9,92,120.00,125.00,5.00
tempo,slower_tempo,395,401,176,95,124,0,6,75,120.00,69.00,51.00
tempo,a_lot_slower_tempo,401,400,250,78,72,1,0,105,120.00,117.00,3.00
progressive_tempo,accelerando,464,394,124,180,90,70,0,51,120.00,110.00,10.00
progressive_tempo,ritardando,390,485,124,80,186,0,95,68,120.00,170.00,50.00
progressive_tempo,tempo_fluctuation,537,521,145,209,167,16,0,85,120.00,94.00,26.00
timing,note_too_soon,408,411,184,104,120,0,3,83,120.00,85.00,35.00
timing,note_too_late,389,392,192,89,108,0,3,89,120.00,85.00,35.00
duration,note_held_too_long,388,390,281,37,70,0,2,159,120.00,85.00,35.00
duration,note_cut_too_soon,392,394,277,40,75,0,2,156,120.00,85.00,35.00
note,note_missing,388,389,285,36,67,0,1,162,120.00,85.00,35.00
note,note_not_expected,388,391,218,80,90,0,3,123,120.00,85.00,35.00
articulation,articulated_legato,388,389,301,35,52,0,1,189,120.00,85.00,35.00
articulation,articulated_staccato,407,413,215,86,106,0,6,82,120.00,85.00,35.00
articulation,articulated_accentuated,388,390,281,37,70,0,2,160,120.00,85.00,35.00
