onset_type,onset_time,pitch
no_change,9.498,48
no_change,10.377,48
no_change,11.214,48
no_change,12.064,48
early,12.308,52
no_change,12.895,53
no_change,12.898,48
no_change,13.38,52
no_change,13.736,48
no_change,14.075,48
no_change,14.473,47
no_change,14.832,50
no_change,15.277,47
no_change,16.116,47
no_change,16.932,47
no_change,17.718,47
no_change,18.15,53
no_change,18.514,52
no_change,18.516,47
no_change,18.834,50
no_change,19.255,48
no_change,19.257,52
no_change,19.784,55
no_change,20.18,48
no_change,20.473,59
no_change,20.927,45
no_change,20.932,55
no_change,21.505,55
no_change,21.868,57
no_change,21.873,45
no_change,22.184,52
no_change,22.573,50
no_change,22.975,57
no_change,23.309,50
no_change,23.311,59
no_change,23.616,60
no_change,24.052,43
no_change,24.055,50
no_change,24.525,57
no_change,24.941,55
no_change,24.95,43
no_change,25.82,55
no_change,26.584,55
no_change,26.6,64
no_change,27.023,62
no_change,27.457,64
no_change,27.461,55
no_change,27.811,62
no_change,28.164,55
no_change,28.523,59
no_change,28.93,55
no_change,28.932,57
no_change,29.766,55
no_change,30.598,53
no_change,31.35,62
no_change,31.352,53
no_change,31.814,64
no_change,32.155,62
no_change,32.161,53
no_change,32.491,60
no_change,32.877,53
no_change,33.198,57
no_change,33.593,59
no_change,33.607,53
no_change,34.08,62
no_change,34.423,53
no_change,34.732,65
no_change,35.1,62
no_change,35.111,52
no_change,35.114,67
no_change,35.591,62
no_change,35.92,52
no_change,36.225,59
no_change,36.648,57
no_change,37.059,64
no_change,37.4,69
no_change,37.402,57
no_change,37.711,67
no_change,38.111,60
no_change,38.127,50
no_change,38.132,65
no_change,38.611,60
no_change,38.973,50
no_change,39.289,57
no_change,39.691,55
no_change,40.143,60
no_change,40.518,62
no_change,40.52,55
no_change,40.8,64
no_change,41.161,55
no_change,41.184,65
no_change,41.186,59
no_change,41.189,50
no_change,41.53,69
no_change,41.859,55
no_change,41.861,50
no_change,41.864,59
no_change,42.214,65
no_change,42.6,48
no_change,42.602,55
no_change,42.605,64
no_change,43.475,48
no_change,44.232,48
no_change,44.684,62
no_change,45.061,60
no_change,45.066,48
no_change,45.42,59
no_change,45.782,48
no_change,45.784,52
no_change,46.132,55
no_change,46.491,48
no_change,46.705,55
no_change,46.905,52
no_change,47.352,48
no_change,47.955,50
no_change,48.332,52
no_change,48.636,54
no_change,48.98,55
no_change,49.314,59
no_change,49.523,57
no_change,49.761,60
no_change,49.98,59
no_change,50.255,62
no_change,50.518,60
no_change,50.882,64
no_change,51.245,47
no_change,51.348,55
no_change,51.482,62
no_change,53.057,48
no_change,53.416,64
no_change,53.582,62
no_change,53.773,60
no_change,53.955,62
no_change,54.127,64
no_change,54.468,50
no_change,54.677,59
no_change,55.364,59
no_change,55.468,60
no_change,55.525,59
no_change,55.664,57
no_change,55.925,59
no_change,56.207,60
no_change,57.043,57
no_change,58.702,55
no_change,58.705,43
no_change,59.58,43
no_change,60.35,45
no_change,60.72,55
no_change,61.102,45
no_change,61.434,52
no_change,61.78,47
no_change,62.175,57
no_change,62.523,47
no_change,62.832,53
no_change,63.293,48
no_change,64.118,48
no_change,64.916,48
no_change,65.723,48
no_change,66.514,48
