mutation_category,mutation_name,total_onsets_ref,total_onsets_live,correct_matches,late_matches,early_matches,missing_onsets,extra_onsets,correct_notes,tempo_reference_bpm,tempo_live_bpm,tempo_difference_bpm
pitch,pitch_shift,523,523,523,0,0,0,0,443,120.00,170.00,50.00
tempo,faster_tempo,535,538,317,105,113,0,3,127,120.00,99.00,21.00
tempo,a_lot_faster_tempo,555,563,290,134,131,0,8,97,120.00,117.00,3.00
tempo,slower_tempo,540,537,348,92,97,3,0,181,120.00,134.00,14.00
tempo,a_lot_slower_tempo,543,537,268,136,133,6,0,101,120.00,85.00,35.00
progressive_tempo,accelerando,619,524,194,212,118,95,0,40,120.00,104.00,16.00
progressive_tempo,ritardando,523,649,183,85,255,0,126,42,120.00,125.00,5.00
progressive_tempo,tempo_fluctuation,665,953,159,151,355,0,288,71,120.00,170.00,50.00
timing,note_too_soon,529,530,383,71,75,0,1,170,120.00,170.00,50.00
timing,note_too_late,532,533,378,75,79,0,1,160,120.00,170.00,50.00
duration,note_held_too_long,523,523,523,0,0,0,0,444,120.00,170.00,50.00
duration,note_cut_too_soon,527,527,520,3,4,0,0,442,120.00,170.00,50.00
note,note_missing,523,522,456,35,31,1,0,323,120.00,170.00,50.00
note,note_not_expected,523,524,413,53,57,0,1,232,120.00,170.00,50.00
articulation,articulated_legato,523,523,523,0,0,0,0,442,120.00,170.00,50.00
articulation,articulated_staccato,526,526,520,3,3,0,0,304,120.00,170.00,50.00
articulation,articulated_accentuated,523,523,523,0,0,0,0,444,120.00,170.00,50.00
