onset_type,onset_time,pitch
no_change,6.702,45
no_change,7.236,52
no_change,7.3,57
no_change,7.314,51
articulation,7.493,52
no_change,7.798,60
no_change,7.8,52
no_change,7.802,57
no_change,8.039,40
no_change,8.259,52
no_change,8.268,57
no_change,8.498,47
no_change,8.759,52
no_change,8.761,62
no_change,8.766,56
no_change,8.827,51
no_change,8.948,52
no_change,9.2,52
no_change,9.202,56
no_change,9.423,40
no_change,9.625,52
no_change,9.864,45
no_change,10.134,52
no_change,10.139,57
no_change,10.145,60
no_change,10.193,51
no_change,10.325,52
no_change,10.566,52
no_change,10.782,40
no_change,10.986,52
no_change,10.991,57
no_change,11.232,47
no_change,11.505,52
no_change,11.514,56
no_change,11.573,51
no_change,11.736,52
no_change,12.014,62
no_change,12.018,52
no_change,12.357,40
no_change,12.795,52
no_change,12.798,56
no_change,13.427,45
no_change,13.932,64
no_change,14.275,63
no_change,14.461,64
no_change,14.8,69
no_change,15.052,68
no_change,15.364,47
no_change,15.448,64
no_change,15.727,62
no_change,15.82,56
no_change,15.957,40
no_change,16.145,56
no_change,16.148,62
no_change,16.348,52
no_change,16.55,62
no_change,16.552,56
no_change,16.77,45
no_change,16.98,64
no_change,17.198,63
no_change,17.382,64
no_change,17.716,69
no_change,17.989,68
no_change,18.309,47
no_change,18.386,64
no_change,18.707,62
no_change,18.818,56
no_change,18.955,40
no_change,19.175,56
no_change,19.407,52
no_change,19.634,56
no_change,19.639,62
no_change,19.898,45
no_change,20.259,64
no_change,20.536,57
no_change,20.539,63
no_change,20.759,64
no_change,20.943,56
no_change,21.016,72
no_change,21.264,74
no_change,21.484,55
no_change,21.645,76
no_change,21.848,67
no_change,22.209,76
no_change,22.459,67
no_change,22.768,76
no_change,23.189,55
no_change,23.389,68
no_change,23.657,55
no_change,23.693,77
no_change,23.957,69
no_change,24.195,76
no_change,24.505,71
no_change,24.834,55
no_change,25.241,74
no_change,25.55,48
no_change,25.65,76
no_change,25.891,74
no_change,25.955,76
no_change,26.005,74
no_change,26.118,72
no_change,26.389,67
no_change,26.498,54
no_change,26.589,55
no_change,26.591,55
no_change,26.798,67
no_change,26.8,64
no_change,27.014,50
no_change,27.255,71
no_change,27.514,70
no_change,27.709,71
no_change,28.052,65
no_change,28.18,74
no_change,28.405,71
no_change,28.643,40
no_change,28.718,69
no_change,29.136,71
no_change,29.227,69
no_change,29.33,68
no_change,29.655,64
no_change,29.77,58
no_change,29.873,59
no_change,29.898,59
no_change,30.266,64
no_change,30.268,62
no_change,30.584,50
no_change,30.909,71
no_change,30.986,72
no_change,31.068,71
no_change,31.166,70
no_change,31.298,71
no_change,31.514,65
no_change,31.607,74
no_change,31.78,71
no_change,31.97,40
no_change,32.03,69
no_change,32.432,71
no_change,32.502,69
no_change,32.616,68
no_change,32.918,64
no_change,33.061,58
no_change,33.125,59
no_change,33.268,59
no_change,33.577,64
no_change,33.58,62
no_change,33.923,50
no_change,34.355,71
no_change,34.441,72
no_change,34.511,71
no_change,34.591,70
no_change,34.82,71
no_change,35.07,65
no_change,35.073,74
no_change,35.298,71
no_change,35.518,50
no_change,35.745,71
no_change,35.818,72
no_change,35.891,71
no_change,35.966,70
no_change,36.186,71
no_change,36.393,74
no_change,36.395,65
no_change,36.623,71
no_change,36.823,51
no_change,37.057,71
no_change,37.12,72
no_change,37.207,71
no_change,37.286,70
no_change,37.502,71
no_change,37.757,66
no_change,37.759,75
no_change,38.002,71
no_change,38.248,51
no_change,38.507,71
no_change,38.577,72
no_change,38.609,71
no_change,38.764,70
no_change,39.045,71
no_change,39.37,66
no_change,39.375,75
no_change,39.718,71
no_change,40.134,40
no_change,40.975,76
no_change,41.555,77
no_change,41.882,76
no_change,42.195,71
no_change,42.402,69
no_change,42.684,76
no_change,42.707,71
no_change,42.777,74
no_change,43.455,72
no_change,43.457,69
no_change,43.8,71
no_change,43.802,68
no_change,44.059,69
no_change,44.268,68
no_change,44.27,71
no_change,44.475,65
no_change,44.477,69
no_change,44.682,64
no_change,44.684,68
no_change,44.88,65
no_change,44.884,69
no_change,45.08,68
