onset_type,onset_time,pitch
no_change,1.184,38
no_change,1.589,45
no_change,1.973,54
no_change,2.752,45
no_change,3.525,38
early,3.638,45
no_change,4.359,54
no_change,5.189,45
no_change,6.105,38
no_change,6.243,66
no_change,6.595,45
no_change,6.945,54
no_change,7.605,66
no_change,7.614,45
no_change,8.15,38
no_change,8.284,69
no_change,8.611,45
no_change,8.977,54
no_change,9.72,71
no_change,10.436,60
no_change,10.568,66
no_change,10.677,71
no_change,10.98,69
no_change,11.282,67
no_change,11.568,66
no_change,11.882,60
no_change,11.891,63
no_change,11.995,64
no_change,12.016,61
no_change,12.741,38
no_change,13.082,45
no_change,13.448,55
no_change,14.209,45
no_change,14.793,38
no_change,14.945,66
no_change,15.266,61
no_change,15.62,67
no_change,15.623,45
no_change,16.314,64
no_change,16.914,38
no_change,17.061,66
no_change,17.389,61
no_change,17.739,67
no_change,17.748,45
no_change,18.539,69
no_change,19.395,58
no_change,19.53,62
no_change,19.632,69
no_change,19.927,67
no_change,20.22,66
no_change,20.543,64
no_change,20.82,45
no_change,20.952,62
no_change,21.261,55
no_change,21.643,54
no_change,21.955,52
no_change,22.343,50
no_change,22.498,78
no_change,22.845,79
no_change,23.232,81
no_change,23.984,38
no_change,24.343,45
no_change,24.757,54
no_change,25.589,45
no_change,26.243,51
no_change,26.391,69
no_change,26.666,71
no_change,27.011,72
no_change,27.014,63
no_change,27.666,69
no_change,27.668,60
no_change,28.234,51
no_change,28.364,71
no_change,28.666,60
no_change,28.993,63
no_change,29.7,75
no_change,30.568,72
no_change,30.877,52
no_change,30.945,71
no_change,31.193,69
no_change,31.466,45
no_change,31.605,61
no_change,31.677,67
no_change,31.943,59
no_change,32.314,57
no_change,33.064,40
no_change,33.375,45
no_change,33.736,55
no_change,34.48,45
no_change,35.016,52
no_change,35.177,64
no_change,35.473,66
no_change,35.825,57
no_change,35.827,67
no_change,36.53,64
no_change,37.03,45
no_change,37.182,66
no_change,37.505,57
no_change,37.893,52
no_change,37.895,67
no_change,38.72,69
no_change,40.157,57
no_change,40.264,66
no_change,40.282,40
no_change,40.605,64
no_change,40.895,54
no_change,41.036,62
no_change,41.739,45
no_change,42.484,38
no_change,42.889,45
no_change,43.305,54
no_change,44.243,45
no_change,45.068,38
no_change,45.193,66
no_change,45.536,45
no_change,45.923,54
no_change,45.925,69
no_change,46.614,66
no_change,46.62,45
no_change,47.105,38
no_change,47.223,69
no_change,47.559,45
no_change,47.923,54
no_change,48.645,71
no_change,49.389,60
no_change,49.509,66
no_change,49.609,71
no_change,49.905,69
no_change,50.207,67
no_change,50.509,66
no_change,50.83,60
no_change,50.836,63
no_change,50.943,61
no_change,51.657,38
no_change,51.986,45
no_change,52.352,55
no_change,53.091,45
no_change,53.648,38
no_change,53.777,66
no_change,54.098,61
no_change,54.457,45
no_change,55.125,64
no_change,55.675,38
no_change,55.777,66
no_change,56.111,61
no_change,56.461,67
no_change,56.464,45
no_change,57.216,69
no_change,58.12,58
no_change,58.248,62
no_change,58.361,69
no_change,58.657,67
no_change,58.952,66
no_change,59.236,64
no_change,59.511,45
no_change,59.605,62
no_change,59.943,55
no_change,60.275,54
no_change,60.561,52
no_change,60.961,50
no_change,61.095,78
no_change,61.418,79
no_change,61.82,81
no_change,62.57,38
no_change,62.95,45
no_change,63.341,54
no_change,64.118,45
no_change,64.723,51
no_change,64.855,69
no_change,65.118,71
no_change,65.466,63
no_change,66.102,69
no_change,66.105,60
no_change,66.716,51
no_change,66.827,71
no_change,67.118,60
no_change,67.452,63
no_change,67.455,72
no_change,68.198,75
no_change,69.114,72
no_change,69.448,52
no_change,69.495,71
no_change,69.752,69
no_change,70.0,45
no_change,70.134,61
no_change,70.175,67
no_change,70.507,59
no_change,70.88,57
no_change,71.55,40
no_change,71.88,45
no_change,72.252,55
no_change,72.955,45
no_change,73.484,52
no_change,73.63,64
no_change,73.939,66
no_change,74.291,57
no_change,74.293,61
no_change,75.0,64
no_change,75.527,45
no_change,75.682,66
no_change,76.034,57
no_change,76.395,67
no_change,76.402,52
no_change,77.27,69
no_change,78.845,57
no_change,78.943,40
no_change,78.948,66
no_change,79.245,64
no_change,79.568,54
no_change,79.67,62
no_change,80.418,45
no_change,81.166,38
no_change,81.568,45
no_change,81.977,54
no_change,82.818,45
no_change,83.57,38
no_change,83.689,72
no_change,84.027,45
