mutation_category,mutation_name,total_onsets_ref,total_onsets_live,correct_matches,late_matches,early_matches,missing_onsets,extra_onsets,correct_notes,tempo_reference_bpm,tempo_live_bpm,tempo_difference_bpm
pitch,pitch_shift,246,244,135,68,41,2,0,105,120.00,85.00,35.00
tempo,faster_tempo,257,255,120,77,58,2,0,79,120.00,104.00,16.00
tempo,a_lot_faster_tempo,264,263,174,57,32,1,0,115,120.00,125.00,5.00
tempo,slower_tempo,251,250,196,27,27,1,0,121,120.00,144.00,24.00
tempo,a_lot_slower_tempo,256,253,107,86,60,3,0,53,120.00,89.00,31.00
progressive_tempo,accelerando,294,244,68,114,62,50,0,24,120.00,110.00,10.00
progressive_tempo,ritardando,252,313,74,51,127,0,61,25,120.00,104.00,16.00
progressive_tempo,tempo_fluctuation,277,355,89,62,126,0,78,26,120.00,94.00,26.00
timing,note_too_soon,250,248,127,74,47,2,0,94,120.00,85.00,35.00
timing,note_too_late,249,247,132,72,43,2,0,100,120.00,85.00,35.00
duration,note_held_too_long,246,244,135,68,41,2,0,104,120.00,85.00,35.00
duration,note_cut_too_soon,247,245,135,68,42,2,0,103,120.00,85.00,35.00
note,note_missing,247,245,137,67,41,2,0,107,120.00,85.00,35.00
note,note_not_expected,246,245,198,29,18,1,0,162,120.00,85.00,35.00
articulation,articulated_legato,247,244,90,88,66,3,0,53,120.00,85.00,35.00
articulation,articulated_staccato,251,250,165,55,30,1,0,75,120.00,85.00,35.00
articulation,articulated_accentuated,246,244,135,68,41,2,0,105,120.00,85.00,35.00
