mutation_category,mutation_name,total_onsets_ref,total_onsets_live,correct_matches,late_matches,early_matches,missing_onsets,extra_onsets,correct_notes,tempo_reference_bpm,tempo_live_bpm,tempo_difference_bpm
pitch,pitch_shift,569,568,414,78,76,1,0,295,120.00,94.00,26.00
tempo,faster_tempo,580,580,454,59,67,0,0,209,120.00,110.00,10.00
tempo,a_lot_faster_tempo,618,617,427,116,74,1,0,211,120.00,104.00,16.00
tempo,slower_tempo,583,581,449,67,65,2,0,201,120.00,117.00,3.00
tempo,a_lot_slower_tempo,579,577,397,140,40,2,0,147,120.00,134.00,14.00
progressive_tempo,accelerando,677,569,290,183,96,108,0,56,120.00,117.00,3.00
progressive_tempo,ritardando,579,720,266,66,247,0,141,51,120.00,144.00,24.00
progressive_tempo,tempo_fluctuation,693,968,266,134,293,0,275,47,120.00,144.00,24.00
timing,note_too_soon,573,573,380,98,95,0,0,257,120.00,94.00,26.00
timing,note_too_late,569,569,385,92,92,0,0,257,120.00,94.00,26.00
duration,note_held_too_long,569,568,412,79,77,1,0,294,120.00,94.00,26.00
duration,note_cut_too_soon,570,569,412,79,78,1,0,294,120.00,94.00,26.00
note,note_missing,569,567,416,76,75,2,0,287,120.00,94.00,26.00
note,note_not_expected,569,569,492,38,39,0,0,344,120.00,94.00,26.00
articulation,articulated_legato,569,566,430,67,69,3,0,284,120.00,94.00,26.00
articulation,articulated_staccato,603,602,429,92,81,1,0,235,120.00,94.00,26.00
articulation,articulated_accentuated,569,568,412,79,77,1,0,295,120.00,94.00,26.00
