onset_type,onset_time,pitch
no_change,0.068,64
no_change,0.23,52
no_change,0.405,57
no_change,0.593,64
no_change,0.766,52
no_change,0.945,57
no_change,1.118,64
no_change,1.334,57
no_change,1.505,64
no_change,1.7,52
no_change,1.889,57
no_change,2.061,64
no_change,2.234,52
no_change,2.439,57
no_change,2.598,64
no_change,2.782,57
no_change,2.968,64
no_change,3.173,52
no_change,3.355,57
no_change,3.53,64
no_change,3.727,52
no_change,3.916,57
no_change,4.086,64
no_change,4.268,57
no_change,4.459,64
no_change,4.636,52
no_change,4.843,57
no_change,5.018,64
no_change,5.182,52
no_change,5.393,57
no_change,5.543,64
no_change,5.723,57
no_change,5.923,64
no_change,5.925,57
no_change,5.93,45
no_change,6.286,47
no_change,6.464,64
no_change,6.473,57
no_change,6.677,48
no_change,7.061,47
no_change,7.459,64
no_change,7.466,57
no_change,7.468,45
no_change,7.827,43
no_change,8.023,57
no_change,8.214,41
no_change,8.58,64
no_change,8.582,57
no_change,8.586,40
no_change,8.952,57
no_change,8.961,45
no_change,9.33,47
no_change,9.505,64
no_change,9.507,57
no_change,9.702,48
no_change,10.095,64
no_change,10.098,47
no_change,10.468,64
no_change,10.473,57
no_change,10.475,45
no_change,10.841,43
no_change,11.005,64
no_change,11.007,57
no_change,11.209,41
no_change,11.58,40
no_change,11.961,64
no_change,11.964,45
no_change,12.12,60
no_change,12.339,57
no_change,12.527,65
no_change,12.877,45
no_change,13.061,57
no_change,13.223,64
no_change,13.418,45
no_change,13.423,62
no_change,13.614,60
no_change,13.802,45
no_change,13.97,52
no_change,14.143,45
no_change,14.145,59
no_change,14.325,57
no_change,14.534,45
no_change,14.875,45
no_change,14.877,62
no_change,15.082,59
no_change,15.286,56
no_change,15.455,64
no_change,15.802,45
no_change,15.982,56
no_change,16.152,62
no_change,16.359,60
no_change,16.361,45
no_change,16.527,59
no_change,16.727,45
no_change,16.895,52
no_change,17.082,57
no_change,17.091,45
no_change,17.273,56
no_change,17.468,45
no_change,17.82,64
no_change,17.836,45
no_change,18.018,60
no_change,18.209,57
no_change,18.391,57
no_change,18.395,65
no_change,18.748,45
no_change,18.914,57
no_change,19.073,64
no_change,19.266,45
no_change,19.268,62
no_change,19.466,60
no_change,19.65,45
no_change,19.82,52
no_change,20.009,45
no_change,20.186,57
no_change,20.386,45
no_change,20.711,45
no_change,20.716,62
no_change,20.895,59
no_change,21.093,56
no_change,21.243,56
no_change,21.27,64
no_change,21.473,59
no_change,21.636,45
no_change,21.811,56
no_change,21.98,62
no_change,22.189,60
no_change,22.193,45
no_change,22.359,59
no_change,22.534,45
no_change,22.702,52
no_change,22.886,57
no_change,22.889,45
no_change,23.073,56
no_change,23.277,45
no_change,23.623,57
no_change,23.627,64
no_change,23.845,45
no_change,24.205,52
no_change,24.209,57
no_change,24.211,60
no_change,24.548,64
no_change,24.555,60
no_change,24.561,57
no_change,24.736,60
no_change,24.741,57
no_change,24.839,64
no_change,24.843,60
no_change,24.845,57
no_change,24.864,60
no_change,24.934,57
no_change,24.945,57
no_change,25.007,60
no_change,25.114,57
no_change,25.311,45
no_change,25.498,52
no_change,25.72,57
no_change,25.723,64
no_change,26.093,64
no_change,26.1,60
no_change,26.105,57
no_change,26.243,57
no_change,26.245,64
no_change,26.33,64
no_change,26.334,60
no_change,26.339,57
no_change,26.368,60
no_change,26.443,57
no_change,26.523,64
no_change,26.525,60
no_change,26.527,57
no_change,26.611,57
no_change,26.616,60
no_change,26.618,64
no_change,26.755,45
no_change,27.036,52
no_change,27.227,57
no_change,27.232,60
no_change,27.234,64
no_change,27.614,64
no_change,27.616,57
no_change,27.618,60
no_change,27.673,60
no_change,27.768,57
no_change,27.782,64
no_change,27.8,57
no_change,27.857,60
no_change,27.886,60
no_change,27.97,57
no_change,27.993,57
no_change,28.041,64
no_change,28.045,60
no_change,28.145,57
no_change,28.148,64
no_change,28.284,45
no_change,28.577,52
no_change,28.764,57
no_change,28.766,60
no_change,28.768,64
no_change,29.136,64
no_change,29.141,60
no_change,29.145,57
no_change,29.314,57
no_change,29.316,60
no_change,29.418,57
no_change,29.507,57
no_change,29.509,64
no_change,29.609,64
no_change,29.62,60
no_change,29.625,57
no_change,29.8,45
no_change,29.984,64
no_change,29.991,57
no_change,30.189,47
no_change,30.55,64
no_change,30.552,57
no_change,30.559,48
no_change,30.932,47
no_change,31.093,64
no_change,31.095,57
no_change,31.291,45
no_change,31.475,57
no_change,31.682,43
no_change,32.025,64
no_change,32.03,57
no_change,32.034,41
no_change,32.4,64
no_change,32.402,40
no_change,32.718,45
no_change,32.877,57
no_change,32.88,64
no_change,33.1,47
no_change,33.448,64
no_change,33.45,57
no_change,33.455,48
no_change,33.789,47
no_change,33.88,57
no_change,33.97,64
no_change,34.052,57
no_change,34.189,45
no_change,34.352,57
no_change,34.355,64
no_change,34.561,43
no_change,34.918,41
no_change,35.268,57
no_change,35.275,64
no_change,35.282,40
no_change,35.67,52
no_change,35.855,48
no_change,36.027,45
no_change,36.22,53
no_change,36.6,57
no_change,36.775,64
no_change,36.952,52
pitch,37.145,86
no_change,37.359,48
no_change,37.52,64
no_change,37.695,57
no_change,37.886,47
no_change,38.089,45
no_change,38.284,64
no_change,38.286,57
no_change,38.618,50
no_change,38.798,47
no_change,38.986,44
no_change,39.175,52
