onset_type,onset_time,pitch
no_change,13.339,66
no_change,13.341,71
no_change,13.643,59
no_change,13.807,57
no_change,13.955,59
no_change,14.114,50
no_change,14.268,59
no_change,14.43,71
no_change,14.434,67
no_change,14.616,59
no_change,14.764,52
no_change,14.905,59
no_change,15.048,49
no_change,15.193,59
no_change,15.35,67
no_change,15.502,61
no_change,15.657,74
no_change,15.661,45
no_change,15.802,61
no_change,15.955,45
no_change,16.1,61
no_change,16.252,66
no_change,16.255,71
no_change,16.439,62
no_change,16.582,50
no_change,16.723,62
no_change,16.895,50
no_change,17.045,62
no_change,17.216,68
no_change,17.409,62
no_change,17.552,52
no_change,17.686,62
no_change,17.85,52
no_change,17.998,62
no_change,18.159,69
no_change,18.332,61
no_change,18.47,52
no_change,18.63,61
no_change,18.78,52
no_change,18.918,61
no_change,19.107,76
no_change,19.109,68
no_change,19.295,62
no_change,19.441,52
no_change,19.45,68
no_change,19.595,62
no_change,19.745,52
no_change,19.748,68
no_change,19.882,62
no_change,20.045,67
no_change,20.05,57
no_change,20.191,64
no_change,20.341,67
no_change,20.343,59
no_change,20.345,71
no_change,20.486,62
no_change,20.636,67
no_change,20.893,61
no_change,20.97,66
no_change,21.155,60
no_change,21.32,38
no_change,21.47,60
no_change,21.623,38
no_change,21.764,60
no_change,21.925,67
no_change,22.118,59
no_change,22.252,43
no_change,22.393,59
no_change,22.568,43
no_change,22.718,59
no_change,22.895,65
no_change,22.898,68
no_change,23.07,59
no_change,23.223,49
no_change,23.377,59
no_change,23.509,49
no_change,23.661,59
no_change,23.845,66
no_change,23.993,57
no_change,24.166,42
no_change,24.309,57
no_change,24.484,42
no_change,24.716,57
no_change,24.8,62
no_change,24.966,55
no_change,25.089,40
no_change,25.261,55
no_change,25.409,40
no_change,25.545,55
no_change,25.716,62
no_change,25.88,54
no_change,26.05,45
no_change,26.198,54
no_change,26.359,45
no_change,26.495,54
no_change,26.72,69
no_change,26.723,61
no_change,26.832,55
no_change,26.973,45
no_change,26.975,61
no_change,27.145,55
no_change,27.286,45
no_change,27.434,55
no_change,27.614,38
no_change,27.661,54
no_change,27.67,62
no_change,27.909,54
no_change,28.077,42
no_change,28.234,62
no_change,28.241,54
no_change,28.393,45
no_change,28.527,54
no_change,28.534,62
no_change,28.816,66
no_change,28.818,71
no_change,29.18,59
no_change,29.33,57
no_change,29.493,59
no_change,29.652,50
no_change,29.816,59
no_change,29.975,67
no_change,30.143,59
no_change,30.284,52
no_change,30.45,59
no_change,30.58,49
no_change,30.705,59
no_change,30.877,67
no_change,31.025,61
no_change,31.17,45
no_change,31.173,67
no_change,31.334,61
no_change,31.484,45
no_change,31.486,73
no_change,31.643,61
no_change,31.786,66
no_change,31.789,71
no_change,31.952,62
no_change,32.114,50
no_change,32.248,62
no_change,32.423,50
no_change,32.57,62
no_change,32.736,68
no_change,32.927,62
no_change,33.073,52
no_change,33.207,62
no_change,33.375,52
no_change,33.527,62
no_change,33.686,69
no_change,33.868,61
no_change,34.011,52
no_change,34.166,61
no_change,34.336,52
no_change,34.48,61
no_change,34.693,76
no_change,34.695,68
no_change,34.889,62
no_change,35.023,52
no_change,35.03,68
no_change,35.191,62
no_change,35.325,52
no_change,35.33,68
no_change,35.532,62
no_change,35.634,57
no_change,35.636,67
no_change,35.639,73
no_change,35.782,64
no_change,35.93,67
no_change,35.932,71
no_change,35.934,59
no_change,36.091,62
no_change,36.227,67
no_change,36.232,69
no_change,36.491,61
no_change,36.57,66
no_change,36.727,60
no_change,36.87,38
no_change,37.025,60
no_change,37.195,38
no_change,37.334,60
no_change,37.5,71
no_change,37.502,67
no_change,37.668,59
no_change,37.809,43
no_change,37.964,59
no_change,38.118,43
no_change,38.259,59
no_change,38.47,65
no_change,38.639,59
no_change,38.782,49
no_change,38.925,59
no_change,39.098,49
no_change,39.232,59
no_change,39.398,66
no_change,39.541,57
no_change,39.718,42
no_change,39.855,57
no_change,40.03,42
no_change,40.277,57
no_change,40.361,62
no_change,40.527,55
no_change,40.664,40
no_change,40.823,55
no_change,40.982,40
no_change,41.12,55
no_change,41.293,62
no_change,41.295,66
no_change,41.47,54
no_change,41.616,45
no_change,41.757,54
no_change,41.914,45
no_change,42.034,54
no_change,42.216,69
no_change,42.289,61
no_change,42.445,55
no_change,42.532,45
no_change,42.659,66
no_change,42.661,61
no_change,42.768,55
no_change,42.85,45
no_change,42.977,64
no_change,42.98,61
no_change,43.082,55
no_change,43.173,38
no_change,43.445,42
no_change,43.755,45
no_change,44.064,38
no_change,44.28,57
no_change,44.459,42
no_change,44.461,62
no_change,44.586,66
no_change,44.75,45
no_change,44.755,64
no_change,44.909,62
no_change,45.055,38
no_change,45.223,62
no_change,45.395,42
no_change,45.541,57
