mutation_category,mutation_name,total_onsets_ref,total_onsets_live,correct_matches,late_matches,early_matches,missing_onsets,extra_onsets,correct_notes,tempo_reference_bpm,tempo_live_bpm,tempo_difference_bpm
pitch,pitch_shift,760,759,747,5,7,1,0,469,120.00,125.00,5.00
tempo,faster_tempo,780,786,732,19,29,0,6,253,120.00,156.00,36.00
tempo,a_lot_faster_tempo,791,788,724,34,30,3,0,237,120.00,144.00,24.00
tempo,slower_tempo,789,787,727,37,23,2,0,259,120.00,156.00,36.00
tempo,a_lot_slower_tempo,777,778,738,19,20,0,1,320,120.00,94.00,26.00
progressive_tempo,accelerando,870,757,634,106,17,113,0,98,120.00,144.00,24.00
progressive_tempo,ritardando,766,902,623,16,127,0,136,89,120.00,117.00,3.00
progressive_tempo,tempo_fluctuation,893,578,307,226,45,315,0,78,120.00,144.00,24.00
timing,note_too_soon,761,759,737,15,7,2,0,385,120.00,125.00,5.00
timing,note_too_late,761,759,736,15,8,2,0,382,120.00,125.00,5.00
duration,note_held_too_long,760,759,747,5,7,1,0,470,120.00,125.00,5.00
duration,note_cut_too_soon,760,759,747,5,7,1,0,470,120.00,125.00,5.00
note,note_missing,761,759,738,13,8,2,0,404,120.00,125.00,5.00
note,note_not_expected,760,759,747,5,7,1,0,468,120.00,125.00,5.00
articulation,articulated_legato,760,758,742,8,8,2,0,454,120.00,125.00,5.00
articulation,articulated_staccato,810,810,739,33,38,0,0,254,120.00,125.00,5.00
articulation,articulated_accentuated,760,759,747,5,7,1,0,470,120.00,125.00,5.00
