mutation_category,mutation_name,total_onsets_ref,total_onsets_live,correct_matches,late_matches,early_matches,missing_onsets,extra_onsets,correct_notes,tempo_reference_bpm,tempo_live_bpm,tempo_difference_bpm
pitch,pitch_shift,1018,1030,1003,5,10,0,12,114,120.00,110.00,10.00
tempo,faster_tempo,1007,1000,979,12,9,7,0,134,120.00,134.00,14.00
tempo,a_lot_faster_tempo,1019,995,969,19,7,24,0,83,120.00,104.00,16.00
tempo,slower_tempo,1012,1024,994,7,11,0,12,150,120.00,110.00,10.00
tempo,a_lot_slower_tempo,1024,991,967,16,8,33,0,72,120.00,144.00,24.00
progressive_tempo,accelerando,1112,941,907,27,7,171,0,52,120.00,117.00,3.00
progressive_tempo,ritardando,998,1064,945,20,33,0,66,86,120.00,104.00,16.00
progressive_tempo,tempo_fluctuation,1036,981,903,53,25,55,0,86,120.00,125.00,5.00
timing,note_too_soon,1018,1029,1005,6,7,0,11,138,120.00,110.00,10.00
timing,note_too_late,1018,1029,1005,6,7,0,11,136,120.00,110.00,10.00
duration,note_held_too_long,1018,1030,1003,5,10,0,12,114,120.00,110.00,10.00
duration,note_cut_too_soon,1019,1031,1004,5,10,0,12,115,120.00,110.00,10.00
note,note_missing,1018,1029,1003,5,10,0,11,110,120.00,110.00,10.00
note,note_not_expected,1018,1030,1003,5,10,0,12,114,120.00,110.00,10.00
articulation,articulated_legato,1017,1029,1002,5,10,0,12,116,120.00,110.00,10.00
articulation,articulated_staccato,1025,1035,1008,6,11,0,10,112,120.00,110.00,10.00
articulation,articulated_accentuated,1018,1030,1003,5,10,0,12,114,120.00,110.00,10.00
