onset_type,onset_time,pitch
no_change,13.091,50
no_change,13.789,55
no_change,14.475,53
no_change,14.661,52
no_change,14.889,53
no_change,15.316,50
no_change,15.709,52
no_change,16.139,48
no_change,16.584,53
no_change,17.25,58
no_change,17.905,57
no_change,18.093,55
no_change,18.318,57
no_change,18.72,53
no_change,19.12,55
no_change,19.545,52
no_change,19.95,50
no_change,20.38,53
no_change,20.582,55
no_change,21.664,50
no_change,22.077,55
no_change,22.3,57
no_change,23.348,50
no_change,23.555,50
no_change,23.736,53
no_change,23.932,55
no_change,24.97,50
no_change,25.166,50
no_change,25.343,55
no_change,25.552,57
no_change,26.211,59
no_change,26.632,60
no_change,27.055,57
no_change,27.282,50
no_change,27.484,59
no_change,27.875,48
no_change,27.88,55
no_change,28.08,47
no_change,28.286,48
no_change,28.502,55
no_change,28.698,45
no_change,28.877,52
no_change,29.091,55
no_change,29.293,53
no_change,29.502,43
no_change,29.693,50
no_change,29.898,50
no_change,29.902,48
no_change,30.507,53
no_change,30.514,55
no_change,30.716,57
no_change,30.907,59
no_change,31.114,52
no_change,31.314,50
no_change,31.491,60
no_change,31.502,52
no_change,31.923,48
no_change,32.314,59
no_change,32.377,60
no_change,32.47,59
no_change,32.675,47
no_change,32.893,56
no_change,33.095,57
no_change,33.098,45
no_change,33.498,48
no_change,33.693,52
no_change,33.866,52
no_change,34.32,52
no_change,34.732,45
no_change,35.157,50
no_change,35.355,53
no_change,35.559,53
no_change,35.986,53
no_change,36.395,57
no_change,36.398,45
no_change,36.595,45
no_change,36.807,48
no_change,36.995,52
no_change,37.182,52
no_change,37.402,52
no_change,37.591,52
no_change,37.795,52
no_change,37.995,45
no_change,38.195,45
no_change,38.38,50
no_change,38.566,52
no_change,38.568,53
no_change,38.773,53
no_change,38.966,53
no_change,39.18,55
no_change,39.389,57
no_change,39.605,40
no_change,39.607,59
no_change,40.034,55
no_change,40.223,67
no_change,40.459,57
no_change,40.855,65
no_change,40.857,40
no_change,41.064,64
no_change,41.261,65
no_change,41.266,62
no_change,41.468,45
no_change,41.652,53
no_change,41.659,62
no_change,41.852,47
no_change,42.052,48
no_change,42.055,55
no_change,42.243,40
no_change,42.416,45
no_change,42.441,57
no_change,42.63,55
no_change,42.836,43
no_change,42.839,65
no_change,43.243,50
no_change,43.245,55
no_change,43.443,71
no_change,43.67,52
no_change,43.85,59
no_change,44.05,53
no_change,44.055,62
no_change,44.22,67
no_change,44.43,55
no_change,44.432,64
no_change,44.434,69
no_change,44.639,60
no_change,44.802,62
no_change,45.018,45
no_change,45.207,52
no_change,45.209,62
no_change,45.211,67
no_change,45.391,59
no_change,45.593,64
no_change,45.595,55
no_change,45.598,40
no_change,45.993,59
no_change,45.995,62
no_change,46.405,55
no_change,46.407,65
no_change,46.609,67
no_change,46.811,59
no_change,47.173,55
no_change,47.364,55
