mutation_category,mutation_name,total_onsets_ref,total_onsets_live,correct_matches,late_matches,early_matches,missing_onsets,extra_onsets,correct_notes,tempo_reference_bpm,tempo_live_bpm,tempo_difference_bpm
pitch,pitch_shift,565,567,506,29,30,0,2,294,120.00,144.00,24.00
tempo,faster_tempo,593,594,508,49,36,0,1,218,120.00,110.00,10.00
tempo,a_lot_faster_tempo,626,622,471,88,63,4,0,165,120.00,110.00,10.00
tempo,slower_tempo,591,589,485,51,53,2,0,166,120.00,117.00,3.00
tempo,a_lot_slower_tempo,606,607,495,52,59,0,1,145,120.00,156.00,36.00
progressive_tempo,accelerando,666,568,360,138,70,98,0,55,120.00,156.00,36.00
progressive_tempo,ritardando,579,703,333,76,170,0,124,49,120.00,134.00,14.00
progressive_tempo,tempo_fluctuation,675,799,354,106,215,0,124,68,120.00,144.00,24.00
timing,note_too_soon,570,572,497,37,36,0,2,289,120.00,144.00,24.00
timing,note_too_late,568,570,502,33,33,0,2,289,120.00,144.00,24.00
duration,note_held_too_long,565,567,506,29,30,0,2,293,120.00,144.00,24.00
duration,note_cut_too_soon,567,569,505,30,32,0,2,291,120.00,144.00,24.00
note,note_missing,565,566,554,5,6,0,1,342,120.00,144.00,24.00
note,note_not_expected,565,568,503,28,34,0,3,255,120.00,144.00,24.00
articulation,articulated_legato,565,567,506,29,30,0,2,292,120.00,144.00,24.00
articulation,articulated_staccato,579,580,506,37,36,0,1,222,120.00,144.00,24.00
articulation,articulated_accentuated,565,567,506,29,30,0,2,294,120.00,144.00,24.00
