mutation_category,mutation_name,total_onsets_ref,total_onsets_live,correct_matches,late_matches,early_matches,missing_onsets,extra_onsets,correct_notes,tempo_reference_bpm,tempo_live_bpm,tempo_difference_bpm
pitch,pitch_shift,818,819,711,53,54,0,1,334,120.00,104.00,16.00
tempo,faster_tempo,836,836,744,42,50,0,0,310,120.00,125.00,5.00
tempo,a_lot_faster_tempo,888,878,654,116,108,10,0,189,120.00,156.00,36.00
tempo,slower_tempo,842,841,709,73,59,1,0,274,120.00,144.00,24.00
tempo,a_lot_slower_tempo,859,849,651,102,96,10,0,155,120.00,94.00,26.00
progressive_tempo,accelerando,958,789,493,190,106,169,0,111,120.00,125.00,5.00
progressive_tempo,ritardando,836,1025,512,102,222,0,189,119,120.00,156.00,36.00
progressive_tempo,tempo_fluctuation,1117,924,441,296,187,193,0,105,120.00,110.00,10.00
timing,note_too_soon,828,830,686,71,71,0,2,304,120.00,104.00,16.00
timing,note_too_late,819,821,684,68,67,0,2,306,120.00,104.00,16.00
duration,note_held_too_long,818,819,711,53,54,0,1,335,120.00,104.00,16.00
duration,note_cut_too_soon,821,822,709,56,56,0,1,334,120.00,104.00,16.00
note,note_missing,817,818,712,53,52,0,1,337,120.00,104.00,16.00
note,note_not_expected,818,819,711,53,54,0,1,335,120.00,104.00,16.00
articulation,articulated_legato,818,819,710,53,55,0,1,334,120.00,104.00,16.00
articulation,articulated_staccato,867,866,689,97,80,1,0,220,120.00,104.00,16.00
articulation,articulated_accentuated,818,819,711,53,54,0,1,335,120.00,104.00,16.00
