onset_type,onset_time,pitch
no_change,1.291,64
no_change,1.502,69
no_change,1.777,69
no_change,2.264,72
no_change,2.75,72
no_change,2.757,45
no_change,2.884,64
no_change,3.57,52
no_change,3.642,55
no_change,3.827,57
no_change,4.33,52
no_change,4.848,45
no_change,5.382,64
no_change,5.584,69
no_change,5.9,69
no_change,6.384,72
no_change,6.875,72
no_change,6.877,45
no_change,6.977,64
no_change,7.702,52
no_change,7.957,57
no_change,7.959,60
no_change,8.477,52
no_change,8.995,45
no_change,9.5,64
no_change,9.745,65
no_change,10.014,64
no_change,10.53,69
no_change,11.034,50
no_change,11.393,65
no_change,11.72,64
no_change,12.002,65
no_change,12.495,64
no_change,13.023,53
no_change,13.364,62
no_change,13.695,60
no_change,13.995,59
no_change,14.505,57
no_change,15.016,52
no_change,15.777,59
no_change,16.027,64
no_change,16.536,47
no_change,17.066,40
no_change,17.866,65
no_change,17.948,64
no_change,18.107,62
no_change,18.591,64
no_change,19.132,65
no_change,19.136,43
no_change,19.948,55
no_change,20.205,65
no_change,20.207,59
no_change,20.72,55
no_change,21.232,48
no_change,21.236,60
no_change,21.239,64
no_change,22.036,62
no_change,22.109,60
no_change,22.252,59
no_change,22.766,60
no_change,23.28,40
no_change,23.282,62
no_change,24.048,52
no_change,24.314,56
no_change,24.316,62
no_change,24.805,52
no_change,25.35,45
no_change,25.352,57
no_change,26.159,60
no_change,26.407,62
no_change,26.914,64
no_change,27.411,50
no_change,27.414,67
no_change,27.505,65
no_change,27.802,64
no_change,28.152,65
no_change,28.434,62
no_change,28.936,58
no_change,29.466,52
no_change,30.225,60
no_change,30.473,40
no_change,30.475,50
no_change,30.995,56
no_change,31.548,45
no_change,32.284,52
no_change,32.541,48
no_change,33.036,52
no_change,33.58,45
no_change,34.102,64
no_change,34.336,69
no_change,34.643,69
no_change,35.132,72
no_change,35.623,72
no_change,35.63,45
no_change,35.739,64
no_change,36.457,52
no_change,36.711,57
no_change,36.714,60
no_change,37.22,52
no_change,37.72,45
no_change,38.243,64
no_change,38.473,69
no_change,38.741,69
no_change,39.223,72
no_change,39.695,72
no_change,39.7,45
no_change,39.807,64
no_change,40.507,52
no_change,40.782,57
no_change,41.298,52
no_change,41.809,45
no_change,42.334,64
no_change,42.57,65
no_change,42.845,64
no_change,43.364,69
no_change,43.884,50
no_change,43.886,67
no_change,44.289,65
no_change,44.586,64
no_change,44.87,65
no_change,45.398,64
no_change,45.909,53
no_change,46.264,62
no_change,46.623,60
no_change,46.886,59
no_change,47.407,57
no_change,47.916,52
no_change,47.918,56
no_change,48.682,59
no_change,48.941,64
no_change,49.468,47
no_change,50.005,40
no_change,50.78,65
no_change,50.859,64
no_change,51.025,62
no_change,51.52,64
no_change,52.068,43
no_change,52.893,55
no_change,53.145,65
no_change,53.152,59
no_change,53.673,55
no_change,54.216,48
no_change,54.218,64
no_change,54.22,60
no_change,55.002,62
no_change,55.086,60
no_change,55.236,59
no_change,55.732,60
no_change,56.257,40
no_change,57.034,52
no_change,57.311,56
no_change,57.823,52
no_change,58.361,45
no_change,58.364,57
no_change,59.159,60
no_change,59.416,62
no_change,59.911,64
no_change,60.43,67
no_change,60.432,50
no_change,60.543,65
no_change,60.839,64
no_change,61.184,65
no_change,61.47,62
no_change,61.991,58
no_change,62.514,52
no_change,63.264,60
no_change,63.52,40
no_change,63.523,50
no_change,64.043,56
no_change,64.575,57
no_change,64.58,45
no_change,65.336,52
no_change,65.616,48
no_change,66.13,52
no_change,66.668,45
no_change,67.493,69
no_change,67.732,68
no_change,67.734,71
no_change,68.248,66
no_change,68.759,40
no_change,68.761,68
no_change,68.864,69
no_change,68.886,64
no_change,68.9,68
no_change,69.584,64
no_change,69.591,61
no_change,69.827,59
no_change,70.375,52
no_change,70.859,40
no_change,71.593,66
no_change,71.836,68
no_change,71.839,64
no_change,72.35,61
no_change,72.836,45
no_change,72.839,66
no_change,72.939,68
no_change,72.984,62
no_change,72.991,66
no_change,73.632,61
no_change,73.893,57
no_change,74.382,40
no_change,74.866,45
no_change,75.241,61
no_change,75.559,64
no_change,75.859,69
no_change,76.364,57
no_change,76.88,64
no_change,76.882,61
no_change,76.884,40
no_change,77.645,59
no_change,77.898,59
no_change,77.9,56
no_change,78.425,52
no_change,78.918,40
no_change,79.309,62
no_change,79.657,64
no_change,79.957,68
no_change,80.452,59
no_change,80.968,62
no_change,80.973,45
no_change,81.739,64
no_change,81.741,61
no_change,81.998,61
no_change,82.0,57
no_change,82.502,40
no_change,83.002,45
no_change,83.377,64
no_change,83.714,69
no_change,83.998,73
no_change,84.493,76
no_change,85.023,40
no_change,85.025,74
no_change,85.393,71
no_change,85.732,68
no_change,86.036,64
no_change,86.393,62
no_change,86.716,59
no_change,87.034,45
no_change,87.368,52
no_change,87.702,57
no_change,87.998,61
no_change,88.493,64
no_change,88.998,62
no_change,89.0,40
no_change,89.357,59
no_change,89.684,56
no_change,89.984,52
no_change,90.311,50
no_change,90.648,47
no_change,90.957,45
no_change,91.73,57
no_change,91.991,56
no_change,91.993,59
no_change,92.491,55
no_change,93.0,62
no_change,93.002,54
no_change,93.741,52
no_change,93.748,64
no_change,94.007,50
no_change,94.011,66
no_change,94.523,69
no_change,94.989,52
no_change,94.993,62
no_change,95.73,64
no_change,95.986,66
no_change,96.491,62
no_change,96.495,40
no_change,97.034,69
no_change,97.036,45
no_change,97.832,57
no_change,98.116,52
no_change,98.618,49
no_change,99.141,45
no_change,99.959,73
no_change,99.961,69
no_change,100.205,68
no_change,100.691,66
no_change,100.693,69
no_change,101.198,68
no_change,101.2,40
no_change,101.305,69
no_change,101.345,64
no_change,101.357,68
no_change,101.995,61
no_change,102.23,59
no_change,102.232,62
no_change,102.757,52
no_change,103.273,40
no_change,103.973,66
no_change,103.975,69
no_change,104.216,68
no_change,104.22,64
no_change,104.72,64
no_change,104.723,61
no_change,105.218,45
no_change,105.307,68
no_change,105.334,62
no_change,105.38,66
no_change,105.993,61
no_change,105.995,64
no_change,106.248,57
no_change,106.764,40
no_change,107.264,45
no_change,107.641,61
no_change,107.968,64
no_change,108.257,69
no_change,108.745,57
no_change,108.748,61
no_change,109.277,40
no_change,109.28,64
no_change,109.282,61
no_change,110.057,59
no_change,110.059,62
no_change,110.314,59
no_change,110.316,56
no_change,110.843,52
no_change,111.345,40
no_change,111.734,62
no_change,112.059,64
no_change,112.348,68
no_change,112.848,59
no_change,113.366,66
no_change,113.368,45
no_change,114.118,64
no_change,114.12,61
no_change,114.377,57
no_change,114.882,40
no_change,115.405,45
no_change,115.793,64
no_change,116.139,69
no_change,116.432,73
no_change,116.925,76
no_change,117.477,40
no_change,117.484,74
no_change,117.859,71
no_change,118.17,68
no_change,118.484,64
no_change,118.836,62
no_change,119.157,59
no_change,119.47,45
no_change,119.805,52
no_change,120.13,57
no_change,120.423,61
no_change,120.882,64
no_change,121.423,40
no_change,121.425,62
no_change,121.782,59
no_change,122.114,56
no_change,122.416,52
no_change,122.777,50
no_change,123.102,47
no_change,123.409,45
no_change,124.182,57
no_change,124.445,56
no_change,124.943,55
no_change,124.945,61
no_change,125.455,54
no_change,126.193,52
no_change,126.2,64
no_change,126.464,50
no_change,126.975,69
no_change,127.509,52
no_change,127.516,62
no_change,128.245,64
no_change,128.495,66
no_change,128.991,40
no_change,128.993,62
no_change,129.518,45
no_change,130.286,57
no_change,130.566,52
no_change,131.048,49
no_change,131.582,45
no_change,132.152,64
no_change,132.384,69
no_change,132.666,69
no_change,133.17,72
no_change,133.675,72
no_change,133.68,45
no_change,133.745,64
no_change,134.523,52
no_change,134.782,57
no_change,134.784,60
no_change,135.318,52
no_change,135.843,45
no_change,136.368,64
no_change,136.593,69
no_change,136.9,69
no_change,137.393,72
no_change,137.891,72
no_change,137.898,45
no_change,137.957,64
no_change,138.714,52
no_change,138.989,57
no_change,138.991,60
no_change,139.527,52
no_change,140.039,45
no_change,140.534,64
no_change,140.784,65
no_change,141.075,64
no_change,141.584,69
no_change,142.145,50
no_change,142.148,67
no_change,142.53,65
no_change,142.845,64
no_change,143.118,65
no_change,143.616,64
no_change,144.145,53
no_change,144.498,62
no_change,144.827,60
no_change,145.1,59
no_change,145.614,57
no_change,146.107,56
no_change,146.109,52
no_change,146.873,59
no_change,147.155,64
no_change,147.661,47
no_change,148.18,40
no_change,148.957,65
no_change,149.027,64
no_change,149.184,62
no_change,149.673,64
no_change,150.214,65
no_change,150.216,43
no_change,151.009,55
no_change,151.282,59
no_change,151.811,55
no_change,152.348,48
no_change,153.114,62
no_change,153.182,60
no_change,153.336,59
no_change,153.809,60
no_change,154.33,40
no_change,154.336,62
no_change,155.109,52
no_change,155.393,56
no_change,155.907,52
no_change,156.42,60
no_change,156.423,45
no_change,157.195,60
no_change,157.468,62
no_change,157.961,64
no_change,158.452,50
no_change,158.455,67
no_change,158.595,65
no_change,158.877,64
no_change,159.218,65
no_change,159.502,62
no_change,160.03,58
no_change,160.539,52
no_change,161.282,60
no_change,161.543,40
no_change,161.545,50
no_change,162.095,56
no_change,162.639,57
no_change,162.648,45
no_change,163.439,52
no_change,163.718,48
no_change,164.225,52
no_change,164.811,45
