mutation_category,mutation_name,total_onsets_ref,total_onsets_live,correct_matches,late_matches,early_matches,missing_onsets,extra_onsets,correct_notes,tempo_reference_bpm,tempo_live_bpm,tempo_difference_bpm
pitch,pitch_shift,366,366,366,0,0,0,0,332,120.00,117.00,3.00
tempo,faster_tempo,376,375,213,109,53,1,0,160,120.00,144.00,24.00
tempo,a_lot_faster_tempo,411,409,141,157,111,2,0,122,120.00,117.00,3.00
tempo,slower_tempo,376,375,211,101,63,1,0,153,120.00,94.00,26.00
tempo,a_lot_slower_tempo,377,378,190,93,94,0,1,91,120.00,118.00,2.00
progressive_tempo,accelerando,441,368,137,152,79,73,0,64,120.00,125.00,5.00
progressive_tempo,ritardando,376,471,125,65,186,0,95,58,120.00,117.00,3.00
progressive_tempo,tempo_fluctuation,455,590,104,107,244,0,135,73,120.00,125.00,5.00
timing,note_too_soon,366,366,366,0,0,0,0,330,120.00,117.00,3.00
timing,note_too_late,369,370,186,60,123,0,1,116,120.00,117.00,3.00
duration,note_held_too_long,366,366,366,0,0,0,0,331,120.00,117.00,3.00
duration,note_cut_too_soon,366,366,366,0,0,0,0,331,120.00,117.00,3.00
note,note_missing,366,365,222,98,45,1,0,149,120.00,117.00,3.00
note,note_not_expected,368,368,363,3,2,0,0,328,120.00,117.00,3.00
articulation,articulated_legato,366,366,366,0,0,0,0,331,120.00,117.00,3.00
articulation,articulated_staccato,405,405,312,42,51,0,0,219,120.00,117.00,3.00
articulation,articulated_accentuated,366,366,366,0,0,0,0,331,120.00,117.00,3.00
