onset_type,onset_time,pitch
no_change,15.57,76
no_change,18.266,74
no_change,20.109,65
no_change,21.834,69
no_change,23.755,71
early,24.345,72
no_change,28.1,76
no_change,31.918,74
no_change,33.455,65
no_change,35.084,69
no_change,36.734,71
no_change,38.836,72
no_change,41.259,71
no_change,45.166,69
no_change,49.111,53
no_change,49.202,60
no_change,49.295,64
no_change,50.616,53
no_change,50.691,60
no_change,50.775,64
no_change,52.25,53
no_change,52.359,60
no_change,52.461,64
no_change,53.384,62
no_change,53.652,60
no_change,53.932,59
no_change,54.173,60
no_change,54.468,62
no_change,55.036,53
no_change,55.105,59
no_change,55.184,64
no_change,56.52,53
no_change,56.6,59
no_change,56.686,64
no_change,58.18,53
no_change,58.257,59
no_change,58.355,64
no_change,59.239,62
no_change,59.505,60
no_change,59.805,59
no_change,60.091,60
no_change,60.423,62
no_change,60.95,41
no_change,61.043,52
no_change,61.114,57
no_change,61.195,59
no_change,62.648,41
no_change,62.741,52
no_change,62.789,57
no_change,62.877,59
no_change,64.57,57
no_change,64.582,41
no_change,64.584,59
no_change,64.586,52
no_change,65.361,57
no_change,65.725,55
no_change,66.105,53
no_change,66.475,55
no_change,66.898,57
no_change,67.673,40
no_change,67.748,52
no_change,67.841,56
no_change,67.943,59
no_change,69.368,52
no_change,69.375,56
no_change,69.38,40
no_change,70.777,52
no_change,70.78,40
no_change,72.407,40
no_change,72.598,52
no_change,74.155,53
no_change,74.273,60
no_change,74.427,64
no_change,75.65,53
no_change,75.736,60
no_change,75.868,64
no_change,77.298,53
no_change,77.38,60
no_change,77.557,64
no_change,78.293,62
no_change,78.557,60
no_change,78.88,59
no_change,79.148,60
no_change,79.441,62
no_change,79.955,53
no_change,80.045,59
no_change,80.148,64
no_change,81.4,53
no_change,81.477,59
no_change,81.582,64
no_change,82.802,53
no_change,82.923,59
no_change,83.011,64
no_change,83.53,65
no_change,83.843,62
no_change,84.114,60
no_change,84.382,59
no_change,84.666,60
no_change,84.95,62
no_change,85.5,41
no_change,85.605,52
no_change,85.639,57
no_change,85.73,59
no_change,86.991,41
no_change,87.073,52
no_change,87.148,57
no_change,87.252,59
no_change,88.466,41
no_change,88.575,52
no_change,88.625,57
no_change,88.75,59
no_change,89.107,60
no_change,89.468,57
no_change,89.795,55
no_change,90.168,53
no_change,90.564,55
no_change,90.982,57
no_change,91.823,40
no_change,91.923,52
no_change,92.057,56
no_change,93.55,71
no_change,95.205,71
no_change,97.434,71
no_change,100.536,53
no_change,101.145,62
no_change,101.568,71
no_change,101.973,72
no_change,102.405,71
no_change,102.416,59
no_change,102.873,69
no_change,102.877,57
no_change,103.277,68
no_change,103.3,56
no_change,103.627,69
no_change,103.634,57
no_change,104.091,59
no_change,104.105,71
no_change,104.109,40
no_change,105.332,64
no_change,106.786,64
no_change,106.789,68
no_change,108.28,64
no_change,108.282,68
no_change,108.857,52
no_change,109.418,53
no_change,109.95,62
no_change,110.418,69
no_change,110.873,71
no_change,111.327,55
no_change,111.33,67
no_change,111.764,65
no_change,111.766,53
no_change,112.195,64
no_change,112.198,52
no_change,112.705,62
no_change,112.711,50
no_change,113.261,64
no_change,113.27,40
no_change,114.509,68
no_change,114.514,59
no_change,115.718,59
no_change,115.723,68
no_change,117.327,59
no_change,117.33,68
no_change,118.586,40
no_change,118.884,59
no_change,119.168,64
no_change,119.42,53
no_change,119.627,59
no_change,119.834,64
no_change,120.03,59
no_change,120.198,59
no_change,120.352,64
no_change,120.527,60
no_change,120.7,59
no_change,120.843,64
no_change,121.034,59
no_change,121.198,59
no_change,121.355,64
no_change,121.539,57
no_change,121.695,59
no_change,121.857,64
no_change,122.066,56
no_change,122.25,59
no_change,122.439,64
no_change,122.664,57
no_change,122.884,59
no_change,123.109,64
no_change,123.423,40
no_change,123.714,59
no_change,123.943,64
no_change,124.152,59
no_change,124.343,59
no_change,124.539,64
no_change,124.755,59
no_change,124.927,59
no_change,125.12,64
no_change,125.314,59
no_change,125.505,59
no_change,125.67,64
no_change,125.925,40
no_change,126.143,59
no_change,126.352,64
no_change,126.57,59
no_change,126.766,59
no_change,126.991,64
no_change,127.218,59
no_change,127.464,59
no_change,127.7,64
no_change,127.968,59
no_change,128.205,59
no_change,128.534,64
no_change,128.87,40
no_change,129.148,53
no_change,129.336,57
no_change,129.577,53
no_change,129.777,57
no_change,129.968,59
no_change,130.134,57
no_change,130.311,59
no_change,130.475,64
no_change,130.655,59
no_change,130.839,59
no_change,130.984,64
no_change,131.175,55
no_change,131.489,59
no_change,131.677,64
no_change,131.85,53
no_change,132.034,57
no_change,132.205,59
no_change,132.395,52
no_change,132.582,57
no_change,132.773,59
no_change,132.986,50
no_change,133.205,57
no_change,133.434,59
no_change,133.72,40
no_change,134.068,56
no_change,134.314,59
no_change,134.534,52
no_change,134.73,56
no_change,134.959,59
no_change,135.177,52
no_change,135.402,56
no_change,135.636,59
no_change,135.875,52
no_change,136.139,56
no_change,136.395,59
no_change,136.741,40
no_change,137.339,64
no_change,138.727,64
no_change,140.407,64
no_change,144.752,40
no_change,145.091,68
no_change,145.107,68
