mutation_category,mutation_name,total_onsets_ref,total_onsets_live,correct_matches,late_matches,early_matches,missing_onsets,extra_onsets,correct_notes,tempo_reference_bpm,tempo_live_bpm,tempo_difference_bpm
pitch,pitch_shift,915,918,734,89,92,0,3,407,120.00,170.00,50.00
tempo,faster_tempo,929,932,736,98,95,0,3,393,120.00,110.00,10.00
tempo,a_lot_faster_tempo,974,976,639,175,160,0,2,282,120.00,134.00,14.00
tempo,slower_tempo,949,946,619,166,161,3,0,188,120.00,144.00,24.00
tempo,a_lot_slower_tempo,954,953,775,86,92,1,0,329,120.00,89.00,31.00
progressive_tempo,accelerando,1093,918,457,317,144,175,0,112,120.00,144.00,24.00
progressive_tempo,ritardando,920,1153,423,93,404,0,233,114,120.00,117.00,3.00
progressive_tempo,tempo_fluctuation,1252,1216,332,317,567,36,0,116,120.00,170.00,50.00
timing,note_too_soon,918,921,731,91,96,0,3,403,120.00,170.00,50.00
timing,note_too_late,918,921,731,93,94,0,3,403,120.00,170.00,50.00
duration,note_held_too_long,915,918,734,89,92,0,3,407,120.00,170.00,50.00
duration,note_cut_too_soon,916,919,733,90,93,0,3,406,120.00,170.00,50.00
note,note_missing,919,921,717,99,103,0,2,341,120.00,170.00,50.00
note,note_not_expected,915,919,721,94,100,0,4,398,120.00,170.00,50.00
articulation,articulated_legato,915,917,743,86,86,0,2,410,120.00,170.00,50.00
articulation,articulated_staccato,947,950,712,120,115,0,3,288,120.00,170.00,50.00
articulation,articulated_accentuated,915,918,734,89,92,0,3,407,120.00,170.00,50.00
