mutation_category,mutation_name,total_onsets_ref,total_onsets_live,correct_matches,late_matches,early_matches,missing_onsets,extra_onsets,correct_notes,tempo_reference_bpm,tempo_live_bpm,tempo_difference_bpm
pitch,pitch_shift,259,259,259,0,0,0,0,206,120.00,134.00,14.00
tempo,faster_tempo,269,269,256,9,4,0,0,155,120.00,110.00,10.00
tempo,a_lot_faster_tempo,280,280,249,25,6,0,0,142,120.00,144.00,24.00
tempo,slower_tempo,263,263,258,2,3,0,0,130,120.00,208.00,88.00
tempo,a_lot_slower_tempo,274,272,233,11,28,2,0,99,120.00,134.00,14.00
progressive_tempo,accelerando,300,262,186,59,17,38,0,32,120.00,110.00,10.00
progressive_tempo,ritardando,265,318,162,18,85,0,53,37,120.00,170.00,50.00
progressive_tempo,tempo_fluctuation,298,307,157,60,81,0,9,43,120.00,156.00,36.00
timing,note_too_soon,262,261,232,16,13,1,0,92,120.00,134.00,14.00
timing,note_too_late,262,261,230,16,15,1,0,92,120.00,134.00,14.00
duration,note_held_too_long,259,259,259,0,0,0,0,206,120.00,134.00,14.00
duration,note_cut_too_soon,260,260,259,0,1,0,0,207,120.00,134.00,14.00
note,note_missing,259,258,235,13,10,1,0,127,120.00,134.00,14.00
note,note_not_expected,259,259,259,0,0,0,0,206,120.00,134.00,14.00
articulation,articulated_legato,264,261,225,19,17,3,0,64,120.00,134.00,14.00
articulation,articulated_staccato,263,263,258,3,2,0,0,194,120.00,134.00,14.00
articulation,articulated_accentuated,259,259,259,0,0,0,0,207,120.00,134.00,14.00
