onset_type,onset_time,pitch
no_change,1.923,67
no_change,2.059,70
no_change,2.18,67
no_change,2.305,62
no_change,2.423,67
no_change,2.536,62
no_change,2.675,58
no_change,2.789,62
no_change,2.918,58
no_change,3.036,55
no_change,3.159,58
no_change,3.28,55
no_change,3.407,50
no_change,3.539,55
no_change,3.643,50
no_change,3.786,46
no_change,3.893,50
no_change,3.998,46
no_change,4.123,43
no_change,4.232,46
no_change,4.352,50
no_change,4.48,55
no_change,4.605,58
no_change,4.714,62
no_change,4.845,67
no_change,4.975,62
no_change,5.102,60
no_change,5.223,58
no_change,5.336,57
no_change,5.452,55
no_change,5.58,54
no_change,5.689,50
no_change,5.807,54
no_change,5.916,57
no_change,6.061,62
no_change,6.136,66
no_change,6.264,69
no_change,6.393,63
no_change,6.511,62
no_change,6.643,60
no_change,6.761,58
no_change,6.884,57
no_change,7.005,55
no_change,7.12,50
no_change,7.241,55
no_change,7.357,58
no_change,7.482,62
no_change,7.591,67
no_change,7.72,70
no_change,7.85,67
no_change,7.957,63
no_change,8.073,60
no_change,8.2,63
no_change,8.316,67
no_change,8.466,69
no_change,8.586,65
no_change,8.714,62
no_change,8.823,58
no_change,8.945,62
no_change,9.052,65
no_change,9.207,67
no_change,9.318,63
no_change,9.455,60
no_change,9.582,57
no_change,9.707,60
no_change,9.814,63
no_change,9.973,50
no_change,10.205,67
no_change,10.345,66
no_change,10.457,67
no_change,10.534,69
no_change,10.691,60
no_change,10.802,55
no_change,10.959,60
no_change,11.095,58
no_change,11.214,60
no_change,11.339,62
no_change,11.441,53
no_change,11.591,48
no_change,11.698,65
no_change,11.845,64
no_change,11.957,65
no_change,12.05,67
no_change,12.198,58
no_change,12.307,53
no_change,12.459,58
no_change,12.595,57
no_change,12.72,58
no_change,12.848,60
no_change,12.952,51
no_change,13.093,46
no_change,13.232,63
no_change,13.355,62
no_change,13.475,63
no_change,13.598,65
no_change,13.711,56
no_change,13.845,51
no_change,13.961,46
no_change,14.082,51
no_change,14.216,55
no_change,14.343,51
no_change,14.445,55
no_change,14.586,60
no_change,14.711,55
no_change,14.809,60
no_change,14.945,63
no_change,15.082,60
no_change,15.184,63
no_change,15.33,53
no_change,15.448,48
no_change,15.586,53
no_change,15.707,57
no_change,15.832,53
no_change,15.957,57
no_change,16.084,62
no_change,16.2,57
no_change,16.334,62
no_change,16.466,65
no_change,16.589,62
no_change,16.698,65
no_change,16.845,55
no_change,16.957,50
no_change,17.093,55
no_change,17.22,58
no_change,17.327,55
no_change,17.445,58
no_change,17.58,63
no_change,17.702,58
no_change,17.836,63
no_change,17.961,67
no_change,18.082,63
no_change,18.2,67
no_change,18.33,57
no_change,18.461,53
no_change,18.577,57
no_change,18.711,60
no_change,18.825,57
no_change,18.948,60
no_change,19.08,65
no_change,19.202,60
no_change,19.32,65
no_change,19.45,69
no_change,19.557,65
no_change,19.677,69
no_change,19.809,46
no_change,19.909,60
no_change,20.057,62
no_change,20.18,70
no_change,20.293,69
no_change,20.416,70
no_change,20.539,60
no_change,20.664,62
no_change,20.795,63
no_change,20.909,70
no_change,21.034,69
no_change,21.143,70
no_change,21.27,46
no_change,21.273,62
no_change,21.395,63
no_change,21.536,65
no_change,21.666,70
no_change,21.78,69
no_change,21.898,70
no_change,22.025,46
no_change,22.027,63
no_change,22.15,65
no_change,22.291,67
no_change,22.416,70
no_change,22.523,69
no_change,22.632,70
no_change,22.752,57
no_change,22.891,60
no_change,23.034,63
no_change,23.155,67
no_change,23.268,65
no_change,23.395,63
no_change,23.511,62
no_change,23.648,58
no_change,23.78,63
no_change,23.898,58
no_change,24.009,65
no_change,24.139,56
no_change,24.248,55
no_change,24.359,57
no_change,24.484,58
no_change,24.605,50
no_change,24.734,48
no_change,24.852,57
no_change,24.998,46
no_change,25.114,50
no_change,25.243,48
no_change,25.361,46
no_change,25.489,45
no_change,25.591,43
no_change,25.711,45
no_change,25.841,55
no_change,25.957,54
no_change,26.08,52
no_change,26.195,50
no_change,26.33,60
no_change,26.455,58
no_change,26.566,57
no_change,26.691,55
no_change,26.807,65
no_change,26.927,64
no_change,27.043,62
no_change,27.168,61
no_change,27.327,70
no_change,27.441,69
no_change,27.57,67
no_change,27.689,65
no_change,27.798,64
no_change,27.936,65
no_change,28.061,62
no_change,28.193,67
no_change,28.325,62
no_change,28.457,69
no_change,28.55,60
no_change,28.695,58
no_change,28.809,69
no_change,28.934,67
no_change,29.057,65
no_change,29.189,64
no_change,29.293,62
no_change,29.418,64
no_change,29.548,60
no_change,29.673,65
no_change,29.807,60
no_change,29.939,67
no_change,30.036,58
no_change,30.164,57
no_change,30.293,67
no_change,30.42,65
no_change,30.525,64
no_change,30.655,62
no_change,30.759,61
no_change,30.898,62
no_change,31.018,58
no_change,31.145,64
no_change,31.264,58
no_change,31.389,65
missing,31.643,55
no_change,31.752,65
no_change,31.895,64
no_change,31.995,62
no_change,32.125,61
no_change,32.227,58
no_change,32.368,61
no_change,32.5,57
no_change,32.632,62
no_change,32.764,57
no_change,32.873,64
no_change,33.0,55
no_change,33.116,53
no_change,33.252,62
no_change,33.355,58
no_change,33.484,55
no_change,33.614,52
no_change,33.736,60
no_change,33.857,50
no_change,33.952,58
no_change,34.07,55
no_change,34.198,52
no_change,34.323,48
no_change,34.439,57
no_change,34.564,46
no_change,34.677,55
no_change,34.777,52
no_change,34.891,49
no_change,35.014,45
no_change,35.139,53
no_change,35.259,43
no_change,35.398,53
no_change,35.511,52
no_change,35.632,50
no_change,35.745,49
no_change,35.866,47
no_change,35.968,45
no_change,36.093,50
no_change,36.214,49
no_change,36.325,52
no_change,36.457,50
no_change,36.557,53
no_change,36.705,45
no_change,36.82,52
no_change,36.943,50
no_change,37.061,53
no_change,37.191,52
no_change,37.314,55
no_change,37.439,45
no_change,37.55,53
no_change,37.675,52
no_change,37.782,55
no_change,37.916,53
no_change,38.025,57
no_change,38.141,46
no_change,38.27,55
no_change,38.38,54
no_change,38.509,57
no_change,38.634,55
no_change,38.739,58
no_change,38.857,49
no_change,38.964,58
no_change,39.105,57
no_change,39.225,55
no_change,39.345,53
no_change,39.452,52
no_change,39.568,53
no_change,39.684,50
no_change,39.793,53
no_change,39.898,57
no_change,40.039,62
no_change,40.136,65
no_change,40.257,69
no_change,40.389,62
no_change,40.52,57
no_change,40.877,55
no_change,40.88,45
no_change,41.252,50
no_change,41.35,54
no_change,41.47,62
no_change,42.514,67
no_change,42.789,70
no_change,42.925,67
no_change,43.05,62
no_change,43.175,67
no_change,43.286,62
no_change,43.425,58
no_change,43.555,62
no_change,43.68,58
no_change,43.805,55
no_change,43.927,58
no_change,44.041,55
no_change,44.18,50
no_change,44.311,55
no_change,44.436,50
no_change,44.557,46
no_change,44.675,50
no_change,44.809,46
no_change,44.925,43
no_change,45.057,46
no_change,45.182,50
no_change,45.295,55
no_change,45.425,58
no_change,45.525,62
no_change,45.677,67
no_change,45.791,62
no_change,45.92,60
no_change,46.045,58
no_change,46.17,57
no_change,46.3,55
no_change,46.427,54
no_change,46.557,50
no_change,46.67,54
no_change,46.777,57
no_change,46.909,62
no_change,47.016,66
no_change,47.148,69
no_change,47.273,63
no_change,47.402,62
no_change,47.516,60
no_change,47.659,58
no_change,47.777,57
no_change,47.905,55
no_change,48.027,50
no_change,48.148,55
no_change,48.264,58
no_change,48.402,62
no_change,48.516,67
no_change,48.645,70
no_change,48.768,67
no_change,48.905,63
no_change,49.016,60
no_change,49.157,63
no_change,49.27,67
no_change,49.445,69
no_change,49.557,65
no_change,49.691,62
no_change,49.809,58
no_change,49.943,62
no_change,50.045,65
no_change,50.2,67
no_change,50.314,63
no_change,50.455,60
no_change,50.582,57
no_change,50.711,60
no_change,50.832,63
no_change,51.009,50
no_change,51.264,67
no_change,51.414,66
no_change,51.53,67
no_change,51.657,69
no_change,51.782,60
no_change,51.902,55
no_change,52.057,60
no_change,52.186,58
no_change,52.318,60
no_change,52.443,62
no_change,52.552,53
no_change,52.689,48
no_change,52.825,65
no_change,52.964,64
no_change,53.08,65
no_change,53.182,67
no_change,53.32,58
no_change,53.436,53
no_change,53.584,58
no_change,53.718,57
no_change,53.859,58
no_change,53.993,60
no_change,54.111,51
no_change,54.245,46
no_change,54.364,63
no_change,54.502,62
no_change,54.616,63
no_change,54.752,65
no_change,54.866,56
no_change,55.014,51
no_change,55.136,46
no_change,55.257,51
no_change,55.407,55
no_change,55.539,51
no_change,55.632,55
no_change,55.77,60
no_change,55.907,55
no_change,56.02,60
no_change,56.161,63
no_change,56.282,60
no_change,56.398,63
no_change,56.52,53
no_change,56.641,48
no_change,56.77,53
no_change,56.918,57
no_change,57.036,53
no_change,57.161,57
no_change,57.284,62
no_change,57.42,57
no_change,57.559,62
no_change,57.695,65
no_change,57.802,62
no_change,57.918,65
no_change,58.066,55
no_change,58.164,50
no_change,58.316,55
no_change,58.439,58
no_change,58.568,55
no_change,58.684,58
no_change,58.816,63
no_change,58.948,58
no_change,59.075,63
no_change,59.202,67
no_change,59.33,63
no_change,59.439,67
no_change,59.582,57
no_change,59.689,53
no_change,59.834,57
no_change,59.966,60
no_change,60.082,57
no_change,60.2,60
no_change,60.334,65
no_change,60.452,60
no_change,60.58,65
no_change,60.711,69
no_change,60.832,65
no_change,60.943,69
no_change,61.084,58
no_change,61.086,46
no_change,61.198,60
no_change,61.305,62
no_change,61.452,70
no_change,61.568,69
no_change,61.686,70
no_change,61.823,46
no_change,61.825,60
no_change,61.964,62
no_change,62.089,63
no_change,62.209,70
no_change,62.336,69
no_change,62.457,70
no_change,62.584,46
no_change,62.591,62
no_change,62.705,63
no_change,62.852,65
no_change,62.975,70
no_change,63.1,69
no_change,63.223,70
no_change,63.357,46
no_change,63.359,63
no_change,63.5,65
no_change,63.63,67
no_change,63.764,70
no_change,63.895,69
no_change,64.045,70
no_change,64.264,57
no_change,64.464,60
no_change,64.627,63
no_change,64.759,67
no_change,64.884,65
no_change,65.007,63
no_change,65.134,62
no_change,65.273,58
no_change,65.4,63
no_change,65.53,58
no_change,65.643,65
no_change,65.766,56
no_change,65.884,55
no_change,66.0,57
no_change,66.139,58
no_change,66.255,50
no_change,66.38,48
no_change,66.505,57
no_change,66.645,46
no_change,66.782,50
no_change,66.9,48
no_change,67.023,46
no_change,67.159,45
no_change,67.261,43
no_change,67.375,45
no_change,67.511,55
no_change,67.641,54
no_change,67.748,52
no_change,67.877,50
no_change,68.016,60
no_change,68.136,58
no_change,68.245,57
no_change,68.391,55
no_change,68.52,65
no_change,68.648,64
no_change,68.768,62
no_change,68.925,61
no_change,69.191,70
no_change,69.32,69
no_change,69.45,67
no_change,69.57,65
no_change,69.684,64
no_change,69.836,65
no_change,69.968,62
no_change,70.107,67
no_change,70.234,62
no_change,70.375,69
no_change,70.489,60
no_change,70.62,58
no_change,70.743,69
no_change,70.877,67
no_change,71.005,65
no_change,71.13,64
no_change,71.243,62
no_change,71.384,64
no_change,71.509,60
no_change,71.645,65
no_change,71.78,60
no_change,71.911,67
no_change,72.02,58
no_change,72.152,57
no_change,72.277,67
no_change,72.414,65
no_change,72.523,64
no_change,72.668,62
no_change,72.775,61
no_change,72.911,62
no_change,73.045,58
no_change,73.177,64
no_change,73.284,58
no_change,73.416,65
no_change,73.541,57
no_change,73.68,55
no_change,73.786,65
no_change,73.932,64
no_change,74.043,62
no_change,74.173,61
no_change,74.284,58
no_change,74.434,61
no_change,74.577,57
no_change,74.691,62
no_change,74.816,57
no_change,74.943,64
no_change,75.068,55
no_change,75.189,53
no_change,75.309,62
no_change,75.425,58
no_change,75.557,55
no_change,75.67,52
no_change,75.802,60
no_change,75.93,50
no_change,76.034,58
no_change,76.164,55
no_change,76.257,52
no_change,76.373,48
no_change,76.5,57
no_change,76.634,46
no_change,76.752,55
no_change,76.866,52
no_change,76.984,49
no_change,77.102,45
no_change,77.234,53
no_change,77.364,43
no_change,77.486,53
no_change,77.607,52
no_change,77.736,50
no_change,77.852,49
no_change,77.957,47
no_change,78.095,45
no_change,78.22,50
no_change,78.364,49
no_change,78.468,52
no_change,78.609,50
no_change,78.711,53
no_change,78.85,45
no_change,78.955,52
no_change,79.095,50
no_change,79.211,53
no_change,79.355,52
no_change,79.457,55
no_change,79.589,45
no_change,79.691,53
no_change,79.825,52
no_change,79.934,55
no_change,80.07,53
no_change,80.184,57
no_change,80.305,46
no_change,80.427,55
no_change,80.552,54
no_change,80.67,57
no_change,80.795,55
no_change,80.909,58
no_change,81.034,49
no_change,81.152,58
no_change,81.273,57
no_change,81.402,55
no_change,81.516,53
no_change,81.625,52
no_change,81.739,53
no_change,81.857,50
no_change,81.977,53
no_change,82.07,57
no_change,82.22,62
no_change,82.33,65
no_change,82.45,69
no_change,82.598,62
no_change,82.734,57
no_change,83.105,45
no_change,83.107,55
no_change,83.109,61
no_change,83.509,50
no_change,83.607,54
no_change,83.739,62
no_change,84.855,50
no_change,84.98,45
no_change,85.114,50
no_change,85.241,54
no_change,85.373,50
no_change,85.473,54
no_change,85.625,57
no_change,85.759,54
no_change,85.882,57
no_change,86.02,62
no_change,86.141,57
no_change,86.255,62
no_change,86.402,66
no_change,86.536,62
no_change,86.648,66
no_change,86.784,69
no_change,86.923,66
no_change,87.023,69
no_change,87.225,74
no_change,87.348,69
no_change,87.466,66
no_change,87.593,62
no_change,87.725,57
no_change,87.836,54
no_change,87.959,50
no_change,88.086,52
no_change,88.211,54
no_change,88.343,55
no_change,88.468,57
no_change,88.586,58
no_change,88.745,60
no_change,89.039,63
no_change,89.175,60
no_change,89.3,57
no_change,89.436,60
no_change,89.541,57
no_change,89.682,54
no_change,89.791,50
no_change,89.918,54
no_change,90.045,57
no_change,90.184,62
no_change,90.316,60
no_change,90.445,58
no_change,90.586,62
no_change,90.698,58
no_change,90.825,55
