mutation_category,mutation_name,total_onsets_ref,total_onsets_live,correct_matches,late_matches,early_matches,missing_onsets,extra_onsets,correct_notes,tempo_reference_bpm,tempo_live_bpm,tempo_difference_bpm
pitch,pitch_shift,1124,1119,1109,6,4,5,0,668,120.00,156.00,36.00
tempo,faster_tempo,1146,1132,1109,15,8,14,0,178,120.00,144.00,24.00
tempo,a_lot_faster_tempo,1161,1152,1142,8,2,9,0,480,120.00,144.00,24.00
tempo,slower_tempo,1144,1138,1120,12,6,6,0,375,120.00,125.00,5.00
tempo,a_lot_slower_tempo,1179,1178,1144,18,16,1,0,215,120.00,117.00,3.00
progressive_tempo,accelerando,1277,1087,1002,75,10,190,0,106,120.00,134.00,14.00
progressive_tempo,ritardando,1155,1298,1113,15,27,0,143,146,120.00,144.00,24.00
progressive_tempo,tempo_fluctuation,1277,1271,1202,50,19,6,0,165,120.00,134.00,14.00
timing,note_too_soon,1125,1119,1102,12,5,6,0,209,120.00,156.00,36.00
timing,note_too_late,1125,1119,1102,12,5,6,0,208,120.00,156.00,36.00
duration,note_held_too_long,1124,1119,1109,6,4,5,0,667,120.00,156.00,36.00
duration,note_cut_too_soon,1124,1119,1109,6,4,5,0,668,120.00,156.00,36.00
note,note_missing,1124,1118,1101,12,5,6,0,369,120.00,156.00,36.00
note,note_not_expected,1124,1119,1109,6,4,5,0,667,120.00,156.00,36.00
articulation,articulated_legato,1124,1117,1090,17,10,7,0,343,120.00,156.00,36.00
articulation,articulated_staccato,1142,1137,1123,9,5,5,0,662,120.00,156.00,36.00
articulation,articulated_accentuated,1124,1119,1109,6,4,5,0,668,120.00,156.00,36.00
