onset_type,onset_time,pitch
no_change,0.841,55
no_change,1.527,70
no_change,1.925,74
no_change,2.227,70
no_change,2.543,43
articulation,2.566,67
no_change,2.92,62
no_change,3.243,63
no_change,3.514,58
no_change,3.882,45
no_change,4.314,69
no_change,4.634,72
no_change,4.916,69
no_change,5.239,60
no_change,5.241,45
no_change,5.566,62
no_change,5.864,63
no_change,6.145,60
no_change,6.409,46
no_change,6.498,55
no_change,6.584,62
no_change,7.066,67
no_change,7.439,70
no_change,7.72,67
no_change,8.064,46
no_change,8.066,50
no_change,8.452,58
no_change,8.805,55
no_change,9.175,50
no_change,9.711,48
no_change,9.714,63
no_change,10.314,54
no_change,10.691,50
no_change,10.693,46
no_change,11.048,62
no_change,11.384,45
no_change,11.695,60
no_change,11.98,38
no_change,11.993,58
no_change,11.995,55
no_change,12.27,54
no_change,12.466,55
no_change,12.477,43
no_change,12.641,58
no_change,13.125,55
no_change,13.477,58
no_change,13.786,55
no_change,14.091,51
no_change,14.391,48
no_change,14.618,45
no_change,14.78,66
no_change,15.002,67
no_change,15.143,54
no_change,15.261,69
no_change,15.389,46
no_change,15.409,69
no_change,15.52,67
no_change,15.62,66
no_change,15.725,55
no_change,15.877,67
no_change,16.016,58
no_change,16.316,55
no_change,16.625,51
no_change,16.925,48
no_change,17.252,45
no_change,17.255,66
no_change,17.466,67
no_change,17.609,54
no_change,17.741,69
no_change,17.88,46
no_change,17.882,69
no_change,17.95,67
no_change,18.075,66
no_change,18.161,55
no_change,18.316,67
no_change,18.468,58
no_change,18.752,55
no_change,19.059,52
no_change,19.35,55
no_change,19.502,45
no_change,19.655,64
no_change,19.9,65
no_change,20.036,49
no_change,20.175,67
no_change,20.214,67
no_change,20.277,38
no_change,20.445,65
no_change,20.55,64
no_change,20.691,50
no_change,20.836,62
no_change,21.027,53
no_change,21.295,50
no_change,21.611,46
no_change,21.914,50
no_change,22.268,40
no_change,22.273,61
no_change,22.509,62
no_change,22.648,49
no_change,22.78,64
no_change,22.825,64
no_change,22.911,41
no_change,23.077,62
no_change,23.18,61
no_change,23.309,50
no_change,23.452,62
no_change,23.616,53
no_change,23.902,50
no_change,24.22,46
no_change,24.536,50
no_change,24.859,40
no_change,24.864,61
no_change,25.102,62
no_change,25.257,49
no_change,25.416,64
no_change,25.534,41
no_change,25.741,69
no_change,26.168,67
no_change,26.4,50
no_change,26.402,69
