mutation_category,mutation_name,total_onsets_ref,total_onsets_live,correct_matches,late_matches,early_matches,missing_onsets,extra_onsets,correct_notes,tempo_reference_bpm,tempo_live_bpm,tempo_difference_bpm
pitch,pitch_shift,820,824,709,46,65,0,4,378,120.00,188.00,68.00
tempo,faster_tempo,850,856,595,127,128,0,6,141,120.00,117.00,3.00
tempo,a_lot_faster_tempo,892,883,645,136,102,9,0,268,120.00,144.00,24.00
tempo,slower_tempo,855,859,659,88,108,0,4,246,120.00,156.00,36.00
tempo,a_lot_slower_tempo,858,853,603,130,120,5,0,190,120.00,99.00,21.00
progressive_tempo,accelerando,969,814,515,221,78,155,0,101,120.00,99.00,21.00
progressive_tempo,ritardando,828,1019,468,76,284,0,191,79,120.00,125.00,5.00
progressive_tempo,tempo_fluctuation,1023,1167,471,213,339,0,144,103,120.00,104.00,16.00
timing,note_too_soon,820,823,714,44,62,0,3,380,120.00,188.00,68.00
timing,note_too_late,822,826,650,78,94,0,4,173,120.00,188.00,68.00
duration,note_held_too_long,820,823,714,44,62,0,3,382,120.00,188.00,68.00
duration,note_cut_too_soon,820,823,714,44,62,0,3,381,120.00,188.00,68.00
note,note_missing,820,823,714,44,62,0,3,382,120.00,188.00,68.00
note,note_not_expected,820,824,714,43,63,0,4,381,120.00,188.00,68.00
articulation,articulated_legato,820,822,749,33,38,0,2,417,120.00,188.00,68.00
articulation,articulated_staccato,845,848,703,57,85,0,3,314,120.00,188.00,68.00
articulation,articulated_accentuated,820,823,714,44,62,0,3,382,120.00,188.00,68.00
