onset_type,onset_time,pitch
no_change,1.934,57
no_change,1.959,45
no_change,2.207,57
no_change,2.459,64
no_change,2.745,69
no_change,3.027,69
no_change,3.289,64
no_change,3.552,57
no_change,3.845,57
no_change,4.095,64
no_change,4.389,69
no_change,4.657,69
no_change,4.948,64
no_change,5.227,45
no_change,5.289,61
no_change,5.441,45
no_change,5.72,52
no_change,6.002,57
no_change,6.007,61
no_change,6.295,57
no_change,6.541,52
no_change,6.548,62
no_change,6.825,45
no_change,6.909,61
no_change,7.064,45
no_change,7.37,52
no_change,7.373,59
no_change,7.643,57
no_change,7.645,61
no_change,7.934,57
no_change,8.189,52
no_change,8.45,45
no_change,8.725,47
no_change,9.009,49
no_change,9.016,64
no_change,9.268,50
no_change,9.427,62
no_change,9.527,64
no_change,9.664,61
no_change,9.78,52
no_change,9.784,62
no_change,9.909,59
no_change,10.055,45
no_change,10.334,47
no_change,10.589,64
no_change,10.591,49
no_change,10.866,50
no_change,10.87,62
no_change,11.005,59
no_change,11.13,52
no_change,11.132,61
no_change,11.245,57
no_change,11.382,40
no_change,11.5,56
no_change,11.645,57
no_change,11.652,45
no_change,11.939,47
no_change,11.941,57
no_change,12.195,57
no_change,12.198,49
no_change,12.45,50
no_change,12.591,47
no_change,12.711,49
no_change,12.834,45
no_change,12.966,47
no_change,13.1,44
no_change,13.257,61
no_change,13.259,45
no_change,13.527,47
no_change,13.795,57
no_change,13.8,49
no_change,14.064,57
no_change,14.066,50
no_change,14.209,47
no_change,14.32,49
no_change,14.443,45
no_change,14.591,47
no_change,14.702,44
no_change,14.907,45
no_change,15.216,57
no_change,15.468,45
no_change,15.486,64
no_change,15.773,44
no_change,16.082,59
no_change,16.339,44
no_change,16.341,64
no_change,16.645,64
no_change,16.65,42
no_change,16.93,57
no_change,17.164,42
no_change,17.186,69
no_change,17.452,47
no_change,17.723,59
no_change,17.766,47
no_change,18.009,47
no_change,18.045,69
no_change,18.314,68
no_change,18.316,40
no_change,18.605,59
no_change,18.877,71
no_change,18.88,52
no_change,19.164,51
no_change,19.455,59
no_change,19.568,68
no_change,19.714,66
no_change,19.716,51
no_change,19.818,69
no_change,19.97,40
no_change,19.995,68
no_change,20.268,59
no_change,20.543,52
no_change,20.545,71
no_change,20.82,51
no_change,21.116,59
no_change,21.232,68
no_change,21.361,66
no_change,21.364,51
no_change,21.48,69
no_change,21.634,52
no_change,21.636,68
no_change,21.914,59
no_change,22.168,56
no_change,22.47,57
no_change,22.732,61
no_change,23.014,54
no_change,23.32,51
no_change,23.573,59
no_change,23.861,52
no_change,23.864,68
no_change,24.159,49
no_change,24.416,57
no_change,24.682,66
no_change,24.689,51
no_change,24.986,52
no_change,25.27,56
no_change,25.532,44
no_change,25.534,64
no_change,25.809,45
no_change,25.934,47
no_change,26.05,61
no_change,26.084,49
no_change,26.193,45
no_change,26.343,51
no_change,26.345,57
no_change,26.461,47
no_change,26.609,52
no_change,26.875,40
no_change,26.916,59
no_change,27.17,64
no_change,27.173,44
no_change,27.427,45
no_change,27.55,47
no_change,27.661,61
no_change,27.684,49
no_change,27.777,45
no_change,27.932,51
no_change,27.934,57
no_change,28.075,47
no_change,28.225,52
no_change,28.514,64
no_change,28.643,57
no_change,28.773,59
no_change,28.914,61
no_change,29.043,52
no_change,29.052,59
no_change,29.055,56
no_change,29.341,64
no_change,29.498,57
no_change,29.616,56
no_change,29.72,54
no_change,29.88,52
no_change,30.168,64
no_change,30.286,57
no_change,30.423,59
no_change,30.557,61
no_change,30.677,52
no_change,30.698,59
no_change,30.7,56
