onset_type,onset_time,pitch
no_change,7.311,58
no_change,7.314,65
no_change,7.316,74
no_change,9.166,57
no_change,9.17,64
early,9.77,72
no_change,11.186,58
no_change,11.191,74
no_change,12.07,55
no_change,12.075,62
no_change,12.077,70
no_change,12.757,57
no_change,12.759,64
no_change,13.439,60
no_change,13.441,53
no_change,14.039,57
no_change,14.041,50
no_change,14.641,52
no_change,15.25,69
no_change,15.252,53
no_change,15.255,60
no_change,15.936,48
no_change,16.75,41
no_change,18.593,69
no_change,20.605,65
no_change,20.607,58
no_change,20.609,74
no_change,22.352,57
no_change,22.355,64
no_change,24.125,70
no_change,24.127,55
no_change,25.152,65
no_change,25.155,50
no_change,25.589,50
no_change,25.68,58
no_change,25.857,69
no_change,26.516,59
no_change,27.184,62
no_change,27.186,46
no_change,28.102,55
no_change,28.105,48
no_change,28.725,65
no_change,28.73,49
no_change,29.391,58
no_change,29.861,45
no_change,30.13,55
no_change,30.234,62
no_change,30.368,64
no_change,32.052,61
no_change,32.952,45
no_change,34.123,38
no_change,34.125,69
no_change,35.005,45
no_change,35.643,62
no_change,35.645,53
no_change,36.248,45
no_change,36.848,43
no_change,37.098,58
no_change,37.193,62
no_change,37.293,64
no_change,37.552,69
no_change,37.773,67
no_change,37.939,45
no_change,38.123,63
no_change,38.445,55
no_change,38.725,61
no_change,38.968,64
no_change,39.3,67
no_change,39.336,64
no_change,39.352,38
no_change,40.02,45
no_change,40.655,57
no_change,40.657,62
no_change,40.659,65
no_change,41.095,58
no_change,41.35,57
no_change,41.573,53
no_change,41.823,40
no_change,41.918,50
no_change,41.932,56
no_change,42.264,61
no_change,42.532,65
no_change,42.777,64
no_change,42.986,45
no_change,43.239,59
no_change,43.548,52
no_change,43.795,57
no_change,44.011,55
no_change,44.352,41
no_change,44.38,53
no_change,44.545,64
no_change,45.134,45
no_change,45.464,50
no_change,45.88,62
no_change,45.886,53
no_change,46.302,52
no_change,46.577,55
no_change,46.795,53
no_change,47.134,58
no_change,47.395,64
no_change,47.657,72
no_change,47.902,70
no_change,48.307,61
no_change,48.441,67
no_change,48.861,62
no_change,49.236,65
no_change,49.498,64
no_change,49.859,38
no_change,50.595,45
no_change,51.205,62
no_change,51.207,53
no_change,51.827,45
no_change,52.423,43
no_change,52.661,58
no_change,52.752,62
no_change,52.864,64
no_change,53.139,69
no_change,53.334,67
no_change,53.493,45
no_change,53.745,70
no_change,54.055,52
no_change,54.266,61
no_change,54.434,69
no_change,54.605,38
no_change,54.745,67
no_change,54.939,76
no_change,55.489,45
no_change,56.105,57
no_change,56.111,65
no_change,56.114,74
no_change,56.53,58
