mutation_category,mutation_name,total_onsets_ref,total_onsets_live,correct_matches,late_matches,early_matches,missing_onsets,extra_onsets,correct_notes,tempo_reference_bpm,tempo_live_bpm,tempo_difference_bpm
pitch,pitch_shift,412,411,389,12,10,1,0,326,120.00,99.00,21.00
tempo,faster_tempo,419,421,328,37,54,0,2,151,120.00,104.00,16.00
tempo,a_lot_faster_tempo,419,424,312,48,59,0,5,107,120.00,134.00,14.00
tempo,slower_tempo,416,408,270,80,58,8,0,82,120.00,188.00,68.00
tempo,a_lot_slower_tempo,431,417,244,101,72,14,0,67,120.00,110.00,10.00
progressive_tempo,accelerando,481,404,161,158,85,77,0,56,120.00,117.00,3.00
progressive_tempo,ritardando,420,516,167,80,173,0,96,40,120.00,125.00,5.00
progressive_tempo,tempo_fluctuation,514,563,220,139,155,0,49,54,120.00,94.00,26.00
timing,note_too_soon,417,418,294,61,62,0,1,136,120.00,99.00,21.00
timing,note_too_late,412,413,296,58,58,0,1,136,120.00,99.00,21.00
duration,note_held_too_long,413,413,398,7,8,0,0,323,120.00,99.00,21.00
duration,note_cut_too_soon,415,415,395,9,11,0,0,317,120.00,99.00,21.00
note,note_missing,412,412,399,6,7,0,0,322,120.00,99.00,21.00
note,note_not_expected,423,424,300,60,63,0,1,144,120.00,99.00,21.00
articulation,articulated_legato,412,412,399,6,7,0,0,316,120.00,99.00,21.00
articulation,articulated_staccato,413,411,327,44,40,2,0,81,120.00,99.00,21.00
articulation,articulated_accentuated,412,412,399,6,7,0,0,322,120.00,99.00,21.00
